question,answers
Does most of the money I pay for food go back to the farmer?,Not necessarily
how can farmers control bacterial blight.," it's important to use disease-free planting material, practice good sanitation by regularly removing and destroying infected plant material, control insect vectors, and avoid working in cassava fields when plants are wet"
"Farmers always burn maize residues, is it a good or bad practice","On the positive side, burning maize residues can help to control pests and diseases, reduce weed pressure, and provide a quick and convenient way to clear the field for the next crop. Burning can also release nutrients, such as nitrogen and potassium, back into the soil, which can be beneficial for the next crop."
name the importance of water to soil steucture.,"Water can also affect soil structure by helping to bind soil particles together. This can improve soil stability, reduce erosion, and promote better water and nutrient retention."
Are genetically modified organisms (GMOs) the only organisms with genes?,"No. Living or once living things contain genes, whether they are genetically modified or not. �Gene� is the root word for genetics. Genes are located on chromosomes"
what farming technique is used to supplement rainfall in areas of low rainfall.,irrigation 
In what ways can farmers manage maize streak disease.,"Planting resistant or tolerant maize varieties that have been developed through breeding programs.
Practicing good weed control, as certain weed species can serve as alternative hosts for the virus and leafhoppers.
Implementing integrated pest management strategies to control leafhopper populations, such as using insecticides or employing physical barriers.
Proper crop rotation and maintaining good agronomic practices to enhance plant health and reduce disease pressure.
Removing and destroying infected plants and plant debris to reduce the source of the virus.
It is essential for farmers to work closely with agricultural extension services and research institutions to access information on resistant varieties, disease management strategies, and early warning systems for maize streak disease in their specific region."
what is Land transformation.,the use of land to yield goods and services
what is Thiram,"Thiram is a fungicide that is used to control a variety of seed-borne and soil-borne fungal diseases, such as damping-off, seed rot, and seedling bligh"
what should grapes be harvested?,"when they have reached their full flavor and sugar content, but before they become overripe."
what is GMO in full?,Genetically Modified Crops
What is the current price of yellow beans?,"prices can fluctuate frequently. However, the prices for dry beans (yellow) in Uganda are affected by various factors such as supply and demand, transportation costs, and market conditions. It is best to check with local markets or traders for the current prices in the region."
why do farmers need to add desiccants to the storage containers for beans.,"to absorb any moisture that might still be present.
"
in which way is climate change affecting agriculture?,"changes in temperature, rainfall, and weather patterns"
which plant nutrient helps in formation of chlorophyll . , magnesium (Mg)
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
how do we define a cover crop biomass.,"a physical barrier between rainfall and the soil surface, allowing raindrops to steadily trickle down through the soil profile"
which herbicide kills all plants except those with genetic tolerance.,Glyphosate 
name the phase in polyphenism in which the larvae raised in isolation turns green,solitaria 
What is the process of field drying and threshing maize?,Post-harvest management
how can you minimize the effects of anti-nutrients in beans.,"it is recommended to soak, sprout, or ferment the beans before milling them. These processes can help to break down the anti-nutrients and make the nutrients more bioavailable."
"When is the best time to harvest beans, and how is this determined?",when the pods turn yellow and dry up
what is final stage in crop cultivation,Harvesting
what causes cassava root rot., fungal and bacterial pathogens
Why is diammonium phosphate put in planting hole.,"Diammonium phosphate (DAP) is often used as a fertilizer in planting holes for several reasons. Firstly, DAP contains both nitrogen and phosphorus, which are essential nutrients for plant growth and development. Nitrogen is necessary for the formation of proteins, chlorophyll, and other important molecules in plants, while phosphorus is needed for root growth, flower and seed development, and overall plant health.
"
how can a farmer regularly monitor for cassava beetles.,"regularly monitor the crop for signs of infestation, such as wilting or yellowing of leaves, and take appropriate measures to prevent or control the pests"
what is Cassava Anthracnose Disease (CAD) .,is a fungal disease that affects cassava plants.
what is isolation.,"A minimum separation distance required in a seed multiplication field in order to prevent
contamination by physical mixtures or disease vectors"
what is Cassava Anthracnose Disease (CAD) .,is a fungal disease that affects cassava plants.
when is maize for silage harvested.,is harvested while the plant is green and the fruit immature
what other reasons are there for using diammonium phosphate put in planting hole.,"DAP is water-soluble, which means it can be quickly taken up by plant roots and used for growth. By placing DAP in the planting hole, the young plant's roots can access the nutrients immediately, promoting early growth and establishment."
Farmers always ask for the reason why nitrogenous fertilizer are only top dress,"Nitrogen uptake timing: Nitrogen is an essential nutrient for plant growth and is necessary for various physiological processes, including leaf and stem development. However, nitrogen is a highly mobile nutrient in the soil and can easily leach or wash away if applied too early in the growing season. Therefore, to ensure that the plants have an adequate and readily available nitrogen supply during their active growth phase, nitrogenous fertilizers are often applied as top dressing when the plants are well-established.

Crop demand for nitrogen: Many crops, including maize, have a high demand for nitrogen during their vegetative growth stage. By applying nitrogenous fertilizers as top dressing during this period, it helps meet the crop's nutrient requirements when they need it the most. This timing allows for optimal nitrogen utilization by the plants and promotes vigorous vegetative growth.

Minimizing nitrogen losses: By applying nitrogenous fertilizers as top dressing, farmers can better manage and minimize nitrogen losses from leaching or volatilization. Top dressing allows for a more targeted application directly to the root zone, reducing the risk of nutrient runoff or wastage. It also ensures that the nitrogen remains available to the plants when they require it, improving nutrient efficiency and minimizing environmental impacts."
How is maize  stored after harvesting?,use of hermetic storage bags or containers 
how can you control mealybug biologically?,introduction of natural enemies of the mealybug
what is pest management?,Pest management is the practice of controlling pests and diseases that can damage crops
"give examples of macronutrients?
","nitrogen, phosphorus, and potassium,"
How are the toxic cyanide compounds removed from harvested cassava. ,"boiling, baking, and drying"
name examples of compound fertilizers.,"NPK (Nitrogen-Phosphorus-Potasium) 15:15:15, NPK 17:17:17, or NPK 20:10:10"
