ANSWER,QUESTION.question,QUESTION.paragraph
To ensure efficient operation at low outside temperatures.,Why should heat loss be minimized in biogas plants?,Insulation :...Heat loss should be minimized if outside temperatures are low...
With good quality paint,How should the inner surface of the gas holder be coated for better insulation?,Insulation : Inner surface of gas holder should have the coating of good quality paint...
To facilitate warming up the digester when temperatures are high in day time.,Why is the placement of the plant location important for day-time operation?,Insulation :...The plant location should be such that it receives good amount of sun light during winter...
Ensure water tightness,What must be done to water-tight the digester to prevent seepage?,Water/gas tightness :...Water tightness in order to prevent seepage and the resultant threat to soil and groundwater quality...
To maintain proper operational temperature.,What is the main purpose of minimizing heat loss in biogas plants?,"Insulation :...Heat loss should be minimized if outside temperatures are low, warming up of the digester should be facilitated when outside temperatures are high in day time..."
It helps to reduce construction cost and heat loss.,What is meant by the minimum surface area in digester construction?,Minimum surface area keeps cost of construction to a minimum and reduces heat losses through the vessel...
To improve insulation and prevent heat loss.,For what purpose is good quality paint used on the inner surface of the gas holder?,Insulation : Inner surface of gas holder should have the coating of good quality paint...
It caused about 40-50% of them to fail.,How does leakage affect biogas plants constructed in India during the sixties and seventies?,Water/gas tightness :...Even minor leakage may become the cause for failure of biogas plants. About 40-50% plants constructed in India during sixties and seventies failed due to such leakage problem...
Ensuring gas tightness,What precaution is necessary to prevent the formation of an explosive mixture in a digester?,Water/gas tightness :...gas tightness in order to ensure proper containment of the entire biogas yield and to prevent air entering into the digester (which could result in the formation of an explosive mixture)...
During winter,In what conditions should the plant location receive good sunlight?,Insulation :...The plant location should be such that it receives good amount of sun light during winter...
A hemispherical construction with a conical floor.,What structure type is optimal for practical construction based on the volume and surface area ratio?,"walls. A spherical structure has the best ratio of volume and surface area. For practical construction, a hemispherical construction with a conical floor is close to the optimum."
"Static and dynamic loads, durability, and corrosion resistance.",What do digester materials need to withstand according to structural stability requirements?,"walls. A spherical structure has the best ratio of volume and surface area. For practical construction, a hemispherical construction with a conical floor is close to the optimum. Structural stability sufficient to withstand all static and dynamic loads, durable and resistant to corrosion."
Corrosion.,What is a common problem for steel vessels inside and outside?,"Steel Vessels : Steel vessels are inherently gas-tight, have good tensile strength, and are relatively easy to construct (by welding). In many cases, a discarded steel vessel of appropriate shape and size can be salvaged for use as a biogas digester. Susceptibility to corrosion both outside (atmospheric humidity) and inside (aggressive media) can be a severe problem."
Steel vessels are cost-effective if second-hand vessels like train or truck tankers can be used.,Why are steel vessels considered cost-effective in certain scenarios?,"Steel Vessels : Steel vessels are inherently gas-tight, have good tensile strength, and are relatively easy to construct (by welding). In many cases, a discarded steel vessel of appropriate shape and size can be salvaged for use as a biogas digester. Susceptibility to corrosion both outside (atmospheric humidity) and inside (aggressive media) can be a severe problem. As a rule, some type of anticorrosive coating must be applied and checked at regular intervals. Steel vessels are only cost-effective, if second-hand vessels (e.g. train or truck tankers) can be used."
Insulation or a heating system.,What is required in cold places to ensure proper functioning of steel vessels?,"In steel vessel plant, cost of maintenance is high because timely cleansing and repair is necessary. In cold places the gas output of such plants is also affected because steel is a good conductor of heat. In such cases either insulation or heating system may be required to ensure proper functioning of the plant."
Unlimited useful life and relatively inexpensive construction.,What are the benefits of concrete vessels for digesters?,"Concrete vessels : Concrete vessels have gained widespread acceptance in recent years. The requisite gas tightness necessitates careful construction and the use of gas-tight coatings, linings and/or seal strips in order to prevent gas leakage. Most common are stress cracks at the joints of the top and the sides. The prime advantage of concrete vessels is their practically unlimited useful life and their relatively inexpensive construction."
To achieve gas tightness and prevent gas leakage.,Why should careful construction be ensured in concrete vessels for digesters?,"Concrete vessels : Concrete vessels have gained widespread acceptance in recent years. The requisite gas tightness necessitates careful construction and the use of gas-tight coatings, linings and/or seal strips in order to prevent gas leakage. Most common are stress cracks at the joints of the top and the sides."
"The suitability of well-burnt clay bricks, high quality, pre-cast concrete blocks, or stone blocks.",What makes masonry popular for small scale digester construction?,"Masonry : Masonry is the most frequent construction method for small scale digesters. Only well-burnt clay bricks, high quality, pre-cast concrete blocks or stone blocks should be used."
Masonry.,Which construction method is commonly used for small scale digesters?,Masonry : Masonry is the most frequent construction method for small scale digesters.
"Well-burnt clay bricks, high-quality pre-cast concrete blocks, or stone blocks.",What kind of materials should be used in masonry construction to ensure quality?,"Masonry : Masonry is the most frequent construction method for small scale digesters. Only well-burnt clay bricks, high quality, pre-cast concrete blocks or stone blocks should be used."
Their practically unlimited useful life.,What is the prime advantage of concrete vessels for digesters?,"Concrete vessels : Concrete vessels have gained widespread acceptance in recent years. The requisite gas tightness necessitates careful construction and the use of gas-tight coatings, linings and/or seal strips in order to prevent gas leakage. Most common are stress cracks at the joints of the top and the sides. The prime advantage of concrete vessels is their practically unlimited useful life and their relatively inexpensive construction."
Steel vessels.,What kind of vessels are inherently gas-tight and easy to construct?,"Steel Vessels : Steel vessels are inherently gas-tight, have good tensile strength, and are relatively easy to construct (by welding)."
Because timely cleansing and repair is necessary.,Why is the maintenance cost of steel vessels high?,"In steel vessel plant, cost of maintenance is high because timely cleansing and repair is necessary."
"Gas-tight coatings, linings and/or seal strips.",What is necessary to prevent gas leakage in concrete vessels?,"Concrete vessels : Concrete vessels have gained widespread acceptance in recent years. The requisite gas tightness necessitates careful construction and the use of gas-tight coatings, linings and/or seal strips in order to prevent gas leakage."
