question,answers
give examples of Potassium Fertilizers.,potassium chloride and potassium sulphate
what the several challenges facing cassava production.,"pests and diseases, low yields, and limited access to markets and processing facilities"
any maize market out there?,There are several markets available but all depends on where you are based.Where are you based
What is crop cultivation?," is the practice of growing crops for food, fiber, or fuel"
How long does beans take  from planting to harvesting season?,75 days to 90 depending on the variety
what are nitrogen fertilizers?,"These fertilizers are designed to provide nitrogen, which is an essential nutrient for plant growth"
what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
Is it late to plant maize in this mid September.,"The optimal planting time for maize varies depending on the specific region and climate conditions. In general, maize is typically planted during the spring season when temperatures are warm and frost is no longer a concern.

Planting maize in mid-September may be considered late in many regions, especially if you are in a location where winters or cool temperatures arrive early. Late planting can result in several challenges, including reduced yields and increased risk of crop damage from frost or cold weather.
"
"which control method employs the use of beneficial insects like ladybugs or lacewings, or the release of whitefly-specific parasites or predators.",Biological contro
how does thiram works?,Thiram works by inhibiting fungal growth and disrupting the nervous system of insects that may feed on the seedlings.
"Any maize markets out there?
",Nakasero Market
What type of soil is beans doing well,"Beans generally do well in soil that is well-draining, fertile, and rich in organic matter. The ideal soil for beans is a sandy loam soil with a pH range of 6.0 to 7.0. The soil should also be free of pests and diseases that can damage the plants.
"
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
what other way can a farmers control Cassava mosaic disease,Planting resistant varieties: Some cassava varieties have been developed that are resistant to CMD. These varieties should be used whenever possible to reduce the risk of disease.
which farm tool was used by farmers to thresh or beat the dried wheat in order to separate its edible grain seeds from its stalks,flails 
"the product of consistent modification by scientists are called?
",GMOs 
what can be made from  milled bean flour.,"bean cakes, bean bread, and bean porridge."
name one way a farmer can guard against drought?,"Crop Selection: Farmers should select crops that are adapted to their local climate and can tolerate drought conditions. Crops such as maize, sorghum, and millet are more drought-tolerant than others and can still produce a reasonable yield under limited water conditions."
which type of weed control involves the use of herbicides to control weeds in the cassava field,Chemical weed control
what is drought?," is a natural disaster that can have severe impacts on the environment, society, and economy"
what does the number 10-20-10 represent in  fertilizers.,"the numbers represent the percentage of N, P, and K, respectively"
what are some of the factors to consider while applying liquid fertilizer.,"type of crops, soil type, and weather conditions"
how can insects spread bacterial blight.,"Insects such as whiteflies and leafhoppers can spread the disease from infected plants to healthy ones. The bacterium can live and multiply within the insect, which then transmits it to other plants when it feeds."
name the major categories of Natural fibers.,"cotton, wool, hemp, silk and flax"
excessive tillage can lead to ?,soil erosion and nutrient loss
what are Herbicide resistant seeds.," have a gene implanted into their genome that allows the plants to tolerate exposure to herbicides, including glyphosate"
which crops can be grown together with cassava.,"beans, maize, or vegetables"
List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance"
what method is used to overcome embryo dormancy.,stratification
what is final stage in crop cultivation,Harvesting
what is strip cropping.,Planting different crops in alternating strips across the slope helps to reduce erosion by breaking up the flow of water. The alternating strips of different crops create barriers that trap sediment and prevent it from being washed away.
name other ways a farmer can use to control CBSD.,Planting resistant varieties
How can Rogueing be used to control CBSD.,Infected plants should be identified and removed from the field to prevent the disease from spreading
why are farmers advised not to apply fertilizers during drought or when rainfall are unexpected.,"can cause fertilizer burn or leaching, and reduce its effectiveness"
name any one example of neonicotinoids.,thiamethoxam
what is Couch grass?,is a persistent weed that can be difficult to control in cassava gardens
Can maize be grown in green house?,"Yes, maize can be grown in a greenhouse, but there are some important considerations to keep in mind."
