ANSWER,QUESTION.question,QUESTION.paragraph
Situations where options or timings are severely restricted should be avoided.,What should be avoided in farming systems according to the text?,Avoid getting into situations where options or timings are severely restricted.
Carefully considering and planning options is vital when addressing specific potential problem areas in farming systems.,What is a key consideration when looking at specific potential problem areas for different farming systems?,When looking at specific potential problem areas for different farming systems it is vital that options are carefully considered and planned.
Stock based systems are compared to cultivation systems.,What type of systems is stock based systems compared to in the text?,"As cultivation in stock based systems is relatively infrequent, and crop cover is almost continuous, there tends to be more flexibility in timing cultivations."
A positive nutrient balance usually balances nutrient levels in stock based systems.,What characteristic balances nutrient levels in stock based systems?,"The nutrient balance is usually positive in these systems, although an excess of nitrogen is likely."
A late summer reseed can minimize the risk of nutrient leaching or soil erosion.,How can the risk of nutrient leaching or soil erosion be minimized when performing reseeding?,"To minimise this risk, a late summer reseed is preferable to the spring or autumn as rainfall – and therefore leaching or run-off – is likely to be at its lowest."
"It prevents the increase of ley pests, such as frit fly and leatherjackets.",Why is a suitable period of about 4–6 weeks without a host for ley pests required for reseeding?,"This could present a risk for nutrient leaching or soil erosion. To minimise this risk, a late summer reseed is preferable"
At least four weeks before the maize is sown.,When should the grass be ploughed if there is a high risk of frit damage?,If there is a high risk of frit damage then the grass should be ploughed at least four weeks before the maize is sown.
Give careful considerations to stocking density and rotate grazing areas.,What is the basic action to prevent poaching?,Basic action • Give careful considerations to stocking density • Rotate grazing areas
"Poaching frequently impacts the fields by creating damage at gateways, tracks, and paths.",How does poaching frequently impact the fields?,"Poaching is most frequently caused by cattle at gateways, tracks, and paths."
"Stock based systems usually maintain a positive nutrient balance, though an excess of nitrogen can be likely.",How do stock based systems manage nutrient balance?,"The nutrient balance is usually positive in these systems, although an excess of nitrogen is likely."
Timing flexibility.,What is the main consideration when planning stock based systems cultivation?,"As cultivation in stock based systems is relatively infrequent, and crop cover is almost continuous, there tends to be more flexibility in timing cultivations."
Creating a balance between growing more crops and managing stock for different periods.,What is a critical factor to consider while making cultivation plans for stock based systems?,"When making cultivation plans, it is essential to consider creating a balance between growing more crops for sale and exporting manures or some grazing stock for periods of the year."
High rainfall areas can pose problems by leading to heavy soil and sloping ground.,Why is high rainfall areas a concern for stock based systems?,These characteristics can create potential problems when considering cultivations.
