question,answers
whats the botanical name of african armyworm,Spodoptera exempta
"which synthetic substances allowed in organic production.
",Chlorine and hydrogen peroxide
What are the ideal conditions for planting maize?,Maize requires well-draining soils with a pH level between 5.5 and 7.5. The site should also receive full sunlight to promote optimal growth
Name the most common types of beans that are milled for human consumption.,"black beans, navy beans, and pinto beans"
do some people experience digestives issues after consuming food with preservatives.,"Some people may experience digestive issues, such as bloating, gas, and diarrhea, after consuming foods containing preservatives. This may be due to the fact that some preservatives, such as sorbic acid and benzoic acid, can irritate the lining of the digestive tract."
Which fertilizer is good for planting beans?," a fertilizer with a higher ratio of phosphorus and potassium, such as 10-20-20 or 15-30-15, would be suitable for planting beans"
"What are some of the physical and chemical, properties of soil that soil scientists study?","texture, structure, acidity, and nutrient content."
which animal require a diet that is lower in protein but higher in carbohydrates.,pigs 
name one crop planted by using a seed drill.,corn
what are some of the challenges in growing apples?,"� Apple seedlings are imported and costly
� Birds and thieves are giving many farmers sleepless nights.
� Few areas are favourable for Apple Growing
� High competition with imported apples
Market"
what is the recommended spacing for long 1.,spaced by 75x30cm with a seed rate of 25kg/ha
how long does TZECOMP 3 takes to mature., 90 days
what is crop rotation in soil management?,a technique used in soil management to reduce soil-borne diseases and pests and improve soil fertility
what transmits cassava mosaic disease.,Bemisia tabaci
Who invented the earliest milking machines?,the ancient Egyptians
which insects are known to transmit maize streak virus from one maize plant to another.,Cicadulina species
which fruit crops can cassava be intercropped with?,"mango, citrus, and avocado"
which other pest management activities can be done to control termides.,"planting cassava in well-drained soil, using physical barriers such as plastic mulch or wire mesh around the plant stems to prevent termite access, and avoiding over-fertilization or excessive use of organic matter which can attract termites."
which crop disease cause yellowing in beans plants., bacterial blight and aphids
"what is RFID in full
",Radio frequency identification
what is the approximate Global agricultural production of food.,11 billion tonnes
What is CAN.,"CAN is a granular fertilizer that contains a mixture of calcium and ammonium nitrate. It is a good source of both calcium and nitrogen, which are important for plant growth"
what is FDA,Food and Drug Administration
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
what is the size of the armyworms laid eggs.,Their eggs are relatively small at 0.5 mm in diameter
what are combine harvesters?,"machines, which are loaded with technology, are very efficient and combine all three jobs of cutting, collecting, and threshing a crop"
"If it says locally grown, does that mean it is from my community?","Not necessarily. This may come as a surprise, but if you�re buying or eating locally grown food, it may not be food grown in your community."
name any other way of storing cassava.,Use proper containers
What is the importance of the storage organs to plants,"Storage organs, such as tubers, bulbs, and rhizomes, act as reservoirs for storing nutrients. These organs accumulate and store carbohydrates, proteins, and other essential nutrients during periods of active growth. The stored nutrients can be utilized by the plant during periods of dormancy, unfavorable conditions, or for supporting new growth."
which region has adopted automatic milking system.,Northern Europe
what considerations are needed when deciding the timing for sowing crops after a prolonged dry spell.,"Wait for the onset of the rainy season: Begin sowing when there is a reasonable expectation of consistent rainfall. The start of the rainy season can vary from year to year, so it's helpful to consult local meteorological services or agricultural extension offices for information on the typical timing of the rainy season in your region.

Soil moisture: Ensure that the soil has enough moisture to support seed germination and early plant growth. This can be assessed by checking the soil's moisture content and ensuring that it is suitable for seed establishment."
"To manage and control cassava mosaic disease, what measures should farmers take into consideration.","Planting disease-resistant varieties when available.
Using healthy planting materials from certified sources.
Practicing good sanitation, such as removing and destroying infected plants and plant debris.
Implementing integrated pest management strategies to control whitefly populations, such as using insecticides or employing physical barriers.
Promoting crop diversification and intercropping to reduce the spread of the disease.
Conducting regular scouting and monitoring to detect early signs of the disease and take appropriate action.
It is important for farmers to collaborate with agricultural extension services and research institutions to access updated information, improved varieties, and appropriate management practices for cassava mosaic disease in their specific region."
can clean planting materials be used to control root rot?,Cassava cuttings should be obtained from healthy plants that have been certified as free from root rot.
which maize variety is recommended for second season ,"Longe 5H - this is a medium maturing hybrid that takes approximately 100-110 days to mature. It is tolerant to drought and is suitable for areas with moderate rainfall.

Longe 7H - this is also a medium maturing hybrid that takes approximately 100-110 days to mature. It is suitable for areas with low to moderate rainfall.

DKC 9088 - this is a high-yielding hybrid that takes approximately 110-115 days to mature. It is suitable for areas with good rainfall and good soil fertility.

It is recommended to consult your local agricultural extension officer or seed supplier for advice on the best maize variety to plant in your specific area and conditions."
how does chemical dormancy occur?,"when the embryo is surrounded by a layer of chemicals that inhibit germination, such as abscisic acid (ABA)."
how has methane emissions negatively impacted crop yields.,by increasing temperatures and surface ozone concentrations.
"how does precision agriculture technologies, such as remote sensing, soil sensors, and variable-rate application systems help farmers and agronomist.",allow agronomists to optimize fertilizer use by applying nutrients precisely where and when they are needed. This helps reduce wastage and environmental impact.
Overuse of synthetic fertilizers can lead to?," soil degradation, including nutrient depletion, reduced organic matter content, and increased soil acidity"
how do other farmers call climbing beans.,pole beans or runner beans
what are the control measures for Cassava Anthracnose Disease:," use of disease-free planting material, crop rotation, and the application of fungicides."
How can local farmers determine the acidity of the soil? ,"Farmers can determine the acidity of the soil by conducting a soil pH test. There are various ways to do this, but one common method is to use a soil pH test kit, which can be purchased at agricultural supply stores or online. The kit typically includes a test tube, pH indicator solution, and a color chart."
which fungus causes Cassava Anthracnose Disease (CAD) .,It is caused by the fungus Colletotrichum gloeosporioides.
what are complete fertilizers.,"provide a balance of nitrogen, phosphorus, and potassium in a single product"
what is the major cassava disease?,Cassava Mosaic Disease (CMD)
when do moths travel?,during the day
What is total seed population in an acre?,"he recommended plant population for maize varies, but a common range is around 20,000 to 40,000 plants per acre. This translates to seeding rates of approximately 25,000 to 50,000 seeds per acre, considering germination rates and seedling mortality."
How can i store beans safely?,"Clean and dry the beans: Remove any debris, dirt or broken beans. Then, spread them out on a clean, dry surface, like a tarp or a concrete floor, to dry. Make sure they are completely dry before storing them."
Is maize growth affected by altitude?,The expert will reachout to help
how can sandy soil be improved.,"sandy soil can be improved by adding organic matter such as compost or manure, which can help to retain moisture and nutrients."
what are some of the consideration to be done during ban placement of fertilizers.," specific crop, soil conditions, and nutrient requirements"
how can farmyard manure improve soil structure.," FYM improves soil aggregation and creates pore spaces in the soil. This enhanced soil structure helps to create a sponge-like environment that can hold and store moisture for plant use. The organic matter in FYM also acts as a binding agent, preventing soil particles from compacting and reducing the risk of waterlogging."
what is crop protection?," Crop protection refers to the various methods used to protect crops from pests, diseases, and other threats"
which nutrients are required for high yield in cassava.,"nitrogen, phosphorus, and potassium"
what is Tillage.," is the practice of breaking up the soil with tools such as the plow or harrow to prepare for planting, for nutrient incorporation, or for pest control."
which other variety is developed by NARO and has good yield potential and is resistant to cassava mosaic disease and cassava brown streak disease,NAROCASS 2
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
what is Conservation tillage.,Conservation tillage involves reducing or eliminating plowing and other tillage operations that can disturb the soil structure and reduce soil organic matter
how does S. exempta reduce the risk of SpexNPV,via density-dependent prophylaxis
what is drought?," is a natural disaster that can have severe impacts on the environment, society, and economy"
what is Crop rotation.,"The practice of growing a series of different types of crops in the same area in sequenced
seasons or years"
name the major categories of Natural fibers.,"cotton, wool, hemp, silk and flax"
What are the side effects of preservatives on human health?,"Allergic reactions: Some people may be allergic to certain preservatives, such as sulfites, which are commonly used in dried fruits, wine, and other foods. Symptoms of an allergic reaction to preservatives can include hives, itching, swelling, difficulty breathing, and anaphylaxis, a severe and potentially life-threatening reaction."
does spacing reduce competition for resources?,"When beans are spaced adequately, there is less competition among plants for essential resources like water, nutrients, and light. This allows each plant to access the resources it needs without being hindered by neighboring plants, resulting in more vigorous growth.
"
where are the south americans beetles,South America
List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance"
why is it advisable or recommended to conduct a soil test before fertilizer application.,to determine the soil nutrient levels and to calculate the appropriate fertilizer application rate
why is crop rotation important?, help to maintain soil health and improve crop yields over time
what is ratoon crop.,"A sprout or shoot from the root, stem or vine of a plant after it has been cut back"
which critical factors are considered in ensuring healthy plant growth and high yields.,"Proper soil preparation, irrigation, and pest management "
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
what concerns have recently been raised about GMO's? ,safety and potential environmental impacts
what other reasons makes cassava a staple food crop.,"Cassava is a hardy crop that can tolerate drought and poor soil conditions. This makes it an important crop for smallholder farmers who may have limited access to water and resources.
"
when do ad.ults emerge from pupa stage,in 7 to 10 days
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
what is the ridges or furrows dimensions to be created.,30 cm high and 60 cm wide
name some of the common water management practices,"soil moisture monitoring, crop water requirements estimation, crop selection, and crop rotation."
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
what are the different methods of pest management?,"biological control, cultural control, and chemical contro"
Name areas where substance farming is practicied.,Monsoon Asia and South-East Asia
what are some of the advantages of Band placement of fertilizers.,"By placing the fertilizers in rows, you can specifically target the area around the plant roots where nutrient uptake is most active. This allows for more efficient use of the fertilizer and reduces the risk of nutrient loss through leaching or runoff."
what is Hybridization.,This involves crossing two different varieties of maize with desirable traits to create a new variety that combines the best traits of both parents.
in which phase is the armyworms species dangerous to crops., gregaria
Which type of fertilizer is good to apply for beans,"beans do require other essential nutrients such as phosphorus, potassium, and micronutrients. The specific fertilizer recommendation for beans will depend on the nutrient status of the soil, which can be determined through soil testing."
how can farmers improve productivity of local maize variety.,"Farmers can improve the productivity of local maize breeds by using improved farming practices such as proper land preparation, timely planting, weed control, and appropriate use of fertilizers and pesticides."
"what is volunteer plant
","A plant, which usually comes up from seed (root or cutting) left on/in the ground
from a previous crop"
how many bristles do female armyworms have?,females have multiple
why do cassava propagated through stem cuttings matures faster compared to seed propagation.,This is because the stem cuttings already have a head start in development and can quickly establish roots and start growing.
what are the symptoms of cassava mosaic disease.,"ellowing and mosaic patterns on the leaves, stunted growth, and reduced tuber yield"
