question,answers
what are the effects of termites infestations.,"the presence of mud tubes or tunnels on the plant stems or nearby soil, and the appearance of swollen or distorted stems or roots. In severe cases, the entire plant may collapse or die."
what is multiple cropping.,several crops are grown sequentially in one year
which region in African has the armyworm,Sahara
Can I eat healthy without spending a lot of money?,es. Food in the United States is very affordable
What is the best way to store harvested wheat to prevent spoilage?,Harvested wheat should be stored carefully to prevent spoilage and maintain quality
which phase in polyphenism in which the larvae raised in groups turns black.,gregaria
Which type of maize is good for storage,The type of maize that is good for storage is one that has a high dry matter content and a hard outer layer. This helps to prevent moisture from getting into the kernel and reduces the risk of spoilage during storage
why should farmers replace old seed during planting.,"using old seeds can result in poor germination rates, uneven plant growth, and reduced resistance to environmental stressors such as drought, pests, and diseases."
what are some of the challenges faced by S. exempta.,"predators, parasites, parasitoids, diseases, and viruses"
why do farmers practice irrigation.,to conserve water while ensuring that crops receive the necessary moisture for healthy growth.
how many teats or nipples does a cow has?,"four nipples, or teats"
What are the potential crop losses due to armyworm infestation?," Its infestation can lead to yield losses of up to 50% and, in some cases, total crop failure"
How can couch grass be effectively controlled from the cassava garden.,Mulching
Ways farmers can guard against drought.,Crop rotation
what are other reasons  why crops are sprayed,"to prevent rats, mice, and insects from contaminating foods while they are being stored"
"what is RFID in full
",Radio frequency identification
at what stage does cassava requires about 500 to 750 mm of rainfall.,maturation stage
How long should maize grains to be boiled for it's effective nutrients in human consumption.,"Maize grains can be boiled until they are tender, which usually takes around 30 to 45 minutes, depending on the variety and maturity of the maize. However, the length of time that maize grains should be boiled for optimal nutrient retention can vary depending on the specific nutrient in question."
which bean variety is tolerance to heavy rains.,"Robusta: Robusta beans are known for their good resistance to waterlogging and heavy rains. They have a relatively quick growth cycle and are suitable for areas with high rainfall.

Akunduny: Akunduny is a climbing bean variety that performs well in areas with heavy rainfall. It has good disease resistance and can withstand waterlogged conditions.

Katumani: Katumani is a bean variety that is popular in regions with heavy rainfall. It has good water tolerance and can withstand periods of excessive moisture."
which types of crops are used to retain and recycle soil nitrogen already present.,catch crops
Is the primary focus of the USDA agricultural programs?,"7% of the total USDA budget. Rural development, research, food safety, marketing and regulatory, and departmental management accounts for 6% of the budget"
which insects are known to transmit maize streak virus from one maize plant to another.,Cicadulina species
how can Livestock integration helps increase soil fertility.,"Grazing livestock on pasture land can help add organic matter to the soil through manure and urine deposition. Additionally, crop residues and other organic materials can be fed to livestock and the resulting manure can be applied to the soil to improve fertility."
what spreads cassava mosaic diesease.,whiteflies 
what is Couch grass?,is a persistent weed that can be difficult to control in cassava gardens
why is migration benefical to moths?,it allows the species to travel to a new location with fewer predators and less possibility of parasitism and infection
which other measures can be put in place to ensure successful germination of cassava plants.,Pest and disease contro
when can Calcium Ammonium Nitrate (CAN) be applied in maize?,After 2-3 weeks or when the crop is about 45cm high
what the advantages of natural food?,make cows produce more milk and chickens produce more eggs
what is the importance of agriculture.," It creates jobs, helps our economy and provides our basic necessities"
