ANSWER,QUESTION.question,QUESTION.paragraph
Suppliers must declare no genetically modified ingredients.,What are the regulations for suppliers regarding genetically modified ingredients?,"Suppliers may need to provide a heavy metal analysis of the end product, as well as being able to declare that no genetically modified ingredients have been used"
"Green waste composts are from parks, gardens, and green waste sites.",What are the timing and sources of composts from green waste?,"Composts from green waste composting sites, which shred and compost plant waste from parks and gardens, are becoming more widely available. This is classified as 'municipal waste'. These are acceptable under organic standards and are compatible with basic"
Soil or foliar analysis,What additional analysis might be required by certification authorities prior to applying supplementary fertilisers?,"It is likely that permission will need to be granted by your certification authority prior to any application of supplementary fertilisers, and a soil or foliar analysis will be required to justify usage."
Compliance with Soil Association standards.,What needs to be ensured about organic production standards and supplementary fertilisers?,Available supplementary fertiliser products refer to the Soil Association leaflet 'Fertilisers for Use in Organic Production'
They are becoming more available and meet organic standards.,Why should composts from green waste sites be used?,"Composts from green waste composting sites, which shred and compost plant waste from parks and gardens, are becoming more widely available. This is classified as 'municipal waste'. These are acceptable under organic standards and are compatible with basic"
170kg per hectare,What is the acceptable nitrogen application limit per year per hectare?,The total amount of manure applied must not exceed 170kg of nitrogen per hectare per year on average across the holding or linked holdings.
To justify imbalanced nutrient requirements.,Why might supplementary fertilisers need external resources for justification?,"It is likely that permission will need to be granted by your certification authority prior to any application of supplementary fertilisers, and a soil or foliar analysis will be required to justify usage."
High plant physiological demand and nutrient uptake.,What are the specific demands for applying manures in spring and summer?,"It is also recommended that applications of manures and slurry should take place onto fertility building crops, grassland and cropped land in spring and summer when plant physiological demand and nutrient uptake is highest."
"Frozen ground, less than 50 meters from waterways, and less than 100 meters from bore holes.",What are some restrictive locations for manure spreading?,"The spreading of slurry on to frozen ground is prohibited, as is the spreading of manure less than 50 metres from waterways or 100 metres from bore holes."
Three months,What is the interval period for non-organic stacked manure?,Table 2: Recommended treatment of manures that are applied to organic land in horticultural use
Soil health,What aspect of farming is central to organic farming?,Soil health is central to organic farming...
1/15mm,What is the size range for protozoa found in soil?,...with sizes of about 1/15mm.
25,Approximately how many nematode species are present in UK soils?,The UK has 25 different species...
"Up to 10,000 organisms",How many organisms are found in one gram of healthy soil?,One gram of healthy soil can contain over one billion organisms...
Bacteria,What is the main dominant group of bacteria in soil?,Bacteria are the most dominant group...
Soil sickness,What is the potential health issue in soil called?,Phrases such as 'soil sickness'...
Healthy soil,What supports organisms and livestock in soil?,A healthy soil will support crops and livestock...
"Biological, physical, and chemical components",What are the basic components of soil health?,"The health of the soil is dependent on the biological, physical and chemical components..."
Soil arthropods,What is a key player in mixing and aggregating surface soil?,They play a critical role in mixing and aggregating surface soil...
Soil biology is crucial for the activities of organisms affecting the ecosystem.,Why is soil biology crucial for farming and the environment?,Soil biology is very important for farming and the environment...
United States,Which country developed field test kits for soil biology?,Work has been carried out in the United States...
Actinomycetes,Name an example of actinomycetes responsible for a soil smell.,"...bacteria (actinomycetes), responsible for the earthy smell of healthy soil..."
Breaking down hard to digest organic material,Identify a key role fungi play in soil ecosystems.,Soil fungi have a number of important roles...
Potentially 600 million per gram of soil,What percentage of soil formation do bacteria make up?,"Bacteria are the most dominant group, potentially making up 600 million organisms..."
Deficiency in some trace elements,What is a major ongoing concern related to soil health in farms?,It must also be recognized that many soils are naturally deficient...
"Protozoa graze on bacteria, maintaining the nutrient cycle.",Why are protozoa considered important in the soil ecosystem?,"Protozoa play an important role in the soil ecosystem, grazing on bacteria..."
Supporting other organisms and the surrounding environment,How does soil health contribute to the control of disease?,Soil health relates to the capacity of the soil...
They achieve plant growth by suppressing effective microbial activity...,Explain why soil microbials are important for plant disease suppression.,Microbial disease suppression is the first step in increasing plant growth...
"Tests for chemical content, soil compaction, and fertility",What traditional tests are often inadequate for assessing soil health?,While there are traditional tests for chemical content of the soil...
Potential application for farm and soil conditions,What has been the impact of soil biology research in the UK?,Application of this technology would be of value if developed for UK farm and soil conditions.
"By forming nitrogen fixers, and releasing geosmin",How are actinomycetes bacteria beneficial to soil health?,"Bacteria are the most dominant group, potentially making up 600 million organisms..."
"They mix and aggregate surface soil, aiding decomposition of organic matter.",Describe the importance of soil fauna in organic matter decomposition.,"Soil arthropods, such as mites, springtails and beetles, are very important in breaking down organic matter..."
They play important roles such as nutrient cycling and disease suppression.,What role do nematodes play in soil?,"Nematodes, although not nearly as numerous as the bacteria..."
"It supports organisms, sustains other life forms, and maintains the ecosystem balance.",Why is biological interaction in soil critical for maintaining soil health?,"The health of the soil is dependent on the biological, physical and chemical components..."
"Soil microorganisms create a complex and diverse community around roots and leaves, making it difficult for plant pathogens like Pythium to penetrate.",What role do soil microorganisms play in plant disease suppression?,"The complex and diverse microbial community, which exists around the root zone and on leaf surfaces, make it difficult for plant pathogens, such as Pythium, to penetrate"
"When non-pathogenic organisms contact a plant, they trigger an immune response similar to vaccination in humans or livestock.",What happens when non-pathogenic organisms come into contact with a plant?,"As non-pathogenic organisms come in to contact with the plant root they can trigger an immune response, similar to the mechanism of vaccination in humans or livestock."
Vampyrella amoebae are soil organisms that attack fungi.,What is the role of Vampyrella amoebae in soil?,Some soil organisms like the Vampyrella amoebae attack fungi
Humus is an organic component of soil formed by the decomposition of leaves and other plant material by soil microorganisms.,What is humus?,"In addition to humus, the soil's microorganisms also contain minerals and nutrients that are released and made available to plants through natural processes of regeneration."
Managing Soil Organic Matter (SOM) is crucial in organic farming as it provides substrate and food for soil microorganisms that produce humus.,What contributes to the production of humus in organic farming?,Managing SOM is extremely important in organic farming. SOM provides a substrate and vital food source for soil biology.
One property of humic compounds is that they bind to clay particles to form a clay-humus crumb or 'colloid'.,What is one property of humic compounds in the soil?,Humic compounds bind to clay particles in the soil to form a clay-humus crumb or 'colloid'.
Organic matter functions as an ideal food source for soil microorganisms.,What is the function of organic matter in soil?,"Organic matter, particularly in the form of compost, provides an ideal food source for soil microorganisms."
"Soil degradation, particularly due to pollutants like fuel oil, limits the soil's ability to handle pollutants, which can become toxic if present in high concentrations.",What are the effects of soil degradation?,"The remediation of soils contaminated with materials such as fuel oil. However, there is a limit to their ability to cope with pollutants and in high concentrations, or when repeatedly applied, these chemicals can be toxic."
"Soil fertility is important because it is dependent on the balance of nutrients removed and returned to the soil, supporting plant growth and agricultural productivity.",Why is soil fertility important?,The balance of fertility will be dependent on what is removed from the soil and what is returned.
"If the balance of soil fertility is not maintained, losses arise due to crop removal and leaching, affecting nutrient levels.",What happens if the balance of soil fertility is not maintained?,Losses from the soil arise as a consequence of crop removal from the field
"Microbial actions help form clay-humus crumbs or 'colloids' by binding humic compounds to clay particles, which improves soil structure.",How do microbial actions contribute to soil structure?,Humic compounds bind to clay particles in the soil to form a clay-humus crumb or 'colloid'.
Soil organisms can degrade pollutants such as nitrate fertilizers and organophosphorus pesticides.,What types of pollutants can soil organisms degrade?,"Soil organisms have a great ability to decompose pollutants, ranging from nitrate fertilisers to organophosphorus pesticides."
"Soil biodiversity creates a complex and diverse microbial community that protects against plant pathogens like Pythium, enhancing plant health.",What is the significance of soil biodiversity in relation to plant health?,"The complex and diverse microbial community, which exists around the root zone and on leaf surfaces, make it difficult for plant pathogens, such as Pythium, to penetrate."
"The benefits of soil organic matter (SOM) include improved water retention, soil aeration, and regulation of the cation exchange capacity (CEC) of soils.",What are some of the benefits of soil organic matter (SOM)?,"SOM plays an important role in soil water retention and drying, as well as soil aeration. It also has an important role in regulating the cation exchange capacity (CEC) of soils."
"Plants require ten macronutrients (calcium, carbon, hydrogen, oxygen, nitrogen, phosphorus, potassium, chlorine, sulfur, magnesium) and six micronutrients (iron, manganese, zinc, copper, boron, molybdenum) for growth.",What nutrients do plants require for growth?,"Plants require ten different macronutrients (calcium, carbon, hydrogen, oxygen, nitrogen, phosphorus, potassium, chlorine, sulphur and magnesium) and another six micronutrients (iron, manganese, zinc, copper, boron and molybdenum) for growth."
"The importance of humus was recognized over 200 years ago, highlighting its significance in agriculture.",Who recognized the importance of humus over 200 years ago?,Humus has been recognised as one of the most important factors on the farm. Yet despite 200 years of scientific investigation
"Non-pathogenic organisms trigger immune responses in plants, helping them to remember and combat future attacks from related pathogens.",How do non-pathogenic organisms help plants combat future attacks from pathogens?,This is logged in the memory of the plant which can then combat future attack by pathogens that are related to the non-pathogen.
"If organic matter is removed and not returned, soil losses occur due to crop removal, leaching, and lack of nutrient replenishment.",What happens if organic matter is removed and not returned to the soil?,"In simple terms, losses from the soil arise as a consequence of crop removal from the field"
The versatility of soil organisms lies in their capacity to decompose a wide range of natural and synthetic chemicals.,How can the versatility of soil organisms be described?,Much of this biochemical versatility is due to the capacity of bacteria and fungi to decompose a wide range of natural and synthetic chemicals.
"Repeated application of synthetic chemicals can exceed the soil's capacity to cope, leading to toxicity.",What might occur with repeated application of synthetic chemicals to soil?,"However, there is a limit to their ability to cope with pollutants and in high concentrations, or when repeatedly applied, these chemicals can be toxic."
"High concentrations of pollutants can surpass the soil's ability to decompose them, leading to potential toxicity.",What is the impact on soil if it is treated with high concentrations of pollutants?,Much of this biochemical versatility is due to the capacity of bacteria and fungi to decompose a wide range of natural and synthetic chemicals.
Albert Howard emphasized in 1940 that humus is key to fertile soil and prosperous agriculture.,What significant point was made by Albert Howard in 1940 about soil fertility?,The key to a fertile soil and a prosperous agriculture is humus.
"Soil degrades environmental pollutants through the action of bacteria and fungi, breaking down various waste materials.",How does soil play a role in the degradation of environmental pollutants?,Sohl has often played the role of the 'universal dustbin'. All kinds of waste have been dumped into the soil.
"Organic farming maintains soil fertility by managing Soil Organic Matter (SOM), providing food and substrate for soil microorganisms.",What is one way organic farming maintains soil fertility?,Managing SOM is extremely important in organic farming. SOM provides a substrate and vital food source for soil biology.
Continuous removal of nutrients from soil without replenishment can lead to significant losses and reduced soil fertility.,What can result from the continuous removal of nutrients from soil without replenishment?,"In simple terms, losses from the soil arise as a consequence of crop removal"
Vital part of proteins and chlorophyll,What is the primary role of Nitrogen in plants?,"Role in plants
Vital part of proteins and chlorophyll; too little causes early maturity and reduced yield"
Fixed from atmosphere by microorganisms,What are the primary sources of Nitrogen for plants?,"Primary sources
None in soil minerals; fixed from atmosphere by microorganisms"
Soluble forms released from organic matter by microorganisms,How is Nitrogen made available to plants?,"Plant availability
Only soluble forms directly available to plants; these are released from organic matter by microorganisms"
"Fixation by legumes, organic fertilisers, atmospheric deposition",What are the main gains of Nitrogen in soil?,"Gains
Fixation by legumes; organic fertilisers; atmospheric deposition"
"Leached from soils; nitrate conversion in warm, wet conditions",How is Nitrogen lost from soil?,"Losses
No, easily leached from soils; Nitrate can also be converted to gaseous nitrogen or oxide in warm, wet conditions"
"Energy transfer; DNA, cell membranes; prevents stunting",What is the role of Phosphorus in plants?,"Role in plants
Key role in energy transfer in cells, DNA, cell membranes; too little causes root and shoot stunting and delays maturity in cereals"
Soil minerals,What are the primary sources of Phosphorus?,"Primary sources
Soil minerals; amount in soil determined by soil parent material"
Rapidly absorbed by soil minerals; becomes fixed and unavailable,How is Phosphorus made available to plants?,"Plant availability
Soil minerals rapidly absorb phosphate ions, where they become fixed and unavailable to plants; soil solution concentration therefore very low"
