question,answers
in which way is climate change affecting agriculture?,"changes in temperature, rainfall, and weather patterns"
what is the WHO death estimates from pesticides poisonings.," 220,000 deaths"
Why is it that in kigezi region most especially kabale they do not plant cassava ?,"The decision not to plant cassava in a particular region like Kigezi, especially in Kabale, can be influenced by various factors such as climate, soil conditions, market demand, cultural preferences, and available resources. Cassava is a tropical crop that requires warm temperatures and well-drained soils to thrive. In regions with cooler temperatures or excessive rainfall, cassava may not grow well or yield satisfactory results. Additionally, farmers in certain areas may prioritize other crops that are better adapted to the local conditions or that have higher market value. It's important to consider the specific agro-ecological conditions and local farming practices when determining crop suitability for a particular region."
what is the role of an inspector.,Person authorized by the regulatory body to perform the field inspection
what is Cassava Mosaic Disease (CMD)., is a viral disease that is caused by different strains of the cassava mosaic virus
why is DAP used in planting maize.,"is a phosphorus-rich fertilizer that also contains nitrogen. It is often used as a basal or pre-planting fertilizer for maize, as it promotes root development and helps the plants establish quickly. However, it may not provide adequate amounts of potassium and other micronutrients that maize needs for optimal growth."
At what spacing can cassava be intercropped with beans?,"Cassava and beans can be intercropped at a spacing of 75 cm between cassava rows and 50 cm between bean rows, with a spacing of 25-30 cm between bean plants within the rows"
name any livestock diseases.," foot-and-mouth disease, brucellosis, and tuberculosis"
"how does precision agriculture technologies, such as remote sensing, soil sensors, and variable-rate application systems help farmers and agronomist.",allow agronomists to optimize fertilizer use by applying nutrients precisely where and when they are needed. This helps reduce wastage and environmental impact.
how can crop rotation helps to improve red soil for maize growth.," by alternating maize with other crops to break pest and disease cycles, improve soil health, and reduce nutrient depletion."
"If it says locally grown, does that mean it is from my community?","Not necessarily. This may come as a surprise, but if you�re buying or eating locally grown food, it may not be food grown in your community."
what is the duration of NARO 1 maize variety for maturity.,75 to 90 days after planting
"which beetle feed on the leaves of bean plants, causing holes and defoliation, which can reduce yields.",Bean leaf beetles (Cerotoma trifurcata)
where can we find cassava whitefly., warm and humid regions
what are Pyrethroids pesticides.,"Pyrethroids are a type of synthetic pesticide that can be effective against a range of insect pests, including bean beetles and leafhoppers. They work by attacking the nervous system of insects. Pyrethroids are available in various forms, including sprays, dusts, and granules."
how can yellowing be used to check cassava maturity.,"As the cassava plant matures, the leaves will begin to turn yellow and dry up. This is a sign that the plant is ready for harvesting"
which region in African has the armyworm,Sahara
what is inter-cropping.,This involves planting other crops between the cassava rows to help suppress weed growth
why are farmers advised not to apply fertilizers during drought or when rainfall are unexpected.,"can cause fertilizer burn or leaching, and reduce its effectiveness"
which maize variety has a maturity of 80 days.,PHB 3253
what the advantages of natural food?,make cows produce more milk and chickens produce more eggs
"For example, if the beans are infested with bean weevils or bean fly, when is it recommended to spray?","it is recommended to apply insecticides at the early stages of plant growth, when the pests are most active"
which does virus responsible for cassava mosaic disease belongs to?,Geminiviridae
Which condition is suitable for cassava plantation,The cassava crop grows well in areas that are humid and moist
what can happen to maize that is harvested before it is fully dried.,"may not store well, as the moisture content is higher and the grain is more prone to spoilage and insect damage."
what are organic fertilizers.,"Organic fertilizers are made from natural materials such as compost, manure, and bone meal. They can provide a range of nutrients and help to improve soil structure and fertility over time."
which micronutrients do beans require.,"calcium, magnesium, and sulfur"
What are the benefits of processing and packaging low crops,"Value addition: Processing and packaging add value to the crops, making them more marketable and increasing their economic value. Processed products, such as cassava flour, starch, chips, or other derived products, often have higher market demand and can fetch higher prices than raw crops.

Longer shelf life: Proper processing and packaging techniques can help extend the shelf life of low crops. By reducing moisture content, controlling microbial growth, and protecting against pests and spoilage, processed and packaged products can be stored for longer periods, reducing post-harvest losses.

Market access and diversification: Processed and packaged products have better market access compared to raw crops. They can be transported more easily, reach distant markets, and cater to specific consumer demands. This diversification allows farmers to explore different market channels and potentially increase their income.

Convenience and consumer appeal: Processed and packaged products offer convenience and ease of use for consumers. They are often ready-to-use or require minimal preparation, making them more attractive to busy consumers. Additionally, attractive packaging and labeling can enhance product appeal and create brand recognition.

Value chain development: Processing and packaging low crops can contribute to the development of the agricultural value chain. It creates opportunities for agro-processing industries, job creation, and skills development. This can have positive socio-economic impacts on rural communities and contribute to overall agricultural development."
what is the right spacing for beans when plantimg?,about 2-4 inches apart
how can microbial activity help facilitate the loosening of the upper soil layers when farmyard manure is applied.,"Farm yard manure provides a food source for soil microorganisms. These microorganisms break down the organic matter in the manure, releasing nutrients and byproducts that contribute to the formation of soil aggregates. Microbial activity also produces substances that help bind soil particles together and enhance soil stability."
How do I know when my corn is ready to harvest?,"Corn is typically ready to harvest when the kernels are firm and have reached their full size, and the ears have a mature appearance"
list common signs of sucking pest.,"ellowing leaves, stunted growth, distorted leaves, and a general decline in plant health. Severe infestations can also cause wilting, defoliation, and even death of the plant."
what is the importance of humidity.,"High humidity can promote the growth of fungal diseases, while low humidity can increase water stress on plants. Crop-specific humidity requirements vary, and farmers need to consider the ideal humidity levels for their crops."
which countries in United States has fish farms,"California, Idaho, Alabama, Arkansas, Louisiana, Mississippi, and along the southeastern U.S. coast"
which does virus responsible for cassava mosaic disease belongs to?,Geminiviridae
where are the south americans beetles,South America
name the importance of water to soil steucture.,"Water can also affect soil structure by helping to bind soil particles together. This can improve soil stability, reduce erosion, and promote better water and nutrient retention."
how is root rot spread?,"spread through infected soil, water, and planting material"
what are the signs and symptoms of cassava mealybugs.,"stunted growth, wilting, yellowing of leaves, and reduced yield"
Npk and dap winch one is good for planting maize?,"It is important to note that the choice of fertilizer and application rate may depend on the specific soil and environmental conditions, as well as the maize variety and intended use of the crop. It is recommended to conduct a soil test and consult with a local agricultural expert to determine the appropriate fertilizer and application rate for a specific situation."
what is Intensive farming.,"is cultivation to maximise productivity, with a low fallow ratio and a high use of inputs (water, fertilizer, pesticide and automation)"
when do the intensity of outbreak increases.,"during the start of the wet season after a drought, which allows moths to lay eggs in areas of dense vegetation which supports the larval stage growth"
what is the use of wind mill.,"to saw wood and make typical household items, such as oil, paper, spices, chalk, and pottery."
which caterpillar pests  can cause significant damage to cassava crops.,Armyworms 
what are some of the symptoms  and signs of CAD,"small, circular, water-soaked spots on leaves that expand into larger, dark brown or black lesions. Infected leaves may become distorted and dry up"
can crop rotation help control root rot in cassava?,Crop rotation can help to break the cycle of disease and reduce the risk of infection.
Farmers always ask for climatic factors affecting agriculture,"Temperature influences plant growth and development. Different crops have specific temperature requirements for germination, growth, flowering, and fruiting. Extreme temperatures, such as frost or heatwaves, can damage crops and reduce yields."
what is biological pest control., is a method of controlling pests such as insects and mites by using other organisms
what is crop protection?," Crop protection refers to the various methods used to protect crops from pests, diseases, and other threats"
what is isolation.,"A minimum separation distance required in a seed multiplication field in order to prevent
contamination by physical mixtures or disease vectors"
"To ensure the longevity and effectiveness of pesticides, what guidelines should be followed by farmers.","Keep containers tightly sealed: Properly seal the containers to prevent leakage and evaporation of the pesticide.

Separate from food and feed: Store pesticides away from areas where food, animal feed, or drinking water are stored to prevent contamination.

Follow expiration dates: Pesticides have an expiration date indicated on the label. Use them before the expiration date to ensure their effectiveness.

Handle with care: When handling pesticides, follow the safety instructions on the label, wear appropriate protective gear, and avoid inhaling or contacting the chemicals."
Which two types of beans gives high yields...the climbing beans or the ordinary beans?,Both climbing beans and bush (ordinary) beans can give high yields if they are properly managed and grown under suitable conditions. 
how do the moths migrate?,"migration is based on winds brought by the Intertropical Convergence Zone, which move northwards or southwards depending on the season"
in which way is climate change affecting agriculture?,"changes in temperature, rainfall, and weather patterns"
name the diet in which diary cows should be fed on.,diet high in protein and calcium
Which places should be avoided when collecting soil sample,"Near buildings or infrastructure: Soil near buildings, roads, driveways, or other structures may contain contaminants such as chemicals, heavy metals, or pollutants that can affect the soil composition and fertility.
"
Name factors that causes seed dormancy," mechanical barriers, chemical inhibitors, immature embryos, scarification requirements, and environmental cues"
what important role does agriculture play?,feeding the growing population.
what is the approximate Global agricultural production of food.,11 billion tonnes
name the pre-cultivation requirements are important for ensuring a healthy and high-yielding cassava crop.,"Proper land preparation, seed selection, and pest and disease control are critical for successful cassava production"
name the components of nitrogen fertilizers.,"ammonium nitrate, urea, and ammonium sulphate"
Is it late to plant maize in this mid September.,"The optimal planting time for maize varies depending on the specific region and climate conditions. In general, maize is typically planted during the spring season when temperatures are warm and frost is no longer a concern.

Planting maize in mid-September may be considered late in many regions, especially if you are in a location where winters or cool temperatures arrive early. Late planting can result in several challenges, including reduced yields and increased risk of crop damage from frost or cold weather.
"
what is Couch grass?,is a persistent weed that can be difficult to control in cassava gardens
how can soil living organism helps control pest and diseases.," Some soil organisms, such as certain species of bacteria and fungi, can help to control pests and diseases by competing with or attacking harmful organisms."
which countries do we find african armyworm,"Tanzania, Kenya, Uganda, Ethiopia, Somalia, Malawi, Zimbabwe, Zambia, and South Africa"
