ANSWER,QUESTION.question,QUESTION.paragraph
"IARI, New Delhi.",Where is the Water Technology Centre that contributed to water management technology promotion?,"The Water Technology Centre of IARI, New Delhi has made tremendous contribution towards the promotion and transfer of water management technologies under phases I and II of the FPARP to benefit the farmers."
It benefits the farmers.,What is the effect of the FPARP phases I and II on farmers?,"The Water Technology Centre of IARI, New Delhi has made tremendous contribution towards the promotion and transfer of water management technologies under phases I and II of the FPARP to benefit the farmers."
Brought out an extension bulletin and highlighted technologies.,What did scientists do to help with water management technologies?,This extension bulletin has been brought out by the scientists associated with the programme. I appreciate the efforts of these scientists in bringing into focus the different water management technologies available and congratulate them for bringing out this publication.
Efforts in focusing on water management technologies and producing the publication.,What did H.S. Gupta appreciate about the scientists?,I appreciate the efforts of these scientists in bringing into focus the different water management technologies available and congratulate them for bringing out this publication.
H.S. Gupta.,Who signed the document appreciating the scientists' efforts?,I appreciate the efforts of these scientists in bringing into focus the different water management technologies available and congratulate them for bringing out this publication.
Director of IARI.,Who is H.S. Gupta?,"December 1, 2012 (H.S. Gupta) New Delhi Director, IARI"
"By demonstrating effective water management technologies in farmers’ fields, enhancing productivity per unit volume of water.",How did the FPARP contribute to agricultural productivity in India?,"With this objective, the Ministry of Water Resources, Government of India had initiated the Farmers’ Participatory Action Research Programme (FPARP)... Under this programme, different water management technologies have been effectively demonstrated in farmers’ fields..."
Phases I and II.,Which phases of the FPARP were mentioned in the document?,"The Water Technology Centre of IARI, New Delhi has made tremendous contribution towards the promotion and transfer of water management technologies under phases I and II of the FPARP to benefit the farmers."
"Capacity building of farmers, extension workers, and policy planners.",What is the publication mentioned in the document useful for?,This extension bulletin has been brought out by the scientists associated with the programme. I appreciate the efforts of these scientists in bringing into focus the different water management technologies available and congratulate them for bringing out this publication...
"December 1, 2012 in New Delhi.",When and where was the document signed?,"December 1, 2012 (H.S. Gupta) New Delhi Director, IARI"
Raised bed-controlled traffic systems,What greatly improves soil structure according to section 3.2.6?,3.2.6 Soil structure: Raised bed-controlled traffic systems greatly improve soil structure.
It enhances soil seed contact and improves seed germination and plant establishment.,What is one major benefit of firming the seed bed after sowing?,3.2.6 Soil structure: Firming the seed bed after sowing will enhance the soil seed contact and improve seed germination and plant establishment.
"Soil properties are improved and bulk density decreased, making good soil seed contact easier.",How does soil property improvement help soil contact according to section 3.2.6?,"3.2.6 Soil structure: Soil properties such as slaking, dispersion and bulk density are all decreased while water infiltration is increased."
The rounding of beds,What accelerates water run-off according to section 3.2.7?,3.2.7 Run-off from bed tops: The rounding of beds also accelerates water run-off.
Grooving the beds using water harvesting furrows formed with press wheels,What feature in bed design helps retain valuable moisture?,"3.2.7 Run-off from bed tops: Grooving the beds in the direction of the bed using water harvesting furrows, usually formed with press wheels, can greatly help retain this valuable moisture."
To sow the furrows between the beds with crops,What is one option to minimize nutrient loss according to section 3.2.8?,3.2.8 Nutrient loss from paddocks: One option to minimize nutrient loss with run-off leaving the field is to sow the furrows between the beds with crops.
They contribute to overall yield.,How do furrow-planted crops help in dry seasons?,3.2.8 Nutrient loss from paddocks: Especially in drier seasons these furrow-planted crops will contribute to overall yield.
They compete with weeds.,What additional benefit do crops grown in furrows provide?,3.2.8 Nutrient loss from paddocks: And crop plants growing in sown furrows will also compete with weeds.
Adjustable blades on the frame and roller,What feature allows the raised bed planter to make beds of different widths and heights?,3.3 Raised Bed Planter: The machine has adjustable blades for making raised beds of different widths and heights that can be adjusted by the shifting of blades on the frame and roller on the rear.
"One, two, or three rows",How many rows can the seed-cum-fertilizer drilling mechanism sow on each bed?,"3.3 Raised Bed Planter: It has a seed-cum-fertilizer drilling mechanism for sowing one, two or three rows on each bed."
From 65 to 70 cm,How can the width of the beds in the raised bed planter be adjusted?,3.3 Raised Bed Planter: The width of beds can also be adjusted from 65-70 cm.
It is fitted with knife-type tines.,What feature makes the planter versatile for sowing other crops?,3.3 Raised Bed Planter: The planter is fitted with knife-type tines so that it can also be used for sowing other crops.
