question,answers
Which variety of dk maize is good in amolatar?,"DK 8033 is a maize variety that has been widely grown in Uganda, including in the Amolatar region"
What percentage did vitamin C in fresh broccoli dropped?, 50% within one week
which other field is RFID being used?,hay
What is the best way to store harvested wheat to prevent spoilage?,Harvested wheat should be stored carefully to prevent spoilage and maintain quality
name one chemical pesticides that can be applied to control termides.,termiticides
what chemical methods are used to control termites.,"baits, soil treatments, and wood treatments"
"which nutrient  is important for root development, flowering, and fruiting.",Phosphorus 
how can sandy soil be improved.,"sandy soil can be improved by adding organic matter such as compost or manure, which can help to retain moisture and nutrients."
why is Integrated Pest Management used?,"to minimize the use of pesticides and other chemicals, while still effectively controlling pests and diseases."
what is Tillage.," is the practice of breaking up the soil with tools such as the plow or harrow to prepare for planting, for nutrient incorporation, or for pest control."
what does the number 10-20-10 represent in  fertilizers.,"the numbers represent the percentage of N, P, and K, respectively"
 can delaying weeding cassava cause cassava mosaic,"Delaying weeding in cassava fields can create favorable conditions for the spread of Cassava Mosaic Disease (CMD). Weeds can act as alternative hosts for the whiteflies that transmit the virus responsible for CMD. When weeds are left to grow and multiply in the cassava field, they can attract whiteflies and serve as a reservoir for the virus. These whiteflies can then spread the virus to the cassava plants, leading to infection and the development of mosaic symptoms."
what are the negative consequences of fertilizers for the environment.,pollution of waterways and harm to aquatic ecosystems.
which part of cassava is affected by CBSD,roots
"Besides cow dung and urine, what does farmyard manure contain.",Animal bedding
what is the minimum soil depth required for growing cassava,30 cm
at what stage does the cutworms attack cassava?,during the early stages of growth
does harvesting maize early before its dried causes mycotoxin contamination?,"Maize that is harvested before it is fully dried is at a higher risk of mycotoxin contamination, which can pose health risks to both humans and animals if consumed."
Which agricultural method can be used to improve on soil fertility,fertilizer applications
how does seed drying prevent spoilage.," Drying seeds effectively reduces the risk of spoilage during storage. Moisture provides a favorable environment for the growth of microorganisms, such as fungi and bacteria, which can attack and damage seeds. By reducing moisture content through drying, farmers can inhibit the growth of these organisms and minimize the risk of seed spoilage and loss."
how can farmers ensure proper drainage.,Ensuring that fields are properly drained can help to reduce the risk of infection.
name two types of African armyworm outbreak.,primary and secondary
"During the mid to late vegetative stage, cassava requires less rainfall as it begins to store food in its roots. what is it?",about 750 to 1000 mm of rainfall.
how were the primitive milking machine used?,used hollow wheat stems inserted in the teats to milk cows
what causes blight?,blight 
How can I test for moisture in maize at a local level,"Hand Feel: Take a handful of maize kernels and squeeze them tightly in your hand. If the kernels feel hard and dry, it indicates low moisture content. If they feel slightly pliable or soft, it suggests higher moisture content.

Bite Test: Take a few kernels and try to bite into them. If they crack easily, it indicates lower moisture content. If they are chewy or squashy, it suggests higher moisture content.

Visual Inspection: Examine the appearance of the kernels. If they appear shriveled, discolored, or have damaged husks, it could indicate lower moisture content. If the kernels appear plump, shiny, and well-hydrated, it suggests higher moisture content.
"
how long does the cassava plant takes to mature.," between 9-24 months after planting, depending on the variety and the intended use of the crop"
how many bristles do female armyworms have?,females have multiple
what is Land transformation.,the use of land to yield goods and services
how is biodiversity enhanced through reliable rainfall.," Rainfall can support a variety of plant and animal species, leading to increased biodiversity and a healthier ecosystem.
"
define field capacity?,"This refers to the maximum amount of water the soil can hold after it has been thoroughly wetted and excess water has drained away. At field capacity, there is enough water in the soil for plants to use, but excess water has drained away, leaving air spaces in the soil."
name other chemicals used for seed dressing.,"imidacloprid, clothianidin, and thiamethoxam, which are neonicotinoid insecticides."
what depth should the cassava garden be ploughed to.,at least 25 cm
What is the process of field drying and threshing maize?,Post-harvest management
what biological method can a farmer use to control cassava whitefly.,"introduction of natural enemies of the whitefly,"
how can you control whiteflies,Whiteflies can be controlled using insecticides or by using sticky traps that attract and trap the insects.
which plant nutrient helps in formation of chlorophyll . , magnesium (Mg)
How are maize planted?,"the maize seeds are planted either by hand or machine, depending on the scale of the operation"
give other examples of ruminats,"Goats, sheep, camels, and antelope "
Can maize be grown in green house?,"Yes, maize can be grown in a greenhouse, but there are some important considerations to keep in mind."
how is threshing done for bean crops?,manually or by using machines such as threshers or combines
Can I eat healthy without spending a lot of money?,es. Food in the United States is very affordable
which organic fertilizer is good for cassava cultivation.,compost or animal manure
why are farmers encouraged to do proper seed bed preparation.,"Proper seed bed preparation creates a favorable environment for seed germination. It helps to loosen the soil, remove debris, and create a fine and level surface where seeds can make good contact with the soil, facilitating better seed-to-soil contact and increasing the chances of successful germination."
how do the moths migrate?,"migration is based on winds brought by the Intertropical Convergence Zone, which move northwards or southwards depending on the season"
what other measures can be used to control CAD?,Sanitation
why are farmers encouraged to do proper seed bed preparation.,"Proper seed bed preparation creates a favorable environment for seed germination. It helps to loosen the soil, remove debris, and create a fine and level surface where seeds can make good contact with the soil, facilitating better seed-to-soil contact and increasing the chances of successful germination."
name the first step in crop cultivation,Land preparation
what are Calcium-based fertilizers?,"Fertilizers that are high in calcium, such as calcium nitrate or calcium carbonate, can help improve soil structure and water-holding capacity. Calcium helps flocculate clay particles in the soil, creating larger pore spaces and improving drainage."
Does most of the money I pay for food go back to the farmer?,Not necessarily
Farmers always ask what do they do to store beans safely,"Clean the beans: Remove any debris or foreign matter from the beans, such as leaves, stones, or twigs. This can be done by hand or with a sieve.

Dry the beans: Spread the beans out on a clean, dry surface to allow them to dry completely. This will help prevent mold growth and spoilage.

Store in a cool, dry place: Beans should be stored in a cool, dry place with good air circulation, such as a pantry or a cool basement. Avoid storing them in a damp or humid environment, as this can promote mold growth.

Use airtight containers: Store beans in airtight containers such as plastic bags, glass jars or metal containers with tight lids. This will help keep out moisture and pests.

Check regularly: Check the beans regularly for signs of mold, moisture or insect infestation. If any beans appear damaged, remove them immediately to prevent further spoilage."
can the quality of maize harvest early before its dried be reduced?,"Maize that is harvested before it is fully dried may have a lower quality, as the starch content may not be fully developed, leading to lower yields and poorer quality grain."
what is Intensive farming.,"is cultivation to maximise productivity, with a low fallow ratio and a high use of inputs (water, fertilizer, pesticide and automation)"
