question,answers
Which places should be avoided when collecting soil sample,"Near buildings or infrastructure: Soil near buildings, roads, driveways, or other structures may contain contaminants such as chemicals, heavy metals, or pollutants that can affect the soil composition and fertility.
"
what is Cassava Anthracnose Disease (CAD) .,is a fungal disease that affects cassava plants.
which fungi causes root rot ?,"Fusarium, Pythium, and Phytophthora"
why should cassava not be stack too high.,the weight of the tubers can cause them to crush and spoil.
How can a farmer control bean weevil in the store?,"Cleaning and hygiene: Before storing beans, ensure that the storage area is clean and free from debris and residues that may harbor pests. Thoroughly clean the storage containers or structures to remove any existing infestations.

Proper storage containers: Use airtight containers, such as metal or plastic bins with tight-fitting lids, to store beans. This helps prevent weevils from entering and infesting the beans. Avoid using jute bags or other porous materials that can allow pest entry.

Temperature control: Weevils thrive in warm temperatures. Keeping the storage area cool can help deter their growth and reproduction. Maintain a temperature below 15 degrees Celsius if possible.

Moisture control: Weevils require moisture to survive and reproduce. Ensure that the beans are properly dried before storage to reduce moisture content. Use moisture-absorbing substances like silica gel packets or dry ash in the storage containers to keep the environment dry.

Natural repellents: Some natural substances act as repellents to weevils. These include dried neem leaves, mint leaves, or tobacco leaves. Place small sachets of these repellents in the storage containers to deter weevils.

Freezing or heating: If feasible, beans can be subjected to extreme temperatures to eliminate weevils. Freezing the beans for a few days at temperatures below -18 degrees Celsius or heating them at temperatures above 60 degrees Celsius can kill the pests.

Regular monitoring: Regularly inspect the stored beans for signs of weevil infestation, such as holes in the beans or presence of adult weevils. If infestation is detected, separate and discard the infested beans to prevent further spread."
define embryo dormancy?,occurs when the embryo is immature and unable to germinate even under favorable conditions
name some control measures for cutworms.," use of insecticides, such as pyrethroids or neem oil, applied directly to the cassava plant or to the soil."
The primary macronutrients are?," nitrogen (N), phosphorus (P), and potassium (K), which are typically present in fertilizers in the form of NPK ratios"
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
name examples of Potassium-based fertilizers.," potassium sulfate or potassium chloride,"
Name cultural  techniques for managing crop nutrients use.,crop rotation or a fallow period
which types of crops are used to retain and recycle soil nitrogen already present.,catch crops
name any insecticides that can be used on cassava beetles.,neem oil or pyrethroids
how can pest and diseases be managed in maize plants? ,"use of chemical or organic pesticides and fungicides, as well as proper crop rotation to reduce the risk of infection"
What other crops can be intercropped with beans?,"Maize is a common intercrop with beans, and the two crops complement each other well. Maize provides a support structure for climbing beans, while beans fix nitrogen in the soil, which benefits maize growth."
name any materials that can be use mulch on the farm.,"straw, leaves, or wood chips"
what is a cassava whitefly," is a tiny, sap-sucking insect that feeds on the cassava plant, particularly on the underside of the leaves."
which micronutrients do beans require.,"calcium, magnesium, and sulfur"
Poor irrigation leads to?,"waterlogging, soil salinization, and other negative environmental consequences."
Maize flour obtained after starch extraction is commonly referred as?,"""maize meal"" or ""corn meal,"""
what factors leads to cassava price variation.," location, market demand, and quality of the cassava"
"Farmers always burn maize residues, is it a good or bad practice","On the positive side, burning maize residues can help to control pests and diseases, reduce weed pressure, and provide a quick and convenient way to clear the field for the next crop. Burning can also release nutrients, such as nitrogen and potassium, back into the soil, which can be beneficial for the next crop."
"Are fresh, raw vegetables healthier and more nutritious than frozen
vegetables?",Not necessarily. Research shows that frozen vegetables can even be more nutritious than fresh vegetables!
"Farmers always burn maize residues, is it a good or bad practice","On the positive side, burning maize residues can help to control pests and diseases, reduce weed pressure, and provide a quick and convenient way to clear the field for the next crop. Burning can also release nutrients, such as nitrogen and potassium, back into the soil, which can be beneficial for the next crop."
explain how over grazing destroy soil nutrients.,"Overgrazing by livestock can lead to soil compaction, erosion, and loss of soil organic matter, which are all detrimental to soil fertility."
how can you control mealybug biologically?,introduction of natural enemies of the mealybug
what causes Pythium Root Rot disease.,soil-borne fungus that thrives in wet and poorly drained soil
What is the best time of year to plant soybeans in the Midwest?, between late April and mid-May
What percentage did vitamin C in fresh broccoli dropped?, 50% within one week
what are some of the technologies used by farmers in maize production.," improved seeds like hybrid and open pollinated varieties, timely planting, proper spacing and timely weeding and harvesting"
Which method of fertilizer application do we use during weeding beans?,"For fertilizer application during weeding of beans, the most common method is top-dressing"
what is the importance of chlorophyll.,is necessary for photosynthesis and plant growth.
"Are fresh, raw vegetables healthier and more nutritious than frozen
vegetables?",Not necessarily. Research shows that frozen vegetables can even be more nutritious than fresh vegetables!
How can i control pests locally in stored beans,"Proper cleaning and storage: Thoroughly clean the storage containers or structures before storing beans to remove any existing infestations. Use airtight containers with tight-fitting lids to prevent pest entry.

Physical methods: Handpicking and manually removing pests from the beans can be effective, especially if the infestation is limited. Use a sieve or mesh screen to sift the beans and separate any pests present.
"
what is the role of an inspector.,Person authorized by the regulatory body to perform the field inspection
what is Spinosad pesticide.,"Spinosad is a natural pesticide derived from the fermentation of a soil bacterium. It is effective against a wide range of insect pests, including bean beetles, leafminers, and thrips. Spinosad works by disrupting the nervous system of insect pests, leading to paralysis and death."
"During the mid to late vegetative stage, cassava requires less rainfall as it begins to store food in its roots. what is it?",about 750 to 1000 mm of rainfall.
"give examples of macronutrients?
","nitrogen, phosphorus, and potassium,"
why is it important in agriculture?,It is an essential aspect of agriculture that plays a crucial role in ensuring sustainable crop yields and protecting the environment.
Is it true that i can make glue from cassava,"Yes, cassava can be used to make glue. Cassava is a starchy root vegetable that is native to South America, but is now grown in many parts of the world. The starchy content of cassava can be extracted and used to make a type of adhesive or glue"
why does the use of herbicides requires proper training and application.,to avoid damage to the cassava plants and the environment
How can Rogueing be used to control CBSD.,Infected plants should be identified and removed from the field to prevent the disease from spreading
name examples of cover crops.,"Secale cereale (rye), Vicia villosa (hairy vetch), Trifolium pratense (red clover), Sorghum bicolor (sorghum-sudangrass), and species in the family Brassicaceae, particularly mustards"
which fungal disease affects cassava,Root rot
what method is used to overcome embryo dormancy.,stratification
which human activities causes drought.," over-extraction of groundwater, water pollution, and inefficient water use can exacerbate drought conditions and reduce the availability of water for agriculture, industry, and domestic use"
Can beans still be planted in October this year in amolatar?,"In Amolatar, which is located in Northern Uganda, October is generally considered the end of the rainy season and the beginning of the dry season. However, with the changing climate, it is difficult to predict weather patterns accurately. It is possible to plant beans in October if there is still enough soil moisture, either from the remaining rains or from irrigation. "
why is migration benefical to moths?,it allows the species to travel to a new location with fewer predators and less possibility of parasitism and infection
May we farmers know the uses of water in the soil,"Water is necessary for plants to absorb nutrients from the soil. Water dissolves nutrients and makes them available to plant roots, which can then take up the nutrients they need for growth."
why whiteflies are able to multiply and spread so quickly,"Whiteflies have a high reproductive rate, with females capable of laying hundreds of eggs during their lifetime. These eggs hatch quickly, and the nymphs develop into adults in just a few weeks, allowing populations to increase rapidly."
can clean planting materials be used to control root rot?,Cassava cuttings should be obtained from healthy plants that have been certified as free from root rot.
how does nitrogen-fixing bacteria helps improve soil fertility.,"help to improve soil fertility by converting atmospheric nitrogen into a form that plants can use.
"
which other field is RFID being used?,hay
what is ratoon crop.,"A sprout or shoot from the root, stem or vine of a plant after it has been cut back"
what is the importance of crop rotation.,"Implementing crop rotation practices helps to break the cycle of soil erosion. Alternating maize cultivation with other crops, such as legumes or root crops, helps to improve soil health, reduce erosion, and mitigate nutrient depletion."
why do farmers practice irrigation.,to conserve water while ensuring that crops receive the necessary moisture for healthy growth.
how can you control mealybug biologically?,introduction of natural enemies of the mealybug
what is physical pest control.,involves trapping or killing pests such as insects and rodents
name some of the common water management practices,"soil moisture monitoring, crop water requirements estimation, crop selection, and crop rotation."
when do moths travel?,during the day
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
what are Pyrethroids pesticides.,"Pyrethroids are a type of synthetic pesticide that can be effective against a range of insect pests, including bean beetles and leafhoppers. They work by attacking the nervous system of insects. Pyrethroids are available in various forms, including sprays, dusts, and granules."
which other ways can farmers use to manage cassava whitefly.,"use of resistant varieties, maintaining proper plant nutrition and moisture levels, and minimizing weed growth around the cassava plants."
How long should artificial fertilizers be used in a certain piece of land in order to avoid degradation? ,"To prevent soil degradation, it is also recommended that farmers periodically test their soil for nutrient levels and pH and adjust their fertilizer application rates based on the test results. This can help ensure that fertilizers are being applied in appropriate amounts and prevent the accumulation of excess nutrients in the soil, which can lead to environmental pollution.A year after a year, Fertilization depends on crop and organic matter content of the soil. it would be advisable to always apply fertilizers after soil analysis. however, inherently, our soils (especially in buganda) are poor. by default, the lack n, p and k. soil erosion is also causing lot of depletion. it is advisable that the inorganic fertilizers be applies every cropping season. remember fertilizers will not work well if the soil does not have organic matter"
How long does cassava takes to mature.," It takes between 8 to 18 months to mature, depending on the variety"
Which places should be avoided when collecting soil sample,"Near buildings or infrastructure: Soil near buildings, roads, driveways, or other structures may contain contaminants such as chemicals, heavy metals, or pollutants that can affect the soil composition and fertility.
"
why are dressing chemicals called systemic? ,they are absorbed by the seedling and provide protection against insect pests for a period of time.
Name the crops that can be successfully grown in clay soil.,"Cabbage
Spinach
Broccoli
Cauliflower
Kale
Beets
Beans
Peas"
"which pest feeds on the underside of the cassava leaves, causing them to turn yellow and dry up",Cassava green mite
when do adults emerge?,in 7 to 10 days
list common signs of sucking pest.,"ellowing leaves, stunted growth, distorted leaves, and a general decline in plant health. Severe infestations can also cause wilting, defoliation, and even death of the plant."
Name regions in which Pastoralism is practised.,"arid and semi-arid regions of Sahara, Central Asia and some parts of India."
what is animal welfare?,refers to the conditions in which an animal is raised
what spreads Cassava Mosaic Disease (CMD),whitefly
What fertilizer is recommended for maize at planting stage?,"For maize at the planting stage, a fertilizer high in phosphorus (P) is recommended. Phosphorus plays a crucial role in promoting root development and early plant establishment. One commonly used fertilizer for maize at planting is diammonium phosphate (DAP), which typically has a ratio of 18-46-0, indicating 18% nitrogen (N), 46% phosphorus (P), and no potassium (K). This fertilizer provides a readily available source of phosphorus for the young maize plants.
"
why do farmers need to add desiccants to the storage containers for beans.,"to absorb any moisture that might still be present.
"
what is the ideal storage temperature for beans?, between 10-15�C
name the phase in polyphenism in which the larvae raised in isolation turns green,solitaria 
"which fungal disease causes yellowing and browning of the leaves, with characteristic cigar-shaped lesions",Northern corn leaf blight
"which fertilizer is often used as a basal or pre-planting fertilizer, and it can also be used as a top dressing fertilizer during the growing season.",NPK 
any maize market out there?,There are several markets available but all depends on where you are based.Where are you based
What is the effect of Cassava Mosaic Disease (CMD) in severe condition.,yield losses of up to 100%
how long does the cassava plant takes to mature.," between 9-24 months after planting, depending on the variety and the intended use of the crop"
How has agricultural automation stimulated employment.,by allowing producers to expand production and by creating other agrifood systems jobs
