ANSWER,QUESTION.question,QUESTION.paragraph
Angular steel and plastic foil.,What materials are used in the Ganesh model of floating-drum plants?,Types of floating –drum plants: Ganesh model made of angular steel and plastic foil.
It causes the gas holder to get stuck in floating scum.,How does fibrous substance affect the gas holder in floating-drum systems?,"If fibrous substances are used, the gas holder shows a tendency to get 'stuck' in the resultant floating scum."
High susceptibility to physical damage.,What construction problem often arises with the attachment of the floating-drum balloon?,"In practice, problems always arise with the attachment of the balloon to the digester and with the high susceptibility to physical damage."
Due to its short lifetime (about 5 years).,Why is the steel drum in floating-drum plants considered short-lived in tropical regions?,The lifetime of the drum is short (up to 15 years; in tropical coastal regions about five years).
Reduces construction costs but attachment problems may occur.,Why does the replacement of the gas drum in floating-drum systems impact construction costs?,This reduces construction costs but in practice problems always arise with the attachment of the balloon to the digester.
20 years or more.,What is the longevity of a fixed-dome biogas plant?,The cost of a fixed-dome biogas plant is relatively low. It is simple as no moving parts exist. There are also no rusting steel parts and hence a long life of the plant (20 years or more) can be expected.
Underground construction.,What aspect of fixed-dome plants contributes to their protection in cold seasons?,"The plant is constructed underground, protecting it from physical damage and saving space. While the underground digester is protected from low temperatures at night during cold seasons."
Storing gas.,What is the function of a gas-holder in a fixed-dome plant?,"A fixed dome plant comprises of a closed, dome-shaped digester with an immovable, rigid gas-holder."
To ensure gas-tight construction.,Why should a well-trained mason supervise the construction of fixed-dome plants?,Fixed-dome plants are easy to construct but construction work should be done by a well-trained mason. They should only be built where construction can be supervised by experienced biogas technicians.
Local employment.,What type of employment does the construction of fixed-dome plants create?,"The construction of fixed-dome plants is labour-intensive, thus creating local employment."
Compensation tank.,What is an alternative name for the displacement pit in a fixed-dome biogas plant?,"The gas is stored in the upper part of the digester. When gas production commences, the slurry is displaced into the compensating tank, also named ‘compensation tank’."
Protection from physical damage and space-saving.,What is a key benefit of constructing the plant underground?,"The plant is constructed underground, protecting it from physical damage and saving space."
They positively influence the bacteriological processes.,How do day/night temperature fluctuations affect the digester?,The day/night fluctuations of temperature in the digester positively influence the bacteriological processes.
The slurry is displaced into the compensating tank when gas production commences.,Describe what happens to the slurry when gas production commences in a fixed-dome plant.,"When gas production commences, the slurry is displaced into the compensating tank."
The gas pressure is low.,What happens if there is little gas in the gas holder of a fixed-dome plant?,"If there is little gas in the gas holder, the gas pressure is low."
To supervise construction ensuring gas-tightness.,What is the role of experienced biogas technicians during the construction of fixed-dome plants?,"They should only be built where construction can be supervised by experienced biogas technicians. Otherwise, plants may not be gas-tight."
Upper part of the digester.,In what part of the digester is the gas stored in a fixed-dome biogas plant?,The gas is stored in the upper part of the digester.
"No rusting steel parts are used, ensuring long life.",Why are rusting steel parts not a concern in fixed-dome biogas plants?,There are also no rusting steel parts and hence a long life of the plant (20 years or more) can be expected.
