ANSWER,QUESTION.question,QUESTION.paragraph
The primary purpose is to increase crop production and manage irrigation more efficiently.,What is the primary purpose of introducing sprinkler irrigation?,"In order to increase the crop production in keeping with the population growth, more area of lands is to be brought under irrigation this is possible only by introducing the sprinkler and drip system, replacing surface methods for certain crops and certain location."
"Groundnut, cotton, sugarcane, millets, pulses, coconut, grapes, banana, limes, vegetable crops.",Which crops are suitable for sprinkler irrigation according to the text?,"Sprinkler irrigation is suitable for closely spaced crops like groundnut, cotton, sugarcane, millets and pulses, forage crops and drip irrigation for wide spaced high value crops like coconut, grapes, banana, limes and vegetable crops."
"Rotating Head or Revolving Sprinkler System, Perforated Pipe System.",What are the two major types of sprinkler systems?,Sprinkler systems are of the following two major types on the basis of the arrangement for spraying irrigation water: 5.2.1 Rotating Head or Revolving Sprinkler System
The spray is developed by the flow of water under pressure through small orifice and nozzles.,How is the spray in a sprinkler irrigation system developed?,"In the sprinkler method of irrigation, water is sprayed into the air and allowed to fall on the ground surface somewhat resembling rainfall. The spray is developed by the flow of water under pressure through small orifice and nozzles."
"Nozzle sizes, operating pressures, sprinkler spacing, and soil infiltration rate.",What factors are considered in the sprinkler method of irrigation?,"With careful selection of nozzle sizes, operating pressures and sprinkler spacing the amount of irrigation water required to refill the crop root zone can be applied nearly uniformly at a rate to suit the infiltration rate of the soil, thereby obtaining efficient irrigation."
Regions of water scarcity where surface methods are insufficient.,For which regions are sprinkler methods becoming increasingly popular in India?,These methods are becoming increasingly popular in India in regions of water scarcity where water is insufficient to irrigate the command area by the surface method.
"Groundnut, cotton, sugarcane, millets, pulses, coconut, grapes, banana, limes, and vegetable crops.",What are the types of crops that benefit from both sprinkler and drip irrigation methods?,"Sprinkler irrigation is suitable for closely spaced crops like groundnut, cotton, sugarcane, millets and pulses, forage crops and drip irrigation for wide spaced high value crops like coconut, grapes, banana, limes and vegetable crops."
"Sprinkler irrigation mimics rainfall, uses pressurized water, and ensures efficient water distribution.",Describe the advantages of using a sprinkler irrigation system.,"In the sprinkler method of irrigation, water is sprayed into the air and allowed to fall on the ground surface somewhat resembling rainfall. The spray is developed by the flow of water under pressure through small orifice and nozzles."
"2 to 4 bar pressure, irrigates 9-24 m wide and up to 300 m long.",What is the operational pressure range and irrigation area for Small/Rotary Sprinklers?,Small size lateral pipes are placed on riser pipes fixed at uniform interval along the length of lateral pipes. The sprinkler operate low to medium pressures of 2 to 4 bar and can irrigate an area of 9-24 m wide and up to 300 m long at one setting.
5 to 35 mm per hr.,What is the water application rate for Small/Rotary Sprinklers?,Application rate vary from 5 to 35 mm per hr.
"Careful selection of nozzle sizes, operating pressures, and sprinkler spacing.",What is essential for achieving efficient irrigation using sprinkler irrigation?,"With careful selection of nozzle sizes, operating pressures and sprinkler spacing the amount of irrigation water required to refill the crop root zone can be applied nearly uniformly at a rate to suit the infiltration rate of the soil, thereby obtaining efficient irrigation."
"Groundnut, cotton, sugarcane, millets, and pulses.",Which small scale crops are mentioned as suitable for sprinkler irrigation?,"Sprinkler irrigation is suitable for closely spaced crops like groundnut, cotton, sugarcane, millets and pulses, forage crops and drip irrigation for wide spaced high value crops like coconut, grapes, banana, limes and vegetable crops."
In regions with water scarcity and insufficient surface irrigation.,Where can the sprinkler method of irrigation be more beneficial in India?,These methods are becoming increasingly popular in India in regions of water scarcity where water is insufficient to irrigate the command area by the surface method.
Pressure ensures uniform application of water to match soil infiltration rates.,Why is pressure used in the sprinkler irrigation system?,"The pressure is usually obtained by pumping. With careful selection of nozzle sizes, operating pressures and sprinkler spacing the amount of irrigation water required to refill the crop root zone can be applied nearly uniformly at a rate to suit the infiltration rate of the soil, thereby obtaining efficient irrigation."
5 to 35 mm per hr.,What are the application rates of Small/Rotary Sprinklers?,Application rate vary from 5 to 35 mm per hr.
Boom Type and Self Propelled Sprinkler Systems,What type of sprinkler system employs one boom sprinkler on each lateral?,Boom Type and Self Propelled Sprinkler Systems: This system employs one boom sprinkler on each lateral.
up to 4 ha,What size of field can large rotary sprinklers irrigate?,Mobile Rain Gun/Large Rotary Sprinklers: They can irrigate areas up to 4 ha at one setting.
sprayed under pressure,What is the method of operation for perforated pipe systems?,5.2.1.2 Perforated Pipe System: This method consists of drilled holes or nozzles along their length through which water is sprayed under pressure.
"It uses a nozzled, slowly rotating pipeline suspended from a portable tower.",How does a boom type and self propelled sprinkler system operate?,"Boom Type and Self Propelled Sprinkler Systems: This system employs one boom sprinkler on each lateral. The boom is a nozzled, slowly rotating pipeline, which is suspended from a portable tower."
Tall crops such as corn and sugarcane benefit from this system.,What agricultural crops benefit from the boom type and self propelled sprinkler systems?,Boom Type and Self Propelled Sprinkler Systems: The large sprinkler irrigates a width of 75 to 100 m depending on nozzle sizes and pressure and is particularly useful for tall crops such as corn and sugarcane.
They cover up to 4 ha with application rates from 5 to 35 mm per hour.,What characterizes the irrigation coverage of mobile rain gun or large rotary sprinklers?,Mobile Rain Gun/Large Rotary Sprinklers: They can irrigate areas up to 4 ha at one setting with an application rate varying from 5 to 35 mm per hour.
It operates at pressures of 0.5 to 2.5 kg/cm² and covers land strips 6 to 15 m wide.,Describe the operational pressure and application range for a perforated pipe system's sprays?,5.2.1.2 Perforated Pipe System: The system is usually designed for relatively low operating pressures of about 0.5 to 2.5 kg/cm². The sprays are directed on both sides of the pipe and can cover a strip of land from 6 to 15 m wide.
Portable and Semi Portable systems,How are sprinkler systems classified based on portability?,"Based on the portability, sprinkler systems are classified into the following types: Portable System and Semi Portable System"
It is designed to be moved from field to field or pump sites.,How does a portable sprinkler system differ in terms of movement?,"Portable System: A portable system has portable main lines, and laterals and a portable pumping plant. It is designed to be moved from field to field or to the different pump sites in the same field."
Nozzle sizes and pressure influence the width of irrigation.,What influences the width of irrigation for boom type and self propelled sprinkler systems?,Boom Type and Self Propelled Sprinkler Systems: The large sprinkler irrigates a width of 75 to 100 m depending on nozzle sizes and pressure.
