question,answers
what is fertilization?,the process of adding nutrients to the soil to improve crop growth and yield
what is the required soil PH for potatoes.,between 4.8 and 5.5
what are some of the tips on how to best use PICS bags for storing maize grains.,"Clean and dry the grains: Before storing maize grains in PICS bags, make sure that they are thoroughly cleaned and dried to a moisture content of around 12-13%. This will help prevent mold and insect growth.

Fill the bags completely: Fill the PICS bags completely with the maize grains, leaving no empty space. This will help prevent the buildup of oxygen and moisture, which can lead to spoilage and insect growth.

Seal the bags tightly: After filling the bags with maize grains, seal them tightly using the PICS bag sealer or a heat sealer. Make sure that there are no holes or leaks in the bags, as this can allow air and moisture to enter.

Store the bags in a cool and dry place: Store the PICS bags in a cool and dry place, away from direct sunlight and sources of moisture. A well-ventilated room or a grain storage facility is ideal for storing PICS bags.

Check the bags regularly: Check the PICS bags regularly for any signs of damage, such as holes or leaks, and for any signs of insect or mold growth. If any damage or signs of infestation are found, take immediate action to prevent further damage."
name the first step in crop cultivation,Land preparation
how is Cassava Anthracnose Disease (CAD)  spread?,"CAD is spread through infected planting material, contaminated soil, and water"
how are cover crops used in agroecosystem where water for crop production is in short supply, cover crops can be used as a mulch to conserve water by shading and cooling the soil surface
why are farmers advised not to apply fertilizers during drought or when rainfall are unexpected.,"can cause fertilizer burn or leaching, and reduce its effectiveness"
what activities are necessary for ensuring healthy and high-yielding cassava crops.," Regular weeding, fertilization, and pest and disease control measures"
Name cultural  techniques for managing crop nutrients use.,crop rotation or a fallow period
Which crop is the major source of food in africa?,Cassava 
What is total seed population in an acre?,"For soybeans, the recommended plant population is typically higher, ranging from 100,000 to 200,000 plants per acre. This corresponds to seeding rates of approximately 125,000 to 250,000 seeds per acre."
which fertilizer can i use for beans.,"Beans have lower nitrogen requirements than maize, but still require sufficient levels of phosphorus and potassium for good growth. Therefore, a balanced fertilizer that provides all three nutrients may be suitable for beans."
