question,answers
How is the height of a horse measured?,A horse�s height is measured in hands from the ground to the withers (the area on top of a horse between its neck and back)
which year was Kawanda Composite A released.,1971
Is there difference between fresh and dry maize in  terms of the food value.,"Yes, there are differences between fresh and dry maize in terms of their food value. Fresh maize, also known as sweet corn, is harvested when the kernels are still tender and contain a high amount of sugar. Dry maize, on the other hand, is left on the stalks to dry and mature, resulting in hard, starchy kernels."
which micronutrients do beans require.,"calcium, magnesium, and sulfur"
what is the size of the armyworms laid eggs.,Their eggs are relatively small at 0.5 mm in diameter
what is irrigation?,Irrigation is the process of applying water to crops in order to help them grow
How many cuttings of cassava should a farmer plant in one hectare?,"The number of cassava cuttings to plant per hectare can vary depending on several factors, including the cassava variety, spacing, and planting method. However, as a general guideline, farmers typically plant between 10,000 to 12,000 cassava cuttings per hectare."
in which areas are irrigation done.,areas with low rainfall or unreliable water sources.
what are Glueboards  used for?,for monitoring cockroaches and to catch rodents.
which region is commonly infested by CBSD.,"East and Central Africa,"
name one open-pollinated maize variety that was developed in West Africa and is well-suited to drought-prone regions.,SAWAH
How can i improve soil areation,"To improve soil aeration, you can add organic matter to the soil, such as compost, which can improve soil structure and create pore spaces for air and water movement. Avoid over-tilling or compacting the soil, which can reduce soil pore space and restrict air movement"
can some diseases be transmitted when using seed for propagation?,"Some diseases can be transmitted through seeds, potentially leading to crop loss."
"which  cassava variety can i plant in the high altitude regions of Uganda, such as Kabale and Kisoro.",NASE 19
How can local maize breeds be improved  on productivity?,"Selective breeding: This involves selecting the best plants in terms of yield, disease resistance, and other desirable traits and using them as parents to produce offspring with improved traits."
Is it true that i can make glue from cassava,"Yes, cassava can be used to make glue. Cassava is a starchy root vegetable that is native to South America, but is now grown in many parts of the world. The starchy content of cassava can be extracted and used to make a type of adhesive or glue"
which countries in United States has fish farms,"California, Idaho, Alabama, Arkansas, Louisiana, Mississippi, and along the southeastern U.S. coast"
why does the use of herbicides requires proper training and application.,to avoid damage to the cassava plants and the environment
how can the use on integrated nutrients management help overcome problem due to persistent use of fertilizer.,"Agronomists can advise farmers on the use of organic amendments such as farmyard manure, compost, and green manure to improve soil health and nutrient availability."
Is uganda among the largest cassava producers in Africa?,Certainly
"apart from maintaining soil structure, what are some of use of soil air."," soil air plays a key role in the cycling of nutrients, such as nitrogen, carbon, and sulfur, which are essential for plant growth. Soil air also supports the activities of soil microorganisms, which are important for breaking down organic matter and releasing nutrients into the soil"
how can farmers prevent livestock diseases.,"implement measures such as regular vaccinations, quarantine of new animals, and good hygiene practices."
name any livestock diseases.," foot-and-mouth disease, brucellosis, and tuberculosis"
What are some of biological properties of soil that soil scientists study?, microbial communities that live in the soil and the interactions between these organisms and the plants that grow in the soil.
why do farmers apply manure.,to improve soil fertility and moisture retention.
"which beetle feed on the leaves of bean plants, causing holes and defoliation, which can reduce yields.",Bean leaf beetles (Cerotoma trifurcata)
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
what is crop rotation,Crop rotation is the practice of growing a series of different crops in the same area over several seasons
What other crops can be inter cropped with cassava without interference in yield reduction?,"Legumes: Legumes such as cowpeas, soybeans, and groundnuts"
give examples of vegetables that be intercropped wit maize.,"pumpkin, squash, or sweet potato"
how do cover crops suppress weeds during growth.,"During growth these cover crops compete vigorously with weeds for available space, light, and nutrients"
"To manage and control cassava mosaic disease, what measures should farmers take into consideration.","Planting disease-resistant varieties when available.
Using healthy planting materials from certified sources.
Practicing good sanitation, such as removing and destroying infected plants and plant debris.
Implementing integrated pest management strategies to control whitefly populations, such as using insecticides or employing physical barriers.
Promoting crop diversification and intercropping to reduce the spread of the disease.
Conducting regular scouting and monitoring to detect early signs of the disease and take appropriate action.
It is important for farmers to collaborate with agricultural extension services and research institutions to access updated information, improved varieties, and appropriate management practices for cassava mosaic disease in their specific region."
what causes blight?,blight 
what does Cassava Anthracnose Disease: causes.,"dark spots on the leaves, stem, and root"
what is multiple cropping.,several crops are grown sequentially in one year
why is sit recommended to conduct soil test?,to determine the nutrient status of your soil and to consult with local agricultural extension services or agronomists for precise fertilizer recommendations based on your specific location.
how can farmyard manure improve soil structure.," FYM improves soil aggregation and creates pore spaces in the soil. This enhanced soil structure helps to create a sponge-like environment that can hold and store moisture for plant use. The organic matter in FYM also acts as a binding agent, preventing soil particles from compacting and reducing the risk of waterlogging."
"In top side dressing, at what stage should fertilizers be applied? ","""vegetative stage"" or ""early growth stage"" of the plant"
how can I apply fertilizers.,"broadcasting, banding, and side-dressing"
what is the color lesions created as a result of root rot,brown or black lesions
why are Effective livestock management practices are essential.,"for keeping animals healthy and productive, which in turn helps to ensure the profitability of the farm"
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
what is advantages of spacing beans appropriately during planting.,"Adequate spacing between bean plants allows for better air circulation, reducing the risk of fungal diseases. Good air movement helps to keep the foliage dry, preventing the development and spread of diseases such as powdery mildew or rust."
what is crop rotation.,This involves rotating cassava with other crops such as maize or soybean to help control weeds
Ways farmers can guard against drought.,Crop rotation
"What size should cassava stem be for planting?

",between 25 to 30 centimeters in length
which  sector is considered as one of the most hazardous of all economic sectors by International Labour Organization.,agriculture 
"give examples of macronutrients?
","nitrogen, phosphorus, and potassium,"
cam maize grow in clay soil,"es, maize can grow in clay soil. However, clay soil has certain characteristics that can affect maize growth and productivity. Clay soil tends to retain water and drain poorly, which can lead to waterlogged conditions and root suffocation if not properly managed. Additionally, clay soil can be compacted, making it harder for roots to penetrate and access nutrients."
What is a seed drill?,a device that allowed farmers to plant seeds in the soil and then cover them up
name other ways a farmer can use to control CBSD.,Planting resistant varieties
what causes cassava root rot., fungal and bacterial pathogens
Suggest the advantages of sandy soil,"Good drainage: Sandy soils have large pore spaces, which allow for rapid drainage of water. This can be an advantage in areas with heavy rainfall, as it helps to prevent waterlogging and improves soil aeration.
Easy to work: Sandy soils are generally loose and easy to till, making them suitable for cultivation with various farming equipment.
Warm up quickly: Sandy soils warm up quickly in the spring, which can be advantageous for early planting and crop growth.
Low compaction: Sandy soils are less prone to compaction, which can be beneficial for root growth and nutrient uptake."
what are the signs and symptoms of cassava mealybugs.,"stunted growth, wilting, yellowing of leaves, and reduced yield"
how can microbial activity help facilitate the loosening of the upper soil layers when farmyard manure is applied.,"Farm yard manure provides a food source for soil microorganisms. These microorganisms break down the organic matter in the manure, releasing nutrients and byproducts that contribute to the formation of soil aggregates. Microbial activity also produces substances that help bind soil particles together and enhance soil stability."
How best can picks bags store maize grains for a long period of time?,"PICS (Purdue Improved Crop Storage) bags are specially designed storage bags that can help farmers store maize grains for a long period of time, up to 2-3 years, without using any chemicals"
what is the percentage of moisture content before storage?,13.5% or less
Name the cultural pest control practicies.,"crop rotation, culling, cover crops, intercropping, composting, avoidance, and resistance"
What are the symptoms of cassava bacteria blight.,"water-soaked lesions on the leaves, stems, and petioles of the cassava plant."
