ANSWER,QUESTION.question,QUESTION.paragraph
Spring sown root crop.,What does Year three recommend planting after winter wheat?,"Year four: winter wheat (alternatively spring sown root crop, depending on market requirements - see section 7.3, 'Stockless systems')"
Medium/heavy land.,For what type of land are winter beans suggested?,"On medium/heavy land, winter beans would be a suitable pulse while wintered rye followed by peas or spring beans."
Two (fodder beet and swedes).,How many forage crops are mentioned in the text?,"Forage crops Spring sown root forage crops, such as fodder beet and swedes, have different considerations."
Poaching and soil structure damage.,What is a significant risk mentioned when feeding crops to livestock?,The risk of poaching and subsequent soil structure damage and erosion is likely to be greater with root crops than with ley harvesting.
Ley.,What type of crop does the text suggest can be harvested at any time during the summer?,In the case of winter forage cereal followed by lei harvesting.
Flexible management to suit soil and environment.,Which factor is associated with forage crops that make their establishment and utilization more flexible?,They can be managed in a flexible fashion to suit both soil and the environment.
Use inter-row straw to minimize soil erosion.,What are the planting suggestions based on light soil?,In particular on light soil sites there can be a risk of soil erosion and crop damage. Use of inter-row straw will minimize this risk.
April and May.,During which months is the harvesting of forage crops traditionally done?,"Spring sown root forage crops, such as fodder beet and swedes, are generally sown middle to late spring in April and sometimes early May."
Forage rape or stubble turnips.,What is the recommended follow-up crop after winter wheat on light soils to avoid winter frosts?,Forage rape or stubble turnips.
Higher stocking densities.,What is the text's suggestion for stocking densities for animals grazing winter forage crops to avoid minimizing the breakdown of organic matter?,There is any factor higher than using for the grazing.
Significantly reduces subsequent soil structure damage.,Why does the text suggest feeding harvested forage crops to livestock in the field?,"This can be fed in the field, especially where the site is anything other than light land."
Risk of soil poaching.,What is a potential downside of utilizing green manure after a winter forage crop?,Beware of over-committing to the use of winter forage if the soil is at risk from poaching.
Approximately one year.,What does the text say about the duration to establish a suitable crop break?,"Clover could be used on light soils, with either forage rape or stubble turnips."
Reduces the risk of soil erosion and crop damage.,Why is there a risk reduction associated with late-season forage crop utilization?,Light soil sites there can be a risk of soil erosion and crop damage.
Using mulching rather than feeding the crop.,What method is suggested for minimizing the poaching risk associated with winter forage crop use?,It is better to mulch the crop as a green manure than damage the soil by feeding it.
Spring sown root crop.,What type of crop is mentioned to be grown alternatively in year one?,Year one: winter wheat (alternatively spring sown root crop.
Grass.,Which crop offers an opportunity to apply available manure and slurried nutrients when the soil conditions favor it?,Plough in the grass.
Nutrient management,What is the main challenge in cropping without livestock enterprises?,Nutrient management is also most demanding since without livestock enterprises the recycling of nutrients from forage is limited.
Manure and compost,What should managers of stockless systems import?,"It should be a priority for the managers of stockless systems to import manure and compost, or stock for temporary grazing in parts of the rotation."
Mulched and incorporated,What should fertility building crops be in light to medium soils?,"It is important that the fertility building crops are mulched and incorporated as close as practical to the establishment date of the following crop, usually during the spring ahead of potatoes for example."
To prevent nutrient loss,Why should grain maize and early maturing potato crops be considered?,If an early maturing potato crop is grown then a summer green manure should be considered ahead of the autumn cereal to prevent nutrients being lost.
Late September or early October,When are some early wheat grain varieties usually harvested?,"After harvesting a main crop variety, usually late September or early October, the wheat will be sown within a very short time."
Avoid root crops in acid soils with rotations,How should light to medium soils with root cropping be managed?,Avoiding root crops in acid soils with rotations on light land can help to protect soil structure and conserve soil nutrients. This will have a bearing on cultivation techniques and rotation design.
Sown in October or November,What is the first part of the campaign if sugar beet is grown?,"If harvested in the first part of the campaign, a winter cover crop may be sown in October or November."
Delay harvesting if conditions are poor,What should be done if conditions for beet are poor?,"If conditions are poor, and if possible, consider delaying the harvesting of the beet until conditions improve. A spring cereal could be sown straight afterwards from mid-December, although more usually late January to early February."
Non-inversion tillage,What is an opportunity for use in fields after pulse crops?,"Opportunities to use non-inversion tillage to establish following grass/lover ley and pulses, subject to soil and weed conditions."
High risk of nutrient loss and soil erosion,What is the risk attached to beet soil structures and harvest?,"Rotting beet crops are likely to continue to break up soil structure, increasing risk to crops to come concerning nutrient loss and soil erosion."
Complete drilling by mid-October,What should be done to prevent nutrient loss in medium to heavy soils?,Complete drilling by mid-October at the latest. Plough ahead of a mucked green manure break crop in the year the field is left fallow.
Subsoiling to address drainage,What is a key precaution in cultivating medium to heavy soils?,"Subsoiling to address drainage issues will need to be revisited, typically early spring or early autumn."
