question,answers
How can i know that soil lacks air as a major nutrient,"To determine whether soil lacks air, you can perform a simple test called the squeeze test. Take a handful of soil and squeeze it tightly in your hand. If the soil remains in a tight ball and does not crumble, it may indicate that the soil is too compacted and lacks adequate air. Another indicator of soil lacking air is the presence of waterlogged areas or standing water after rain or irrigation."
Why are crops sprayed with pesticides?,"to protect crops from insect pests, weeds, and fungal diseases while they are growing"
name traditional methods that can be used to control pests in beans.,mixing wood ash or ash from cooking fires
What is the current price of yellow beans?,"prices can fluctuate frequently. However, the prices for dry beans (yellow) in Uganda are affected by various factors such as supply and demand, transportation costs, and market conditions. It is best to check with local markets or traders for the current prices in the region."
Is it a good practice to apply farm yard manure and compost manure at the same time? ,"Yes, it is generally a good practice to apply farmyard manure (FYM) and compost manure together, as they can complement each other in improving soil fertility and crop productivity. Both FYM and compost manure contribute organic matter, nutrients, and beneficial microorganisms to the soi"
"which  cassava variety can i plant in the high altitude regions of Uganda, such as Kabale and Kisoro.",NASE 19
what is crop rotation,Crop rotation is the practice of growing a series of different crops in the same area over several seasons
what are the common causes of fatal injuries among young farm workers.,"drowning, machinery and motor accidents, including with all-terrain vehicles."
what is the percentage of moisture content before storage?,13.5% or less
what are the effects of armyworm infestation.,significant defoliation and reducing the plant's ability to produce healthy tubers
How does FAO defines agricultural automation.,"FAO defines agricultural automation as the use of machinery and equipment in agricultural operations to improve their diagnosis, decision-making or performing, reducing the drudgery of agricultural work and/or improving the timeliness, and potentially the precision, of agricultural operations."
name the pre-cultivation requirements are important for ensuring a healthy and high-yielding cassava crop.,"Proper land preparation, seed selection, and pest and disease control are critical for successful cassava production"
what is the first stage of managing armyworms.," regularly monitor the crop for signs of infestation, such as chewed leaves and the presence of armyworms."
what are some of the challenges faced by S. exempta.,"predators, parasites, parasitoids, diseases, and viruses"
which phase in polyphenism in which the larvae raised in groups turns black.,gregaria
name some of the common water management practices,"soil moisture monitoring, crop water requirements estimation, crop selection, and crop rotation."
give symptoms of cassava root rot,"ytophthora root rot: This is caused by the oomycete pathogen Phytophthora spp. It leads to root decay and can result in wilting and stunted growth of the cassava plant.

Bacterial root rot: This is caused by bacteria such as Erwinia spp. and Pectobacterium spp., which infect the cassava roots and cause rotting and tissue breakdown.

Poor soil drainage: Excessive moisture in the soil can lead to root rot, as it creates favorable conditions for fungal and bacterial pathogens to thrive.

Poor soil health: Nutritional deficiencies, high soil acidity, or other soil-related issues can weaken cassava plants and make them more susceptible to root rot."
what is other use of farmyard manure.,"help to increase the porosity of the soil, allowing for better infiltration of water and air into the soil. This can also help to prevent soil compaction, which can reduce the amount of water that is able to infiltrate the soil and stay there."
why is forest  pests control difficult.,because it is not easy to access the canopy and monitor pest populations
what is GMO in full?,Genetically Modified Crops
what causes plant diseases?,"variety of pathogens, including fungi, bacteria, viruses, and nematodes"
"Farmers always burn maize residues, is it a good or bad practice","On the positive side, burning maize residues can help to control pests and diseases, reduce weed pressure, and provide a quick and convenient way to clear the field for the next crop. Burning can also release nutrients, such as nitrogen and potassium, back into the soil, which can be beneficial for the next crop."
"which nutrient  is important for root development, flowering, and fruiting.",Phosphorus 
what does the beetle feeds on?,"Both types of beetles feed on the leaves and stems of cassava plants, causing them to wilt, yellow and eventually die."
Which crops responds better in acidic soils? ,Blueberries
what is the approximate Global agricultural production of food.,11 billion tonnes
"White flies have become resistant to pesticides, what else can farmers do eradicate them?","Integrated pest management (IPM): IPM is a holistic approach to pest management that involves a combination of techniques to control pests, including cultural, biological, and chemical methods. IPM can help to reduce the reliance on pesticides and prevent the development of pesticide resistance."
name any insecticides that can be used on cassava beetles.,neem oil or pyrethroids
what are Pyrethroids pesticides.,"Pyrethroids are a type of synthetic pesticide that can be effective against a range of insect pests, including bean beetles and leafhoppers. They work by attacking the nervous system of insects. Pyrethroids are available in various forms, including sprays, dusts, and granules."
