ANSWER,QUESTION.question,QUESTION.paragraph
Minimum tillage can reduce the disruption to soil profiles.,What type of tillage can reduce the disruption to soil profiles?,This can achieve a relatively clean seedbed with minimum disruption to the soil profile.
Heavy clay soils need deep ploughing and subsoiling to maintain good structure.,How may heavy clay soils need to be managed for organic soil cultivation?,Heavy loams and particularly clay soils need deep ploughing and possibly sub-soiling every few years to maintain good structure.
Avoid disturbing the top soil by using a tractor-pulled hoe or mechanical cultivators.,What should weed control practices avoid doing?,Weed control by ‘cut competing’ or avoiding weed seed germination should be considered as an alternative.
Non-organic farming uses reduced and minimum tillage involving tines or disks to a depth of 10 cm or less.,What approach does non-organic farming use to address objectives of ploughing?,Research has shown that many of the objectives of ploughing can be achieved with less intensive cultivations. Non-organic farming has seen increased use of reduced and minimum tillage involving the use of tines or disks to a depth of 10cm or less.
Deep compaction below the plough layer can be more difficult to recognise and manage.,What issue does deep compaction below the plough layer pose?,"Though it is usually possible to maintain good soil structure in the plough layer, deep compaction below this can be more difficult to recognise and manage."
"Subsoiling improves soil drainage, root penetration, and increased water availability.",How does subsoiling help soil drainage and structure?,"Subsoiling can produce better drainage, better root penetration and, in some cases, increased water availability."
Lucerne and chicory help break up soil structure at depth.,What is a benefit of planting crops like lucerne and chicory?,"Deep rooting green manures, such as lucerne and chicory, can also help to break up soil structure at depth and maintain soil structure if the problem has not been allowed to get too bad."
Soils have a tendency to form natural pans after subsoiling.,What do soils have a tendency for after subsoiling?,Soils have a tendency to form natural pans and these can also benefit from subsoiling.
It involves either cutting or avoiding the conditions that allow weed seeds to germinate in the first place.,What does weed control by ‘cut competing’ involve?,Weed control by ‘cut competing’ or avoiding weed seed germination should be considered as an alternative.
Regular deep ploughing and sub-soiling are required for these loams.,What is required for successful sowing of non-calcareous loams and sandy loams?,Non-calcareous loams and sandy loams are less robust and need to undergo deep ploughing and possibly sub-soiling...
They can cause less disturbance to the soil profile.,What can mechanical weed control techniques cause?,"Weed control techniques, such as flaming, hand pulling (on bed weeding), or brush weeding..."
Free lime-containing soils rarely need lime for organic farming.,When is lime rarely required for organic farming soils?,Soils that contain free lime have a more robust structure and can often be minimally cultivated with no need to plough.
The application should consider using shallow ploughing combined with deeper cultivations.,What should the application of herbicides to achieve good weed control consider?,"In non-organic agriculture, an alternative approach is to use shallow ploughing at 10–15 cm in combination with deeper cultivations or chisel ploughing..."
Minimize cultivations and consider soil type to prevent detrimental effects.,What should be done to minimize the detrimental effects on soil structure during cultivation?,"The degree to which cultivations can be reduced without detrimental effects on soil structure is largely dependent on the soil type, but may be complicated..."
These soils can need regular deep ploughing and subsoiling.,What can happen with consistent use of non-intensive cultivations on non-calcareous loams?,Non-calcareous loams and sandy loams are less robust and need to undergo deep ploughing and possibly sub-soiling every few years to maintain good structure.
Limit cultivations and optimize timing to reduce microorganism damage.,How should mechanical weed control limit microorganism damage?,"Weed control can be highly damaging to soil microorganisms, particularly fungi. The ideal is to limit cultivations as much as possible by optimising timing..."
A tractor-pulled hoe.,What farming tool minimizes soil disturbance during weed control?,hand pulling (on bed weeding) or brush weeding...
Increased risk of leaching.,What is the risk associated with cultivating in the following autumn?,"Note, however, that there is increased risk of leaching when mineralisation is stimulated by cultivation in the following autumn."
All types of soil.,Which type of soil needs consolidation as soon as possible after cultivation?,"Consolidate soils as soon as possible after cultivation, for example with a plough press."
