question,answers
name one crop that belongs to Brassicaceae family,mustards
how does  Brassicaceae family crops suppress fungal disease.,through the release of naturally occurring toxic chemicals during the degradation of glucosinolate compounds in their plant cell tissues
whats the botanical name of african armyworm,Spodoptera exempta
which family does the African armyworm belongs to.,Noctuidae
how did the name armyworm starts.,"The larvae often exhibit marching behavior when traveling to feeding sites,"
name the phase in polyphenism in which the larvae raised in isolation turns green,solitaria 
which phase in polyphenism in which the larvae raised in groups turns black.,gregaria
why are Gregaria caterpillars considered very deleterious pests.,capable of destroying entire crops in a matter of weeks
name Spodoptera exempta species that have chisel-like mandibels.," S. triturata, S. m. mauritia, S. m. acronyctoides, S. umbraculata, S. cilium, Spodoptera depravata [sv], and S. pecten"
which countries do we find african armyworm,"Tanzania, Kenya, Uganda, Ethiopia, Somalia, Malawi, Zimbabwe, Zambia, and South Africa"
which region in African has the armyworm,Sahara
name the four stages of the lifecycle.," Eggs, Larvae, Pupae and Adult"
how many eggs does a female African armyworm lays.,"about 1,000 eggs in her lifetime"
how many eggs does the female armyworm lays per night.,100�400
where do armyworms lay their eggs., clusters on the lower side of leaves
what is the size of the armyworms laid eggs.,Their eggs are relatively small at 0.5 mm in diameter
when do the eggs of armyworms turn black., prior to hatching
how many days does the eggs takes to hatch into larvae., two to five days
what causes the green coloration in Solitaria larvae,This green coloration is due to both pigmentation and ingested plant material visible in the gut
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
how does clover cover crop enhanced songbird habitat.,"by providing cover and nesting sites, and an increased food source from higher arthropod populations"
when do adults emerge?,in 7 to 10 days
when do ad.ults emerge from pupa stage,in 7 to 10 days
how long does the adult live.,up to 14 days.
how can distinguish female from male,Females and males can be distinguished by the number of bristles on their frenulum
how many bristles do female armyworms have?,females have multiple
what happens to African armyworms first after emerging from pupation,hey allow their bodies to dry off and their wings to harden before climbing trees
how do the moths migrate?,"migration is based on winds brought by the Intertropical Convergence Zone, which move northwards or southwards depending on the season"
when do moths travel?,during the day
why is migration benefical to moths?,it allows the species to travel to a new location with fewer predators and less possibility of parasitism and infection
name two types of African armyworm outbreak.,primary and secondary
when do primary outbreaks occurs?,"occur with relatively inconspicuous, low-density populations that can survive without frequent rainfal"
when secondary outbreaks occur?, occur when the moths from the primary outbreak are carried downwind and the adults mate and lay eggs in same location due to wind patterns
what is Food Safety and Inspection Service (FSIS) responsible.,"FSIS is �responsible for ensuring that the nation�s commercial supply of meat, poultry and egg products is safe, wholesome and correctly labeled and packaged"
what does  Food and Drug Administration (FDA) focuses on.,FDA focuses on both fresh and processed food products
what  is the role of Center for Disease Control(CDC). ,"to prevent �illness, disability and death due to domestic and imported foodborne diseases"
Give one example of  natural erosion caused by water.,Grand Canyon
how do farmers control soil erosion.,farmers use conservation practices like planting cover crops in the winter or using conservation tillage practices
which kind of GM varieties release protein to control pest.,bacterium Bacillus thuringiensis
what is Couch grass?,is a persistent weed that can be difficult to control in cassava gardens
what is isolation.,"A minimum separation distance required in a seed multiplication field in order to prevent
contamination by physical mixtures or disease vectors"
what is micropropagation.,"The practice of rapidly multiplying stock plant material to produce a large number
of progeny plants using plant tissue culture techniques"
"what is volunteer plant
","A plant, which usually comes up from seed (root or cutting) left on/in the ground
from a previous crop"
define what a seed class is?,"The categorization of seed according to genetic purity and quality standards. The seed
classes adopted in these guidelines are Nuclear stock, Basic seed, Certified 1, Certified 2 and QDS."
What is rouging.,"Removal of plants which are diseased or not of the desired type contaminants to purify and
clean the stock,"
what is ratoon crop.,"A sprout or shoot from the root, stem or vine of a plant after it has been cut back"
what does Agriculture encompasses.,"crop and livestock production, aquaculture, fisheries and forestry for food and non-food products"
The major agricultural products can be broadly grouped into ?,"foods, fibers, fuels, and raw materials (such as rubber)"
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
what is the approximate Global agricultural production of food.,11 billion tonnes
what is the approximate Global agricultural production,32 million tonnes of natural fibres
what is the approximate amount of Global agricultural production of wood.,4 billion
name any Environmental issues.,"depletion of aquifers, deforestation, antibiotic resistance"
what are some of the high risk of work-related hazards that can affect farmers.,"injuries, lung disease, noise-induced hearing loss, skin diseases, as well as certain cancers related to chemical use and prolonged sun exposure"
what is common cause of fatal agricultural injuries in developed countries., tractor rollovers
what are the common causes of fatal injuries among young farm workers.,"drowning, machinery and motor accidents, including with all-terrain vehicles."
which population is vulnerable  in agriculture.,Ages 0�6
which  sector is considered as one of the most hazardous of all economic sectors by International Labour Organization.,agriculture 
what is the estimates of the annual work-related death toll among agricultural employees.,"at least 170,000"
what is shifting cultivation.,"is a system in which forests are burnt, releasing nutrients to support cultivation of annual and then perennial crops for a period of several years"
which kind of cultivation is sometimes referred to as slash and burn.,Shifting cultivation
what is monoculture.,one cultivar is planted on a large acreage
what is multiple cropping.,several crops are grown sequentially in one year
define what is intercropping., several crops are grown at the same time
name the important categories of food crops.,"cereals, legumes, forage, fruits and vegetables"
name the major categories of Natural fibers.,"cotton, wool, hemp, silk and flax"
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
