question,answers
what is the botanical name for Cassava green mite.,Mononychellus tanajoa
why must farmers  balance the benefits of tillage against its potential negative impacts,excessive tillage can lead to soil erosion and nutrient loss
how long does TZECOMP 3 takes to mature., 90 days
which region has the adoption of motorized mechanization has stalled over the past decades., Sub-Saharan Africa
What percentage did vitamin C in fresh broccoli dropped?, 50% within one week
What is the current price of yellow beans?,"prices can fluctuate frequently. However, the prices for dry beans (yellow) in Uganda are affected by various factors such as supply and demand, transportation costs, and market conditions. It is best to check with local markets or traders for the current prices in the region."
What is the best season for beans?,"beans prefer warm weather, plant at least a week after the last spring frost"
what is a major source of greenhouse gas emissions,Animal husbandry
what is plant biotechnology,a set of techniques used to adapt plants for specific needs or opportunities
How can couch grass be effectively controlled from the cassava garden.,Mulching
what is being used to monitor to pest populations in the canopy.,Pheromone traps
how does  Brassicaceae family crops suppress fungal disease.,through the release of naturally occurring toxic chemicals during the degradation of glucosinolate compounds in their plant cell tissues
which nutrients are present in farmyard manure.,"nitrogen, phosphorus, and potassium,"
which types of fertilizers are designed to release nutrients slowly over an extended period of time.,Slow-Release Fertilizers
in which areas are irrigation done.,areas with low rainfall or unreliable water sources.
Is maize growth affected by altitude?,The expert will reachout to help
how does reliable rainfall improve crop yield.,"Reliable rainfall can provide the necessary moisture for crops to grow and thrive, leading to higher yields and better quality crops. This is especially important in areas where irrigation is not available or is limited"
How can cows make so much milk?,If its calf nurses regularl
how can reliable rainfall improve soil health?,Rainfall can help to improve soil health by providing the moisture needed for microbial activity and nutrient cycling.
what is the maturity days for bush beans,50-55 days
what are combine harvesters?,"machines, which are loaded with technology, are very efficient and combine all three jobs of cutting, collecting, and threshing a crop"
which type of family do green manure crops belongs to.,leguminous
which body oversees organic certification>,USDA National Organic Program (NOP)
why is forest  pests control difficult.,because it is not easy to access the canopy and monitor pest populations
which tools are used by farmers to gather information to help automate input application.,drones
what is the long term control measures for the cassava diseases.,using disease-resistant cassava varieties
"what is cassava mealybug
",is a small sap-sucking insect that feeds on the cassava plant
what are the sustainable approaches to cassava disease management?,breeding disease-resistant varieties and using natural pest control methods.
name the activities of crop maintanance.,"weed and pest control, fertilization, and irrigation."
what is the importance of seed drying to farmers.,"Proper drying helps to reduce the moisture content of seeds to a level that is suitable for long-term storage. Moisture content is a critical factor in seed storage, as high moisture levels can lead to seed deterioration, mold growth, and loss of viability. Drying seeds to the appropriate moisture content helps to preserve their quality and ensure their viability over an extended period."
what other reasons makes cassava a staple food crop.,"Cassava is a hardy crop that can tolerate drought and poor soil conditions. This makes it an important crop for smallholder farmers who may have limited access to water and resources.
"
what is Tillage.," is the practice of breaking up the soil with tools such as the plow or harrow to prepare for planting, for nutrient incorporation, or for pest control."
How long can I replant the beans.,"Beans can be replanted in subsequent growing seasons as long as the seeds are viable and suitable for planting. The viability of bean seeds can vary depending on factors such as the specific bean variety, storage conditions, and seed quality. It is generally recommended to use fresh, high-quality seeds for optimal germination and plant performance."
which types of fertilizers are designed to release nutrients slowly over an extended period of time.,Slow-Release Fertilizers
what are liquid fertilizers used for?,"iquid fertilizers are often used for foliar feeding, where the fertilizer is sprayed onto the leaves of plants."
when do ad.ults emerge from pupa stage,in 7 to 10 days
how can conduct a simple test to check the authenticity of the agrochemical.,"For example, you can mix a small amount of the product with water and observe how it dissolves. Fake products often leave residues or do not dissolve properly.
"
"If it says locally grown, does that mean it is from my community?","Not necessarily. This may come as a surprise, but if you�re buying or eating locally grown food, it may not be food grown in your community."
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
"When maize starch is extracted, what food value does the flour gives","When maize starch is extracted to produce maize flour, the resulting flour has a lower nutritional value compared to whole maize flour. This is because maize starch contains mainly carbohydrates and very little protein, fiber, vitamins, and minerals."
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
what is micropropagation.,"The practice of rapidly multiplying stock plant material to produce a large number
of progeny plants using plant tissue culture techniques"
how does dormancy affects seed germination., allows the seed to delay germination until conditions are more favorable for seedling growth and survival.
why cassava widely grown?,its ability to thrive in poor soils and withstand drought
What is the recommended seed rate of maize in an acre garden?,"The recommended seed rate for maize can vary depending on various factors such as the maize variety, soil fertility, planting method, and desired plant population. However, as a general guideline, the recommended seed rate for maize in an acre garden is typically between 25,000 to 40,000 seeds per acre"
