ANSWER,QUESTION.question,QUESTION.paragraph
Drip irrigation may experience clogging from calcium carbonate and other chemicals.,What issues might arise with drip irrigation?,"Clogging problem : In drip, the water oozes out through a small hole less than 1 mm, which gets clogged by the calcium carbonate and other chemicals available in water. So, after a period of one year most of the drippers get"
Rain gun irrigation resembles natural rain by dissolving atmospheric nitrogen into the soil.,How does rain gun irrigation resemble natural rain?,"Resembles like rain, the water dissolves the nitrogen from air and gives it to soil, thereby adding nutritive value to soil. This is one of the reasons for increase in yield."
"It increases yield by dissolving atmospheric nitrogen into the soil, adding nutritive value.",How does rain gun irrigation impact the yield by its water delivery system?,"The water dissolves the nitrogen from air and gives it to soil, thereby adding nutritive value to soil. This is one of the reasons for increase in yield."
Rain gun irrigation is more cost-effective and allows farmers to irrigate large areas by shifting the gun.,What is a practical benefit of rain gun irrigation over drip irrigation for sugarcane farmers?,"If a farmer owns 10 acres of sugarcane if he is interested in drip, he has to install drip for the whole 10 acres at a cost of Rs.2,40,000/- where as, if he use rain gun, with a single rain gun he can irrigate 10 acres of land by shifting the gun properly."
Rain gun irrigation washes away pests and insects.,What irrigation method helps in washing away pests and insects?,Reduces pest and insects attack: Pests and insects get washed away during Rain Gun irrigation
It allows easy spraying of fertilizers and pesticides in the interior field with minimal labor.,Why is rain gun irrigation advantageous for spraying fertilizers in sugarcane fields?,"Easier application of fertilizer and pesticides In well grown sugarcane, farmers feel very hard to spray in the interior field. In our rain gun, with a help of a fertilizer tank and a venture assembly, fertilizers and pesticides can be sprayed easily without any labour."
"Using rain gun irrigation for sugarcane costs Rs.14,000 per acre compared to Rs.24,000 for drip irrigation, saving Rs.100,000 for 10 acres.",Summarize the economic benefits of using rain gun irrigation.,"Advantages of rain gun over drip irrigation Less Cost : For one acre of Sugarcane installation of drip cost around Rs.24,000/-, whereas by using Rain Gun System, the cost comes round Rs.14,000/- only. If a farmer owns 10 acres of sugarcane if he is interested in drip, he has to install drip for the whole 10 acres at a cost of Rs.2,40,000/- where as, if he use rain gun, with a single rain gun he can irrigate 10 acres of land by shifting the gun properly."
"Drip irrigation setup is permanent and cannot be shifted, unlike rain gun irrigation.",Why can't drip irrigation be easily shifted compared to rain gun irrigation?,"if he use rain gun, with a single rain gun he can irrigate 10 acres of land by shifting the gun properly. Drip irrigation cannot be shifted."
"In flood irrigation, water distribution by gravity makes it hard to ensure uniformity and inspect the entire field.",Explain a key logistic challenge in flood irrigation for sugarcane fields.,"In flood irrigation, farmers usually open the delivery at one corner of the field and it goes to the next corner and entire field by gravity. In well-grown sugarcane fields, farmers are unable to go and inspect if the entire field gets uniformity in irrigation."
Calcium carbonate and other chemicals cause clogging in the small holes of drip irrigation.,Identify a clogging problem specific to drip irrigation.,"In drip, the water oozes out through a small hole less than 1 mm, which gets clogged by the calcium carbonate and other chemicals available in water."
