question,answers
what are the sustainable approaches to cassava disease management?,breeding disease-resistant varieties and using natural pest control methods.
what is physical pest control.,involves trapping or killing pests such as insects and rodents
what are the advantages of leaving maize stallk in the garden after harvesting,"Organic matter: Maize stalks can contribute to the organic matter content of the soil, which improves soil structure, water-holding capacity, and nutrient availability.
Nutrient recycling: The decomposition of maize stalks can release nutrients back into the soil, making them available for future crops.
Erosion control: The presence of stalks can help prevent soil erosion by reducing surface runoff and protecting the soil from wind and water erosion.
Weed suppression: Stalks left on the ground can act as a mulch, suppressing weed growth and reducing weed competition with subsequent crops."
what is the approximate Global agricultural production,32 million tonnes of natural fibres
Is agriculture a necessary industry?,Agriculture is a necessity!
How many cuttings of cassava should a farmer plant in one hectare?,"The number of cassava cuttings to plant per hectare can vary depending on several factors, including the cassava variety, spacing, and planting method. However, as a general guideline, farmers typically plant between 10,000 to 12,000 cassava cuttings per hectare."
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
why are farmers advised not to apply fertilizers during drought or when rainfall are unexpected.,"can cause fertilizer burn or leaching, and reduce its effectiveness"
what is the impact of over-fertilization.,"excessive vegetative growth, lodging, and reduced yield"
how is spacing beneficial during beans cultivation.," Appropriate spacing makes it easier to access and maintain individual bean plants. This includes activities like weeding, applying fertilizers or pesticides, and inspecting for pests or diseases. Sufficient space between plants allows for better maneuverability and reduces the risk of damaging neighboring plants during maintenance tasks."
what are some of the challenges in growing apples?,"� Apple seedlings are imported and costly
� Birds and thieves are giving many farmers sleepless nights.
� Few areas are favourable for Apple Growing
� High competition with imported apples
Market"
why do we say cover crops are nurse crops?,"they increase the survival of the main crop being harvested, and are often grown over winter"
name one difference between  fresh and dry maize in  terms of the nutrients value.,"Fresh maize is higher in vitamins and minerals, such as vitamin C, folate, and potassium, compared to dry maize. However, dry maize is a good source of dietary fiber, protein, and complex carbohydrates."
what is physical dormancy?,"occurs when the seed coat is impermeable to water and gases, preventing the embryo from absorbing water and initiating germination."
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
Name the various activities done during crop cultivation.,"land preparation, planting, weed and pest control, fertilization, irrigation, harvesting, and storage"
What other crops can be intercropped with beans?,"Maize is a common intercrop with beans, and the two crops complement each other well. Maize provides a support structure for climbing beans, while beans fix nitrogen in the soil, which benefits maize growth."
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
does NAROCASS 1 grow in northern Uganda?,"This variety is recommended for the northern regions of Uganda, such as Gulu and Kitgum"
which tools are used by farmers to gather information to help automate input application.,drones
when do moths travel?,during the day
how many chambers does a cow has,four chambers
How can farmers control maize streak disease?,"Intercropping can also reduce the number of infections, as this might lead to confusion for the vectors in finding the maize plant for feeding. Use of barriers such as bare ground between early and late-planted maize to limit movement of leafhoppers could also reduce the spread of the virus. Maize hybrids that are resistant to maize streak virus play an important role in reducing maize streak virus incidence in integrated pest management systems."
define what GMO is?,"GMOs are crops that have been genetically modified to enhance their resistance to pests and diseases, as well as to improve their nutritional value and other characteristics"
what depth should the cassava garden be ploughed to.,at least 25 cm
explain how over grazing destroy soil nutrients.,"Overgrazing by livestock can lead to soil compaction, erosion, and loss of soil organic matter, which are all detrimental to soil fertility."
excessive tillage can lead to ?,soil erosion and nutrient loss
what is the recommended spacing for long 1.,spaced by 75x30cm with a seed rate of 25kg/ha
Which two types of beans gives high yields...the climbing beans or the ordinary beans?,Both climbing beans and bush (ordinary) beans can give high yields if they are properly managed and grown under suitable conditions. 
why should you use mound planting.,"method ensures good soil drainage, which is essential for cassava growth. It also helps to reduce soil erosion and increases yields"
what the advantages of natural food?,make cows produce more milk and chickens produce more eggs
what is Field inspection.,"An inspection of a seed field for carrying out checks to ascertain correct crop rotation,
isolation, rouging, weeding or compliance to seed quality standards"
what is Food Safety and Inspection Service (FSIS) responsible.,"FSIS is �responsible for ensuring that the nation�s commercial supply of meat, poultry and egg products is safe, wholesome and correctly labeled and packaged"
how was harvesting done before the evolution of machinery?,Gathering and removing mature plants from the field had to be done by hand
what are some of the  preventive measures for managing CMD,"planting virus-free or resistant cassava varieties, practicing good field sanitation, and controlling whitefly populations through integrated pest management strategies. Early detection and removal of infected plants can also help prevent the spread of the disease within a field or area."
Some farmers harvest mature maize when it is not yet fully dried won't this have some side effects,"Harvesting maize before it is fully dried can have some negative effects on the quality and storability of the grain. Maize should ideally be harvested when the kernels are mature and fully dried, which is indicated by a hard, glossy appearance of the kernels, and a moisture content of around 13-15%."
how do you define Saturation in agriculture.,"This refers to the point at which the soil is completely filled with water, and all air spaces have been displaced. This can occur after a heavy rain or during periods of flooding."
"For diseases such as bean rust or bacterial blight, when can a farmer spray?","the best time to spray is before the onset of the rainy season, when the conditions are favorable for the disease to spread. It is also important to apply fungicides preventively, rather than waiting for the disease to become established."
What other crops can be inter cropped with cassava without interference in yield reduction?,"Legumes: Legumes such as cowpeas, soybeans, and groundnuts"
what is the taste of fresh maize.,"Fresh maize has a sweet, juicy flavor and a soft, tender texture,"
what activities are necessary for ensuring healthy and high-yielding cassava crops.," Regular weeding, fertilization, and pest and disease control measures"
name the various forms in which fertilizers can be applied?,"granular, liquid, and foliar applications."
how can crop rotation be used to control cassava mosaic disease.,Planting cassava in the same field year after year can increase the risk of CMD. Crop rotation can help to break the cycle of disease and reduce the risk of infection.
what is crop rotation.,This involves rotating cassava with other crops such as maize or soybean to help control weeds
what is the approximate Global agricultural production of food.,11 billion tonnes
what advise has been to farmers in uganda about CBSD.,"Farmers in Uganda have been advised to use clean and disease-free planting materials, adopt good agronomic practices, and plant resistant varieties to control CBSD."
which micronutrients do beans require.,"calcium, magnesium, and sulfur"
how do you space maize when planting.,when spacing maize it may solely depend on the variety of the maize taken up and or if an intercropping pattern is used on the maize field
What is the effect of Cassava Mosaic Disease (CMD) in severe condition.,yield losses of up to 100%
how can a farmer identify root rot in cassava plant.,"yellowing of leaves, wilting, and stunting of plant growth"
Explain how agronomic practices can be used to impact on the extent of damage done by crop pests? ,"Crop rotation: Rotating crops helps disrupt the life cycles of pests and reduces the buildup of pest populations. By alternating different crops in the same field, pests that are specific to a particular crop are less likely to persist and cause significant damage.

Proper planting time and spacing: Planting crops at the appropriate time and with the correct spacing can promote healthy plant growth and vigor. Well-spaced plants have better air circulation, reducing the favorable conditions for pests and diseases to spread. Timely planting can also help avoid critical pest infestation periods.

Field sanitation: Proper field sanitation involves removing crop residues, weeds, and other debris from the field. These residues can harbor pests and diseases, providing a breeding ground for future infestations. Removing crop debris and maintaining clean field conditions can help reduce pest populations.

Use of resistant or tolerant varieties: Planting crop varieties that have natural resistance or tolerance to specific pests can greatly reduce pest damage. Resistant varieties have built-in genetic traits that make them less susceptible to pest attacks. By choosing and planting resistant or tolerant varieties, farmers can minimize the impact of pests on their crops."
Name the most common types of beans that are milled for human consumption.,"black beans, navy beans, and pinto beans"
what is the long term control measures for the cassava diseases.,using disease-resistant cassava varieties
what is the estimates of the annual work-related death toll among agricultural employees.,"at least 170,000"
what concerns have recently been raised about GMO's? ,safety and potential environmental impacts
Is it a good practice to apply farm yard manure and compost manure at the same time? ,"Yes, it is generally a good practice to apply farmyard manure (FYM) and compost manure together, as they can complement each other in improving soil fertility and crop productivity. Both FYM and compost manure contribute organic matter, nutrients, and beneficial microorganisms to the soi"
which farming tools can spread bacterial blight when contaminated.,pruning shears or machetes
What is the best time of year to plant soybeans in the Midwest?, between late April and mid-May
