ANSWER,QUESTION.question,QUESTION.paragraph
Limited reach of state departments and extension agencies.,What issue has hindered the reach of improved water management technologies?,"However, in spite of best efforts of state development departments and other extension agencies including NGOs, these technologies have not reached to a wider number of farmers."
They have made best efforts but faced limitations.,What have state departments and extension agencies done to disseminate water management technologies?,"However, in spite of best efforts of state development departments and other extension agencies including NGOs, these technologies have not reached to a wider number of farmers."
It has posed a challenge for sustaining and enhancing productivity.,How has the availability of fresh water resources affected agricultural productivity?,The decreasing per capita availability of water is posing a challenge for agricultural scientists to sustain and enhance the agricultural productivity. Agriculture Research System has evolved a number of improved water management technologies for enhancing the agricultural productivity per unit volume of water.
Life and production systems including hydropower and agriculture.,What are the components of water mentioned in text critical for?,"Water is a critical input for all forms of life and production systems be it hydropower, industry or agricultural including crops, forestry, livestock, fisheries and poultry."
Heavy water losses during conveyance and application.,What causes the efficiency of water utilization at the field level to be very low?,"However, the efficiency of water utilization at farmers’ fields has been very low because of heavy water losses during conveyance and application at the field level. As a result of such poor water use efficiency in agriculture and ever increasing human and livestock population, the per capita availability of water has continuously been decreasing."
30 to 70%,What is the range of on-farm irrigation efficiencies?,On-farm irrigation efficiencies range between 30 to 70%.
Practices that maximize yields.,What agricultural practices consume water in excess of crops' evapotranspiration requirements?,These practices consume water far in excess of crops' evapotranspiration requirements and result in very low irrigation efficiencies.
Percolation losses.,What can be minimized by modifying soil physical properties?,"Percolation losses in gravity fed irrigation fields can be minimized by modifying soil physical properties by puddling, shallow soil tillage, soil compaction with heavy machinery or by introducing physical barriers beneath the root zone."
By modifying soil physical properties.,How can percolation losses be reduced in gravity fed irrigation fields?,"Percolation losses in gravity fed irrigation fields can be minimized by modifying soil physical properties by puddling, shallow soil tillage, soil compaction with heavy machinery or by introducing physical barriers beneath the root zone."
"Puddling, shallow soil tillage, heavy machinery, physical barriers.",What are the physical modifications used to minimize percolation losses?,"Percolation losses in gravity fed irrigation fields can be minimized by modifying soil physical properties by puddling, shallow soil tillage, soil compaction with heavy machinery or by introducing physical barriers beneath the root zone."
Depth of standing water.,What should be managed to obtain a reduction in water use?,Reduction in water use can also be obtained by managing depth of standing water during growing season by alternate wetting and drying or by saturated soil culture.
Alternate wetting and drying or saturated soil culture.,What is an effective method to manage water during growing season in gravity fed irrigation?,Reduction in water use can also be obtained by managing depth of standing water during growing season by alternate wetting and drying or by saturated soil culture.
They require less water for growing grain crops like rice and wheat.,What is the advantage of using large volume sprinklers such as rainguns?,"Alternatively, large volume sprinklers such as raingun can be used to grow grain crops particularly rice and wheat with much less water than required with the conventional methods of irrigation."
Rice and wheat.,What are some crops that can benefit from using raingun sprinklers?,"Alternatively, large volume sprinklers such as raingun can be used to grow grain crops particularly rice and wheat with much less water than required with the conventional methods of irrigation."
National Mission on Micro Irrigation (Ministry of Agriculture),Which organization has provided subsidies for pressurized irrigation methods?,There have been attempts to adopt pressurized irrigation methods to grow crops in various states on India through getting subsidy under National Mission on Micro Irrigation (Ministry of Agriculture).
Improved on-farm irrigation efficiencies up to 70-80%.,What is the benefit of using rain gun sprinklers under climatic conditions in India?,The application of irrigation water with rain gun sprinklers has improved on-farm irrigation efficiencies up to 70-80 % under the prevailing climatic conditions in the India.
A powerful mega sprinkler.,What is a rain gun?,Rain gun is a powerful mega sprinkler that throws a large amount of water (up to 500 liters per minute) and radius of throw from 24 m to 36 m and even more as artificial rain.
Up to 500 liters per minute and 24-36 meters.,What range of water volume and throw radius can a rain gun achieve?,Rain gun is a powerful mega sprinkler that throws a large amount of water (up to 500 liters per minute) and radius of throw from 24 m to 36 m and even more as artificial rain.
Where larger areas need to be covered.,Where are large volume sprinkler irrigation systems (rain guns) used?,Large volume sprinkler irrigation systems (rain guns) are used where larger areas are to be covered with one or two sprinklers.
"High pressure and high discharge pipes & pumps, suitable for large areas.",What are the equipment needs and applications for rain gun systems in large areas?,As these systems cover larger areas they require high pressure and high discharge pipes & pumps to operate them. These are preferred for irrigating crops spread over large areas in short time.
2-3 years,What is the payback period for a rain gun system?,The payback period is 2-3 years only indicating the viability of the investment.
more than 10 years,How long can a rain gun system be viable with good maintenance?,Rain gun irrigation with improved management technologies and in all the cases the system is viable for more than 10 years under good maintenance.
2.5 to 3 kg/cm²,What is the pressure range for rain gun inlet water?,Rain gun works with inlet water having pressure of about 2.5 to 3 kg/cm²
200 to 400 ft,What diameter of sprinkling can a rain gun achieve?,Rain gun rotates automatically to full circle or part circle operation giving a sprinkling diameter of 200 to 400 ft depending on the model chosen.
two to three hours,How much time does it take for a rain gun to cover one-acre area?,A rain-gun can cover up to one-acre area under sprinkling from one position in two to three hours only.
Improved management technologies and good maintenance.,What enables the rain gun system to be viable for more than 10 years?,Rain gun irrigation with improved management technologies and in all the cases the system is viable for more than 10 years under good maintenance.
The operating pressure range for a rain gun is about 2.5 to 3 kg/cm².,What is the operating pressure range for a rain gun?,Rain gun works with inlet water having pressure of about 2.5 to 3 kg/cm²
