ANSWER,QUESTION.question,QUESTION.paragraph
A thin layer of water above the surface is essential.,What is essential for proper grain yield in SRI?,Only a thin layer of water above surface or saturation condition is sufficient without any adverse effect on grain yield.
Hoing should be done at 15 and 35 days after transplanting.,At what days should hoeing be done for weed management?,For managing weeds and proper aeration hoeing with the help of conoweeder or wheel hand hoe may be done twice at 15 and 35 days after transplanting.
The synergetic development of tillers and roots forms the basis.,What is the basis of the SRI method?,The success of SRI is based on the synergetic development of both the tillers and sound root system.
Irrigation should be avoided during noon.,What should be avoided during noon in irrigation?,"Irrigation should be avoided during noon, when it is too hot."
Proper raising of a healthy nursery.,What is the foremost requirement for SRI?,The first and foremost requirement of a Successful System of Rice Intensification is proper raising of a healthy nursery.
Vigorous root growth enhances vegetative development and photosynthesis.,How does vigorous root growth affect SRI?,"With vigorous root growth and their better access to the nutrients and water, the overall vegetative development of the crop is enhanced resulting in more photosynthesis."
Increase in the number of effective tillers per plant.,What is the benefit of full-size spike development?,"Moreover, the number of effective tillers per plant is increased with full-size development of grains in the spikes."
Conoweeder hoeing should be performed at 15 and 35 days after transplanting.,When should conoweeder hoeing be performed?,For managing weeds and proper aeration hoeing with the help of conoweeder or wheel hand hoe may be done twice at 15 and 35 days after transplanting.
Inorganic fertilizers must be given in balanced doses.,What happens if organic manures are insufficient in SRI?,"However, if the available quantity of organic manures is not sufficient, inorganic fertilizers must be given in balanced dose on soil test basis, to realize the good yield."
To achieve higher production levels not obtainable by inorganic fertilizers.,Why is the use of organic sources encouraged in SRI?,"In SRI, use of organic sources of nutrients could help achieve levels of production that could not be obtained using conventional practices applying inorganic fertilizers."
Plants become more resistant to pests and diseases.,What happens to plants with the overall health improvement in SRI?,"Thus, the overall health of the crop is improved and plants are more resistant to attacks of pests and diseases."
To avoid the heat during noon when it is too hot.,Why should irrigation be done in the morning or late evening?,Irrigation preferably in the morning hours or late evening.
Prevents adverse effects on grain yield.,What does the thin water layer prevent?,Only a thin layer of water above surface or saturation condition is sufficient without any adverse effect on grain yield.
By hoeing with conoweeder or wheel hand hoe at specific intervals.,How does SRI manage weeds?,For managing weeds and proper aeration hoeing with the help of conoweeder or wheel hand hoe may be done twice at 15 and 35 days after transplanting.
Morning or late evening.,What is irrigation timing recommendation for SRI?,Irrigation preferably in the morning hours or late evening (Fig. 4.2).
600 m²,What is the size of the seed bed required for transplanting nursery to 1 ha field?,"For raising healthy and vigorous seedling a suitable seed bed of size 600 m² for transplanting nursery to 1 ha field should be prepared properly only after adding sufficient quantity of recommended dose of nitrogen, P₂O₅, K₂O and ZnSO₄."
"Nitrogen, P₂O₅, K₂O, ZnSO₄",What are the nutrients added to the seed bed for transplanting nursery?,"For raising healthy and vigorous seedling a suitable seed bed of size 600 m² for transplanting nursery to 1 ha field should be prepared properly only after adding sufficient quantity of recommended dose of nitrogen, P₂O₅, K₂O and ZnSO₄."
3 inch,How thick should the upper layer of soil be mixed with F.Y.M.?,A three inch thick layer of such F.Y.M. should be mixed in top 3 inch upper layer of soil about 20-25 days before sowing the seeds.
F.Y.M (Farm Yard Manure),What is recommended to add to the seed bed before sowing seeds?,After adding the F.Y.M in the soil the seed bed should be irrigated twice so that the weed seed present in soil/manure can germinate and are destroyed in the process of seed bed preparation before sowing of seed.
Twice,How often should the seed bed be irrigated after adding F.Y.M.?,After adding the F.Y.M in the soil the seed bed should be irrigated twice so that the weed seed present in soil/manure can germinate and are destroyed in the process of seed bed preparation before sowing of seed.
F.Y.M. improves soil properties and supplies nutrients.,Why is it important to use F.Y.M. in seed beds?,"The use of sufficient quantity of F.Y.M. will not only improve the soil physical, biological and chemical properties but also supply required quantity of nutrients to the plants and plant growth will be much better with sound root development in loose soil."
"Proper seed bed preparation, adequate F.Y.M., and irrigation.",What precautions will ensure a healthy nursery?,Following precautions will ensure healthy nursery.
To ensure better soil drainage and root development.,Why is it advisable to raise nursery on raised beds?,It is always advisable to raise nursery on raised beds.
1.0 m width and 10 m length.,Describe the dimensions of a well-prepared nursery raised bed.,"In a well prepared paddy seed bed, raised beds of 1.0 m width and 10 m length should be prepared."
30-40 cm.,What is the distance for drainage cum irrigation channels around raised beds?,Around these beds 30-40 cm drainage cum irrigation channels are prepared.
1:1 soil and decomposed FYM mixture.,What mixture is spread on nursery beds on raised beds?,On these nursery beds 1:1 soil: decomposed FYM mixture is spread to 4-5 cm thickness (Fig. 4.3).
4-5 cm,How thick should the decomposed FYM mixture be spread on nursery beds?,On these nursery beds 1:1 soil: decomposed FYM mixture is spread to 4-5 cm thickness (Fig. 4.3).
"Mix 3 inch thick F.Y.M. layer in top 3 inches of soil, 20-25 days before sowing.",Describe the process of preparing a seed bed for raising healthy seedlings.,A three inch thick layer of such F.Y.M. should be mixed in top 3 inch upper layer of soil about 20-25 days before sowing the seeds.
"F.Y.M. improves soil's physical, biological, and chemical properties, provides essential nutrients, and enhances root development.",Explain the benefits of using F.Y.M. in seed bed preparation.,"The use of sufficient quantity of F.Y.M. will not only improve the soil physical, biological and chemical properties but also supply required quantity of nutrients to the plants and plant growth will be much better with sound root development in loose soil."
"Irrigation helps weed seeds germinate and get destroyed, ensuring a cleaner seed bed.",How does irrigation after F.Y.M. application help in seed bed preparation?,After adding the F.Y.M in the soil the seed bed should be irrigated twice so that the weed seed present in soil/manure can germinate and are destroyed in the process of seed bed preparation before sowing of seed.
The paddy variety should have characteristic of profuse tillering.,What characteristic should be considered when selecting a paddy variety for SRI?,4.1.2 Selection of variety
6 kg/ha,What weight of seeds should be used per hectare for raising nursery for SRI?,4.1.3 Seed Quality and Treatment
Soaking seeds ensures healthy seedling.,What is the purpose of soaking seeds in a water solution for SRI?,4.1.3 Seed Quality and Treatment
24 hours,How long should quality seeds be soaked in the water solution?,4.1.3 Seed Quality and Treatment
Sprinkling/fountain,What is the recommended irrigation method for nursery beds in SRI?,4.1.4 Seed Sowing
10:1 soil-FYM mixture,Which mixture is spread as a thin layer after sowing seeds on nursery beds?,4.1.4 Seed Sowing
Another 24 hours,For how long should treated seeds be incubated in moist gunny cloth?,4.1.4 Seed Sowing
It maintains moist conditions in nursery beds and avoids flooding or nursery bed death.,Why is regular irrigation important in newly formed channels around nursery beds?,4.1.5 Regular watering
In the mornings/evenings,When should nursery beds be irrigated for maintaining moist conditions?,4.1.5 Regular watering
Weeding should be done precisely.,What should be done if weeding is required during the period?,4.1.5 Regular watering
"The field should be irrigated, ploughed, harrowed, and levelled. After irrigation, when the soil reaches till condition, field preparation is performed.",What steps are involved in preparing the field for transplantation?,4.2 Preparation of the field for transplantation
Using a laser leveller ensures a properly levelled field.,What is the significance of using a laser leveller for field preparation?,4.2 Preparation of the field for transplantation
They should be soaked for 24 hours in a 10 liter water solution with 20-25 gm bavistin + 2gm streptocycline.,How should good quality healthy seeds be treated before raising nursery for SRI?,4.1.3 Seed Quality and Treatment
"After incubating in moist gunny cloth for 24 hours, seeds are sown in horizontal rows on nursery beds which are irrigated using sprinkling. Post-sowing, 10:1 soil-FYM mixture is spread, and nursery beds are irrigated again.",Describe the sowing process of treated seeds in nursery beds under SRI.,4.1.4 Seed Sowing
Sprinkling water using a fountain and ensuring regular irrigation to avoid flooding help in better aeration and nursery bed health.,What practices help in better aeration and avoiding nursery bed death?,4.1.5 Regular watering
Twice,What is the recommended interval between ploughing operations?,Puddling operation may be done twice using wheel mounted tractor drawn puddler.
10-12 days,How old should healthy seedlings be for transplanting?,Healthy seedlings (10-12 days old) are uprooted gently in such a way that roots are not damaged.
Water,What should be drained out before transplanting?,Water should be drained out of the field at the time of transplanting.
It helps incorporate FYM into the soil.,What is the role of disc plough in field preparation?,should be ploughed with disc plough...FYM@5t/ha should be incorporated at second ploughing using a harrow.
Harrow,Which type of plough should be used for incorporating FYM during ploughing?,FYM@5t/ha should be incorporated at second ploughing using a harrow.
To serve the purpose of both irrigation and drainage.,What is the purpose of demarcating the field into plots and channels?,Field is demarcated into plots and channels are made which serve the purpose of both irrigation and drainage.
30 kg K₂O haˉ¹ through muriate of potash and 15 kg haˉ¹ of zinc sulphate (ZnSO₄).,What is mixed with soil during the second puddling?,is applied during second puddling and mixed well with soil.
Roots are uprooted gently to prevent damage.,How are roots protected during the uprooting of seedlings?,Healthy seedlings (10-12 days old) are uprooted gently in such a way that roots are not damaged.
15 kg haˉ¹,How much zinc sulphate should be applied during the second puddling?,15 kg haˉ¹ of zinc sulphate (ZnSO₄) is applied during second puddling and mixed well with soil.
"Basal application of fertilizers including superphosphate, muriate of potash, and zinc sulphate.",What type of nutrient application is recommended for field preparation?,"A uniform basal dose of 40 kg P₂O₅ haˉ¹ through single superphosphate, 30 kg K₂O haˉ¹ through muriate of potash and 15 kg haˉ¹ of zinc sulphate (ZnSO₄) is applied."
Puddling helps in creating a uniform consistency in the field soil for proper planting conditions.,What is the significance of the puddling operation?,Puddling operation may be done twice using wheel mounted tractor drawn puddler.
The field's water should be drained out.,What needs to be done to the fields before transplanting starts?,Water should be drained out of the field at the time of transplanting.
"Applying consistent doses of fertilizers like P₂O₅, K₂O, and ZnSO₄ improves nutrient uniformity.",What practices improve the uniformity of basal nutrient application?,"A uniform basal dose of 40 kg P₂O₅ haˉ¹ through single superphosphate, 30 kg K₂O haˉ¹ through muriate of potash and 15 kg haˉ¹ of zinc sulphate (ZnSO₄) is applied."
Fertilizers should be applied and mixed well with soil.,What should be done during the second puddling?,A uniform basal dose of 40 kg P₂O₅ haˉ¹...is applied during second puddling and mixed well with soil.
To ensure consistent water distribution and proper growth conditions for the crops.,Why is it important for the field to have a uniform water level?,Fig. 4.5: A laser levelled field with uniform water level
20-25%,What percentage of irrigation water is lost during its application?,"Generally, the farmers’ fields are poorly levelled, which leads to poor irrigation water distribution efficiency and about 20-25% of irrigation water is lost during its application."
Organic carbon content,What is rapidly decreasing with intensive cropping systems?,"With intensive cropping system, organic carbon content of the soil is rapidly decreasing resulting in overall deterioration of physical, chemical and biological properties of soil."
Flood irrigation,What irrigation method results in low water use efficiency?,Such flood irrigation results in low water use efficiency and depletion of soil nutrients.
80%,What percentage of available water in India is used for irrigation purposes?,It has been estimated that 80% of available water in India is being used for irrigation purposes.
Surface irrigation,Which method of irrigation allows less than half of the water to be utilized by the plant?,"Generally under surface irrigation methods, only less than one half of the water released is utilized by the plant."
"It results in the overall deterioration of physical, chemical, and biological properties of soil due to the rapid decrease in organic carbon content.",What does intensive cropping system result in?,"With intensive cropping system, organic carbon content of the soil is rapidly decreasing resulting in overall deterioration of physical, chemical and biological properties of soil."
Traditional paddy cultivation leads to low crop productivity because keeping the crop flooded with water for major crop period uses a large amount of irrigation water inefficiently.,Why do traditional paddy cultivation methods lead to low crop productivity?,Traditional paddy cultivation of keeping the crop flooded with water for major crop period leads to low crop productivity /unit of irrigation water.
"Deep standing water in paddy fields increases methane release, a greenhouse gas responsible for global warming.",What is the impact of deep standing water in paddy fields on greenhouse gas emissions?,"Deep standing water in paddy field does not allow access of oxygen to roots, and more over results in increased methane release, a green house gas responsible for global warming."
The efficiency of surface irrigation methods is low.,What happens to the efficiency of surface irrigation methods?,"Accordingly, the efficiency of surface irrigation methods is low."
Poor leveling of farmers’ fields leads to poor irrigation water distribution efficiency and the loss of 20-25% of irrigation water during its application.,What does poor leveling of farmers’ fields lead to?,"Generally, the farmers’ fields are poorly levelled, which leads to poor irrigation water distribution efficiency and about 20-25% of irrigation water is lost during its application."
Flood irrigation causes low water use efficiency and depletion of soil nutrients. Traditional paddy cultivation with flood irrigation leads to low crop productivity per unit of irrigation water.,What are the causes of low water use efficiency in flood irrigation?,Such flood irrigation results in low water use efficiency and depletion of soil nutrients. Traditional paddy cultivation of keeping the crop flooded with water for major crop period leads to low crop productivity /unit of irrigation water.
The efficiency of water utilization on farmers' fields is low due to heavy water losses during conveyance and application at the field level.,Why is the efficiency of water utilization on farmers' fields low?,However the efficiency of water utilization at farmers’ fields has been very low because of heavy water loses during conveyance and application at the field level.
The main methods of irrigation discussed are flood irrigation within check basins and border strips.,What are the main methods of irrigation discussed in the text?,Almost all the cereal and vegetable crops have been conventionally planted by farmers in narrow spaced rows on flat surfaces or broadcast and irrigated by flood irrigation within check basins and border strips.
The per capita availability of surface water in India has decreased from 2309 cubic meters in 1991 to 1902 cubic meters in 2011.,How has the per capita availability of surface water in India changed over the years?,The per capita availability of surface water which used to be 2309 cubic meter in 1991 has decreased to 1902 cubic meter in 2011 and as per an estimate
