question,answers
can i use insecticides to manage cassava whitefly infestation?,but it is important to use the appropriate type and dosage to avoid damaging the cassava plants and the environment
which other ways can farmers use to manage cassava whitefly.,"use of resistant varieties, maintaining proper plant nutrition and moisture levels, and minimizing weed growth around the cassava plants."
which caterpillar pests  can cause significant damage to cassava crops.,Armyworms 
which species of armyworms are the most common.,fall armyworm 
what are the effects of armyworm infestation.,significant defoliation and reducing the plant's ability to produce healthy tubers
what is the first stage of managing armyworms.," regularly monitor the crop for signs of infestation, such as chewed leaves and the presence of armyworms."
where are the south americans beetles,South America
what are some of the ways of managing armyworms.,"use of insecticides, such as pyrethroids or neem oil, applied directly to the cassava plant or to the soil."
how can a farmer regularly monitor for cassava beetles.,"regularly monitor the crop for signs of infestation, such as wilting or yellowing of leaves, and take appropriate measures to prevent or control the pests"
name any insecticides that can be used on cassava beetles.,neem oil or pyrethroids
"apart from using insecticides, name any other ways farmers can manage beetle infestations."," planting cassava in well-drained soil, removing and destroying infested plants, and rotating crops to reduce beetle populations"
which natural predators are used to control armyworms.,birds and parasitic wasps
which crops can be intercropped with cassava to help attract natural predators of cassava beetles., legumes or grasses
what are some of the pest management practices for armyworm.,"planting cassava in well-drained soil, maintaining a healthy crop by providing adequate water and nutrients, and rotating crops to reduce armyworm populations."
"which  social insects live in large colonies in the soil and feed on wood, plant matter, and other cellulose-containing materials.",Termites 
name the two common types of cassava beetle.,African cassava beetle and the South American cassava beetle
what does the beetle feeds on?,"Both types of beetles feed on the leaves and stems of cassava plants, causing them to wilt, yellow and eventually die."
where can we find African beetles.,West and Central Africa
which other pest management activities can be done to control termides.,"planting cassava in well-drained soil, using physical barriers such as plastic mulch or wire mesh around the plant stems to prevent termite access, and avoiding over-fertilization or excessive use of organic matter which can attract termites."
what are the effects of termites infestations.,"the presence of mud tubes or tunnels on the plant stems or nearby soil, and the appearance of swollen or distorted stems or roots. In severe cases, the entire plant may collapse or die."
name one chemical pesticides that can be applied to control termides.,termiticides
what are some of the signs of cutworms.,damaged stems and cut plants
at what stage does the cutworms attack cassava?,during the early stages of growth
name some control measures for cutworms.," use of insecticides, such as pyrethroids or neem oil, applied directly to the cassava plant or to the soil."
name some cultural practices that farmers can use to control cutworms,removing weeds and plant debris from the field and cultivating the soil before planting can help to reduce cutworm populations.
how can you control whiteflies,Whiteflies can be controlled using insecticides or by using sticky traps that attract and trap the insects.
What causes CBB., It is caused by the bacterium Xanthomonas axonopodis pv. manihotis
What are the symptoms of cassava bacteria blight.,"water-soaked lesions on the leaves, stems, and petioles of the cassava plant."
How is CBB spread?,"CBB is spread through infected planting material, contaminated soil, and water"
how can you ensure sanitation control CBB.,"Infected plant debris should be removed from the field, and tools and equipment should be disinfected to prevent the spread of CBB"
What fungicides can be used to control CBB.,"Copper-based fungicides can be used to control CBB, but they must be applied before the disease becomes severe."
How can crop rotation be used to control CBB.,Crop rotation can help to break the cycle of disease and reduce the risk of infection.
Are there some CBB resistant crops?, Some cassava varieties have been developed that are resistant to CBB
when is maize for silage harvested.,is harvested while the plant is green and the fruit immature
what is cassava mosaic disease.,"This is a viral disease that causes yellowing and mottling of the leaves, stunted growth, and reduced yield"
what spreads cassava mosaic diesease.,whiteflies 
what are symptoms of Cassava Brown Streak Disease.," brown streaks on the stem and root, as well as yellowing and distortion of the leaves"
what does Cassava Bacterial Blight causes on the cassava.,"dark brown to black spots on the leaves, stem, and root"
what does Cassava Anthracnose Disease: causes.,"dark spots on the leaves, stem, and root"
