question,answers
Which agricultural method can be used to improve on soil fertility,fertilizer applications
What is the effect of moisture on stored beans?,"Moisture is one of the key factors that affect the quality and shelf life of stored beans. Here are some of the effects of moisture on stored beans: Mold growth,Insect infestation,Sprouting,Hardening and discoloration,Nutrient loss."
name the disease that can cause the pods to become waterlogged and develop rot,pod rot diseases
what is GMO in full?,Genetically Modified Crops
what are Pyrethroids pesticides.,"Pyrethroids are a type of synthetic pesticide that can be effective against a range of insect pests, including bean beetles and leafhoppers. They work by attacking the nervous system of insects. Pyrethroids are available in various forms, including sprays, dusts, and granules."
what food products can be made from corn meal.,"tortillas, bread, porridge, and other baked goods"
"which fungal disease causes yellowing and browning of the leaves, with characteristic cigar-shaped lesions",Northern corn leaf blight
what is the required humidity for cassava growth.,ranging from 70% to 90%
How can cows make so much milk?,If its calf nurses regularl
What damage do sucking pest cause to plants like beans in the garden,"Sucking pests, such as aphids, whiteflies, and mites, can cause significant damage to plants like beans in the garden. These pests feed on the sap of the plant, which can weaken and stunt its growth. They also often transmit plant viruses, which can cause even more damage."
Apart from naro where else can we get access to quality seeds/cuttings?,Agricultural research organizations
what is High fructose corn syrup,is a common sweetener in sodas and drinks
How can I prevent soil erosion on my farm?,"planting cover crops, using conservation tillage practices, and building contour terraces. It's also important to avoid overgrazing and to maintain vegetation along streams and other waterways to prevent bank erosion."
How can agronomist overcome problems due to persistent use of fertilizers? ,"Regular soil testing helps determine the nutrient levels in the soil and allows for tailored fertilizer recommendations. Agronomists can assess the nutrient needs of specific crops and apply fertilizers accordingly, avoiding over-application. This helps maintain nutrient balance and prevents nutrient imbalances or excesses."
which does virus responsible for cassava mosaic disease belongs to?,Geminiviridae
Which disease make maize leaves to turn yellow,Maize chlorotic mottle virus:
name one chemical pesticides that can be applied to control termides.,termiticides
how can a farmer manage cassava whitefly infestations.," regularly monitor the crop for signs of infestation, including the presence of whiteflies and the appearance of honeydew on the leaves."
what is the importance of seed drying to farmers.,"Proper drying helps to reduce the moisture content of seeds to a level that is suitable for long-term storage. Moisture content is a critical factor in seed storage, as high moisture levels can lead to seed deterioration, mold growth, and loss of viability. Drying seeds to the appropriate moisture content helps to preserve their quality and ensure their viability over an extended period."
