question,answers
Name the various activities done during crop cultivation.,"land preparation, planting, weed and pest control, fertilization, irrigation, harvesting, and storage"
Is agriculture a luxury or a matter of national security?,American agriculture is a matter of national security
How can crop rotation be used to control CBB.,Crop rotation can help to break the cycle of disease and reduce the risk of infection.
which other can i control the buying of fake agrochemicals.,"Always check the product labels carefully to ensure that the agrochemical is registered by the relevant authorities and has the correct dosage and usage instructions. Fake products often have misspelled words, unclear labels, or no label at all."
What bean variety fetch high price on market?,"Kidney beans (Phaseolus vulgaris): They are large, kidney-shaped beans with a smooth texture and a rich, meaty flavor. They are often used in chili, soups, and stews.

Black beans (Phaseolus vulgaris): These beans have a dense, creamy texture and a slightly sweet, earthy flavor. They are commonly used in Latin American and Caribbean cuisine.

Pinto beans (Phaseolus vulgaris): They are medium-sized beans with a speckled appearance and a creamy texture. Pinto beans are popular in Mexican and Southwestern cuisine.

Navy beans (Phaseolus vulgaris): These small, white beans have a mild flavor and a smooth texture. They are often used in baked beans and soups.

Cannellini beans (Phaseolus vulgaris): These Italian white beans have a creamy texture and a mild, nutty flavor. They are commonly used in Mediterranean dishes."
which other can i control the buying of fake agrochemicals.,"Always check the product labels carefully to ensure that the agrochemical is registered by the relevant authorities and has the correct dosage and usage instructions. Fake products often have misspelled words, unclear labels, or no label at all."
which cassava variety is recommended for karamoja region.,NASE 20
why should the housing be kept well ventilated and clean.,to prevent the spread of disease.
why are maize planted in rows.,it also allows for planting of other crops between these rows to make more efficient use of land space
what are organic fertilizers?,"organic fertilizers, which are made from natural materials such as manure and compost"
which cassava variety for suitable for Soroti and Lira.,NASE 3
name plants that uses C3 carbon fixation.,alfalfa and soybeans
which district in Uganda was apple first introduced?,Kabale District
name any one example of desiccants.,silica gel
why should the garden be harrowed after ploughing.,to break down any large clumps and create a fine tilth for planting
what is the purpose of threshing .,The purpose of the threshing process is to detach the grain from the panicles
what other measures can a farmer use to control root rot.,Use of fungicides
what is the long term control measures for the cassava diseases.,using disease-resistant cassava varieties
"Besides cow dung and urine, what does farmyard manure contain.",Animal bedding
Which fertilizer is good for planting beans?," a fertilizer with a higher ratio of phosphorus and potassium, such as 10-20-20 or 15-30-15, would be suitable for planting beans"
What bean variety fetch high price on market?,"Kidney beans (Phaseolus vulgaris): They are large, kidney-shaped beans with a smooth texture and a rich, meaty flavor. They are often used in chili, soups, and stews.

Black beans (Phaseolus vulgaris): These beans have a dense, creamy texture and a slightly sweet, earthy flavor. They are commonly used in Latin American and Caribbean cuisine.

Pinto beans (Phaseolus vulgaris): They are medium-sized beans with a speckled appearance and a creamy texture. Pinto beans are popular in Mexican and Southwestern cuisine.

Navy beans (Phaseolus vulgaris): These small, white beans have a mild flavor and a smooth texture. They are often used in baked beans and soups.

Cannellini beans (Phaseolus vulgaris): These Italian white beans have a creamy texture and a mild, nutty flavor. They are commonly used in Mediterranean dishes."
does NAROCASS 1 grow in northern Uganda?,"This variety is recommended for the northern regions of Uganda, such as Gulu and Kitgum"
which insects are known to transmit maize streak virus from one maize plant to another.,Cicadulina species
what is harvesting,It involves removing the mature crops from the field and preparing them for storage or transport
can deforestation affect soil nutrients?,"Deforestation can cause soil erosion and loss of soil organic matter, which can reduce soil fertility and productivity."
why there is an increase of skin cancer among farmers, an increased exposure of UV rays as well as environmental elements
why should cassava be protected from direct sunlight.,exposure to sunlight can cause the tubers to become discolored and reduce their quality.
what is the approximate Global agricultural production of food.,11 billion tonnes
how can crop rotation improves clay soil.," Rotating maize with other crops, such as legumes or grasses, can help improve soil health and fertility by adding organic matter and breaking up soil compaction. It can also help reduce pest and disease pressure.Add lime and humus which clamp tinny particles to form a larger one hence improving aeration"
what are the signs and symptoms of cassava mealybugs.,"stunted growth, wilting, yellowing of leaves, and reduced yield"
What are the side effects of preservatives on human health?,"Allergic reactions: Some people may be allergic to certain preservatives, such as sulfites, which are commonly used in dried fruits, wine, and other foods. Symptoms of an allergic reaction to preservatives can include hives, itching, swelling, difficulty breathing, and anaphylaxis, a severe and potentially life-threatening reaction."
How can clay soil be improved?,"Both sandy and clay soils have unique characteristics that can make it challenging to sustain a variety of crops. However, there are several ways in which the properties of these soil types can be improved to make them more fertile and productive for crop growth. Add organic matter, user cover crops,crop rotation, use of soil amendments."
what does Cutworms  feed on.,"These caterpillars feed on the stem of young bean plants, cutting them off at ground level and causing wilting and death of the plant."
In what ways can farmers manage maize streak disease.,"Planting resistant or tolerant maize varieties that have been developed through breeding programs.
Practicing good weed control, as certain weed species can serve as alternative hosts for the virus and leafhoppers.
Implementing integrated pest management strategies to control leafhopper populations, such as using insecticides or employing physical barriers.
Proper crop rotation and maintaining good agronomic practices to enhance plant health and reduce disease pressure.
Removing and destroying infected plants and plant debris to reduce the source of the virus.
It is essential for farmers to work closely with agricultural extension services and research institutions to access information on resistant varieties, disease management strategies, and early warning systems for maize streak disease in their specific region."
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
what is shifting cultivation.,"is a system in which forests are burnt, releasing nutrients to support cultivation of annual and then perennial crops for a period of several years"
which vegetables can be intercropped with cassava. ,"Vegetables such as okra, pumpkin, and amaranth"
which components of preservatives can cause cancer.,nitrates and nitrites
How is cassava planted using single stem method.," In this method, cassava stems are planted directly into the soil at a spacing of 1-1.5 meters between rows and 0.75-1 meter between plants"
what is the use of wind mill.,"to saw wood and make typical household items, such as oil, paper, spices, chalk, and pottery."
why do farmers prefer cassava stem to cassava seeds.,Reduced risk of disease transmission
when do i harvest cassava plant?,"when the plants have attained
complete physiological maturity"
Some farmers harvest mature maize when it is not yet fully dried won't this have some side effects,"Harvesting maize before it is fully dried can have some negative effects on the quality and storability of the grain. Maize should ideally be harvested when the kernels are mature and fully dried, which is indicated by a hard, glossy appearance of the kernels, and a moisture content of around 13-15%."
"which pest feeds on the leaves and stems of cassava, causing defoliation and reduced yield",Cassava beetle
