question,answers
"What is the common name of the disease affecting citrus trees characterized by circular lesions with yellow halos on leaves, twigs, and fruits?","Canker, caused by Xanthomonas campestris pv citri, is the common name for the disease affecting citrus trees. It manifests through symptoms such as circular lesions with yellow halos on leaves, twigs, and fruits. Unlike scab, canker does not cause leaf distortion, but lesions on twigs can lead to girdling and death. On fruits, canker lesions reduce market value."
"What disease is characterized by circular lesions with yellow halos on leaves, twigs, and fruits of citrus trees?","The disease affecting citrus trees is known as canker, caused by Xanthomonas campestris pv citri. It is characterized by circular lesions with yellow halos on leaves, twigs, and fruits. Unlike scab, canker does not distort leaves, but lesions on twigs can result in girdling and death. Canker lesions on fruits also diminish market value."
What are the symptoms exhibited by citrus trees affected by Canker?,"Canker in citrus trees affects acid lime, lemon, and grapefruit, with rare occurrences on sweet oranges and mandarins. The disease affects leaves, twigs, and fruits. Symptoms include circular lesions with yellow halos on both sides of the leaf. Unlike scab, canker does not cause leaf distortion. Lesions on twigs can girdle and kill them, and on fruits, they reduce market value."
Can you describe the symptoms observed in citrus trees affected by Canker?,"Canker affects citrus trees such as acid lime, lemon, and grapefruit, with occasional occurrences on sweet oranges and mandarins. It manifests in leaves, twigs, and fruits, displaying symptoms like circular lesions with yellow halos on both leaf surfaces. Unlike scab, canker does not induce leaf distortion. Lesions on twigs can girdle and lead to their demise, while on fruits, they result in a decrease in market value."
What is the pathogen responsible for causing Canker in citrus trees?,"Canker in citrus trees is caused by the pathogen Xanthomonas campestris pv citri. This Gram-negative, non-spore-forming, aerobic bacterium is rod-shaped, forms chains and capsules, and is motile by one polar flagellum. It survives and spreads through wind and rain splashes, surviving in infected leaves for up to 6 months. Entry into the plant is facilitated by injuries caused by leaf miners."
What environmental conditions favor the development of Canker in citrus trees?,Canker in citrus trees thrives under specific environmental conditions. It requires free moisture for at least 20 minutes and temperatures between 20-30°C. These conditions create an ideal environment for the pathogen Xanthomonas campestris pv citri to proliferate and cause infection in citrus trees.
How does Canker survive and spread within citrus orchards?,"Canker in citrus orchards survives and spreads through various means. The pathogen Xanthomonas campestris pv citri survives in infected leaves for up to 6 months and spreads through wind and rain splashes. Entry into the plant is facilitated by injuries caused by leaf miners, allowing the pathogen to infect citrus trees and cause characteristic symptoms of Canker."
Can you explain how Canker survives and spreads within citrus orchards?,"Canker in citrus orchards utilizes various strategies for survival and spread. The pathogen Xanthomonas campestris pv citri can persist in infected leaves for as long as 6 months, and it spreads through wind and rain splashes. Moreover, its entry into the plant is facilitated by injuries caused by leaf miners, allowing the pathogen to infiltrate citrus trees and initiate the characteristic symptoms of Canker."
What management practices can be implemented to control Canker in citrus orchards?,"Effective management of Canker in citrus orchards involves implementing several practices. These include spraying with Streptomycin sulphate at 500-1000 ppm, Phytomycin at 2500 ppm, or Copper oxychloride at 0.2% at fortnight intervals. Additionally, controlling leaf miner infestations when young flush is produced and pruning badly infected twigs before the onset of monsoon can help reduce the incidence and severity of Canker in citrus orchards."
"What is the common name of the disease affecting citrus trees characterized by symptoms like leaf deficiency, root decay, twig dieback, and diminished fruit set?","Tristeza or quick decline, caused by Citrus tristeza virus (CTV), is the common name for the disease affecting citrus trees. It manifests through symptoms such as leaf deficiency, root decay, twig dieback, and diminished fruit set. Affected trees may exhibit stunted growth, reduced yield, and small fruits."
