question,answers
what is the importance of agriculture.," It creates jobs, helps our economy and provides our basic necessities"
Is agriculture a necessary industry?,Agriculture is a necessity!
Can I eat healthy without spending a lot of money?,es. Food in the United States is very affordable
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
what is Food Supply Continuum,The process of getting food from the farm to the table
what are the three phases of  Food Supply Continuum,"pre?harvest, harvest and postharvest"
"During  Food Supply Continuum, what processes are included inside pre-harvest phase.","the producer or farmer, transportation of the product, and marketing of the product"
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
"during the final stage, what activities are done during  Food Supply Continuum","retailing the product, distributing the product through the food service industry and, finally, reaching the consumer"
"Is buying local and organic the same thing?
",No. Local is a definition based on location
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
What are genetically modified organisms (GMOs)?,GMOs are defined as �organisms in which the genetic material (DNA) has been altered in a way that does not occur naturally.
what is plant biotechnology,a set of techniques used to adapt plants for specific needs or opportunities
"the product of consistent modification by scientists are called?
",GMOs 
"Are fresh, raw vegetables healthier and more nutritious than frozen
vegetables?",Not necessarily. Research shows that frozen vegetables can even be more nutritious than fresh vegetables!
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
What percentage did vitamin C in fresh broccoli dropped?, 50% within one week
"If it says locally grown, does that mean it is from my community?","Not necessarily. This may come as a surprise, but if you�re buying or eating locally grown food, it may not be food grown in your community."
Is global hunger caused by a shortage of food?,"Not necessarily. In many cases, hunger is not caused by a shortage of food"
what causes hunger?,poverty
What is gene editing? How is it different from genetic engineering?,Gene editing allows scientists to make changes to a specific target sequence of DNA within a gene. It modifies the gene in a precise and predictable manner
"What is the difference between cloning and genetic modification (GM)?
",Genetic modification and cloning are not the same. Cloning provides an exact copy. Cloned genes can only be copied in the same species. Genetic modification (genetic engineering) something scientists do to pick out a specific set of genes and place these genes in an organism where the traits would be helpful
Can farmers save and replant GMO seeds?,"GMO seeds, like any others, can be saved and replanted"
Are genetically modified organisms (GMOs) the only organisms with genes?,"No. Living or once living things contain genes, whether they are genetically modified or not. �Gene� is the root word for genetics. Genes are located on chromosomes"
Can eating a genetically modified fruit or vegetable change a person’s genes?,Eating GMO products does not impact our genes. 
What kind of technology do farmers use in the field to help the environment?,"GPS (global positioning systems) is a common technology used by farmers. With GPS, farmers can track every location on the farm and know what the soil needs at that exact location"
How is technology in agriculture changing?,Tractor technology is changing! Auto?steer and GPS (global positioning systems) help make farming more efficient. Tractor technology is also helping the environment. 
Is the primary focus of the USDA agricultural programs?,"7% of the total USDA budget. Rural development, research, food safety, marketing and regulatory, and departmental management accounts for 6% of the budget"
"what is RFID in full
",Radio frequency identification
what is RFID used for?,is a technology that has been used to identify and track livestock animals
which other field is RFID being used?,hay
"Does the United States import more agricultural products than we export?
","Agriculture has a positive trade balance, which means we send out (export) more than we bring in (import)"
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
which two countries are the largest trading partners of the U.S,China and Canada
Do agricultural exports help the economy? ,"According to the USDA Economic Research Service, $140.5 billion worth of American agricultural products were exported around the globe in 2017"
Does most of the money I pay for food go back to the farmer?,Not necessarily
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance"
"If a farm is large, does that mean it is a corporate farm?","Just because a farm is large in number of acres, does not mean it is a corporate farm"
Are we losing family farms because corporate farms are taking over American Agriculture?,America�s farms are still family farms
Is agriculture a luxury or a matter of national security?,American agriculture is a matter of national security
What is soil science and management.,"Soil science and management is the scientific study of the physical, chemical, and biological properties of soil and the ways in which it can be managed for optimal crop production."
why is it important in agriculture?,It is an essential aspect of agriculture that plays a crucial role in ensuring sustainable crop yields and protecting the environment.
"What are some of the physical and chemical, properties of soil that soil scientists study?","texture, structure, acidity, and nutrient content."
What are some of biological properties of soil that soil scientists study?, microbial communities that live in the soil and the interactions between these organisms and the plants that grow in the soil.
what is soil?,"Soil is a complex mixture of minerals, organic matter, water, air, and living organisms."
List some of the soil management activites.,"soil testing, fertilization, irrigation, tillage, and crop rotation"
"what is the importance of soil management.
",it helps farmers to identify nutrient deficiencies or excesses in the soil and adjust their fertilization practices accordingly.
what is fertilization?,the process of adding nutrients to the soil to improve crop growth and yield
why is fertilizer used in soil management?,to provide the necessary nutrients for optimal crop growth.
name two types fertilizers.,organic and inorganic fertilizers
in which areas are irrigation done.,areas with low rainfall or unreliable water sources.
why do farmers practice irrigation.,to conserve water while ensuring that crops receive the necessary moisture for healthy growth.
what is tillage?,the process of preparing the soil for planting by breaking up the soil and creating a suitable seedbed
excessive tillage can lead to ?,soil erosion and nutrient loss
why must farmers  balance the benefits of tillage against its potential negative impacts,excessive tillage can lead to soil erosion and nutrient loss
what is crop rotation in soil management?,a technique used in soil management to reduce soil-borne diseases and pests and improve soil fertility
why is crop rotation important?, help to maintain soil health and improve crop yields over time
what is final stage in crop cultivation,Harvesting
what is harvesting,It involves removing the mature crops from the field and preparing them for storage or transport
which stage of crop cultivation involves placing seeds or seedlings into the soil at the right depth and spacing.,Planting 
name one crop planted by using a seed drill.,corn
why do crops require regular maintainance after planting,to ensure healthy growth and yield
name the activities of crop maintanance.,"weed and pest control, fertilization, and irrigation."
name the first step in crop cultivation,Land preparation
what are cover crops,are plants that are planted to cover the soil rather than for the purpose of being harvested
What is crop cultivation?," is the practice of growing crops for food, fiber, or fuel"
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
"give examples of macronutrients?
","nitrogen, phosphorus, and potassium,"
give examples of micronutrients.," iron, zinc, and manganese."
which nutrients are required for high yield in cassava.,"nitrogen, phosphorus, and potassium"
name the various forms in which fertilizers can be applied?,"granular, liquid, and foliar applications."
name some of the common water management practices,"soil moisture monitoring, crop water requirements estimation, crop selection, and crop rotation."
what are some of the water conservation practices being done.,"reducing evaporation loss, controlling water runoff, and maintaining proper soil moisture levels"
how can i differentiate sprinkler irrigation from drip irrigation.,"Sprinkler irrigation involves spraying water over the field, while drip irrigation involves applying water directly to the root zone of the crop through a system of pipes and emitters"
what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets
Name the various activities done during crop cultivation.,"land preparation, planting, weed and pest control, fertilization, irrigation, harvesting, and storage"
why is crop cultivation a critical aspect of agriculture., plays a vital role in providing food security for the world's growing population.
name regions where irrigation is applicable.,regions with low rainfall or unreliable water sources
what is  irrigation.,the application of water to crops to supplement natural rainfall and ensure healthy plant growth
name activities done during water management.,"irrigation scheduling, water storage, and distribution systems"
Poor irrigation leads to?,"waterlogging, soil salinization, and other negative environmental consequences."
name the types of irrigation.,"flood, furrow, drip, and sprinkler irrigation"
The primary macronutrients are?," nitrogen (N), phosphorus (P), and potassium (K), which are typically present in fertilizers in the form of NPK ratios"
which nutrient is essential for the production of chlorophyll.,Nitrogen 
what is the importance of chlorophyll.,is necessary for photosynthesis and plant growth.
"which nutrient  is important for root development, flowering, and fruiting.",Phosphorus 
"what nutrients can i use for water regulation, disease resistance, and stress tolerance in plants.",potassium 
what are organic fertilizers?," are derived from natural sources such as animal manure, compost, and plant residues"
what does  nitrogen deficiency causes?,"stunted growth, yellowing leaves, and reduced yield."
The deficiency of phosphorus results into?,"poor root development, slow growth, and reduced flowering and fruiting"
which symptoms are evident of Micronutrient deficiencies,"leaf discoloration, reduced growth, and poor reproductive performance"
why do farmers plant cover crops?,"Cover crops manage soil erosion, soil fertility, soil quality, water, weeds, pests, diseases, biodiversity and wildlife in an agroecosystem"
why do we say cover crops are nurse crops?,"they increase the survival of the main crop being harvested, and are often grown over winter"
how doses cover crops reduce soil loss?,"by improving soil structure and increasing infiltration, protecting the soil surface, scattering raindrop energy and reducing the velocity of the movement of water over the soil surface"
what is Pastoralism.,"involves managing domesticated animals. In nomadic pastoralism, herds of livestock are moved from place to place in search of pasture, fodder, and water"
how do we call the cover crops that increases soil fertility.,green manure
what are green manure used for?,to manage a range of soil macronutrients and micronutrients
which types of crops are used to retain and recycle soil nitrogen already present.,catch crops
how do we define a cover crop biomass.,"a physical barrier between rainfall and the soil surface, allowing raindrops to steadily trickle down through the soil profile"
