question,answers
where area is  shifting cultivation done.,"This type of farming is practiced mainly in areas with abundant rainfall where the forest regenerates quickly. This practice is used in Northeast India, Southeast Asia, and the Amazon Basin."
name two types of beans found in the garden,bush beans and pole beans
what transmits cassava mosaic disease.,Bemisia tabaci
What maize variety has early maturity and how  many days?,H624
"I always see some maize combs having a variety of colors ranging from purple , blue , red , orange , yellow , white etc. what causes such maize to have all those colors in one comb,?",recombination during pollination.
Do brown cows produce chocolate milk?,No
what are fertilizers?,Fertilizers are substances that are added to soil to improve the growth and quality of crops
at what stage does the cutworms attack cassava?,during the early stages of growth
can educating farmers help improve productivity?,Educating farmers on the best practices for growing maize can help to improve their productivity and increase the yield of local maize breeds.
what are the effects of termites infestations.,"the presence of mud tubes or tunnels on the plant stems or nearby soil, and the appearance of swollen or distorted stems or roots. In severe cases, the entire plant may collapse or die."
how can tillage be used to control Couch grass., involves digging up the soil to a depth of at least 6 inches to disrupt the root system of the grass
why must farmers  balance the benefits of tillage against its potential negative impacts,excessive tillage can lead to soil erosion and nutrient loss
Which variety of dk maize is good in amolatar?,"DK 8033 is a maize variety that has been widely grown in Uganda, including in the Amolatar region"
Is sandy soil better than clay soil  when growing beans?, neither soil type is inherently better or worse for growing beans
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
name the components of nitrogen fertilizers.,"ammonium nitrate, urea, and ammonium sulphate"
why do we say cover crops are nurse crops?,"they increase the survival of the main crop being harvested, and are often grown over winter"
list common signs of sucking pest.,"ellowing leaves, stunted growth, distorted leaves, and a general decline in plant health. Severe infestations can also cause wilting, defoliation, and even death of the plant."
which environmental condition does the Cassava green mite have.,hot and dry conditions
What is the ideal planting density for maize?,"The ideal planting density for maize can vary depending on the specific climate and soil conditions. In general, a planting density of around 70,000 to 80,000 plants per hectare is recommended for optimal yield. However, the ideal density may vary depending on factors such as the variety of maize being planted and the availability of water and nutrients"
what is crop rotation,Crop rotation is the practice of growing a series of different crops in the same area over several seasons
what is the major cassava disease?,Cassava Mosaic Disease (CMD)
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
why do farmers plant cover crops?,"Cover crops manage soil erosion, soil fertility, soil quality, water, weeds, pests, diseases, biodiversity and wildlife in an agroecosystem"
which variety of maize that is widely grown and used for both human and animal consumption.,Dent maize
how was harvesting done before the evolution of machinery?,Gathering and removing mature plants from the field had to be done by hand
What is total seed population in an acre?,"he recommended plant population for maize varies, but a common range is around 20,000 to 40,000 plants per acre. This translates to seeding rates of approximately 25,000 to 50,000 seeds per acre, considering germination rates and seedling mortality."
what is organic farming?,"method of crop production that emphasizes the use of natural and sustainable practices, such as crop rotation, composting, and biological pest control"
what is Seed dormancy?," is a natural mechanism that prevents a seed from germinating under unfavorable conditions, such as inadequate moisture, unsuitable temperature, or insufficient light"
what is physical dormancy?,"occurs when the seed coat is impermeable to water and gases, preventing the embryo from absorbing water and initiating germination."
which insects are known to transmit maize streak virus from one maize plant to another.,Cicadulina species
May we farmers know the uses of water in the soil,"Water is necessary for plants to absorb nutrients from the soil. Water dissolves nutrients and makes them available to plant roots, which can then take up the nutrients they need for growth."
what is advantages of spacing beans appropriately during planting.,"Adequate spacing between bean plants allows for better air circulation, reducing the risk of fungal diseases. Good air movement helps to keep the foliage dry, preventing the development and spread of diseases such as powdery mildew or rust."
"which beetle feed on the leaves of bean plants, causing holes and defoliation, which can reduce yields.",Bean leaf beetles (Cerotoma trifurcata)
name activities done during water management.,"irrigation scheduling, water storage, and distribution systems"
what kinds of seeds should be used when planting cassava.,High-quality and disease-free planting materials
What causes bean pods to develop water ?," Excessive irrigation or heavy rainfall can result in waterlogged soil, leading to the absorption of excess water by the bean plants. This excess water can accumulate in the pods, causing them to become water-filled."
why are fertilizers used in farming?, to improve the growth and quality of crops
which types of crops are used to retain and recycle soil nitrogen already present.,catch crops
what is the right spacing for beans when plantimg?,about 2-4 inches apart
"I always see some maize combs having a variety of colors ranging from purple , blue , red , orange , yellow , white etc. what causes such maize to have all those colors in one comb,?",recombination during pollination.
why should you use mound planting.,"method ensures good soil drainage, which is essential for cassava growth. It also helps to reduce soil erosion and increases yields"
name one pest that can cause beans to wither immediately after germination.,Bean Seed Maggot
which other way can cover crops increase fertility,Cover crops can also improve soil quality by increasing soil organic matter levels through the input of cover crop biomass over time
How do I know when my corn is ready to harvest?,"Corn is typically ready to harvest when the kernels are firm and have reached their full size, and the ears have a mature appearance"
When is the ideal time to harvest maize?,"Harvesting is typically done when the kernels are fully developed and hard, and the husks have dried up and turned brown"
name the first step in crop cultivation,Land preparation
what is the importane of organic farming?,This approach seeks to minimize the use of synthetic chemicals and promote the health of the soil and the environment
what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets
Can I eat healthy without spending a lot of money?,es. Food in the United States is very affordable
name two fertilizers used to grow cassava.,compound fertilizers that provide several nutrients together and single-nutrient fertilizers.
What is the current price of yellow beans?,"prices can fluctuate frequently. However, the prices for dry beans (yellow) in Uganda are affected by various factors such as supply and demand, transportation costs, and market conditions. It is best to check with local markets or traders for the current prices in the region."
"
How does farm yard manure keep moisture in soil?"," improve soil moisture retention by increasing the soil's water-holding capacity, improving soil structure, and reducing soil erosion."
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
how can soil organism helps in Carbon sequestration.,"Soil organisms, such as mycorrhizal fungi, can help to sequester carbon in the soil, helping to mitigate climate change"
