question,answers
what kind of practices are used for crop protection?," use of pesticides, fungicides, and other chemicals, as well as cultural practices"
what is the proper storage facility for cassava plant.,"Cassava should be stored in a cool, dry, and well-ventilated place to prevent mold growth and rotting"
in which way is climate change affecting agriculture?,"changes in temperature, rainfall, and weather patterns"
define Livestock management practices?," practices involve a range of activities and strategies that are designed to keep animals healthy, productive, and profitable"
What is the process of field drying and threshing maize?,Post-harvest management
When was the fall armyworm first detected in Uganda?,2016
which bean variety is suitable for areas with heavy rainfall.,Mwezi Moja
name the components of nitrogen fertilizers.,"ammonium nitrate, urea, and ammonium sulphate"
How has farming changed in the United States?,"The growth of farming brought many laborsaving devices to 19th- and early 20th-century farm life, including reaping and threshing machines, which replaced work done by hand. Today, with modern methods of agriculture that include complex machinery, scientific breeding, and chemical pesticides, farms require far fewer workers."
which types of fertilizers are designed to release nutrients slowly over an extended period of time.,Slow-Release Fertilizers
Can I eat healthy without spending a lot of money?,es. Food in the United States is very affordable
how does dormancy affects seed germination., allows the seed to delay germination until conditions are more favorable for seedling growth and survival.
what are the different methods of irrigation?,"surface irrigation, drip irrigation, and sprinkler irrigation"
what is depth of the soil for planting maize.,"make an estimate of about 5-7 cm deep, and you can make the holes deeper for dry planting and sandy soil."
How can Tillage improve productivity.,"warming the soil, incorporating fertilizer and controlling weeds, but also renders soil more prone to erosion, triggers the decomposition of organic matter releasing CO2, and reduces the abundance and diversity of soil organisms."
Some maize varieties are more adapted to greenhouse growing conditions. which one are those?,"shorter, bushier varieties"
how can the information collected for precision agriculture used?,make more informed decisions about planting and harvesting
"what is the importance of soil management.
",it helps farmers to identify nutrient deficiencies or excesses in the soil and adjust their fertilization practices accordingly.
what is the right spacing for beans when plantimg?,about 2-4 inches apart
what are Single nutrient fertilizers., supply 1 or 2 of these nutrients.
when are the African armyworms noticed by farmers., until the caterpillars are ten days old and start exhibiting the gregaria phase.
what is harvesting,It involves removing the mature crops from the field and preparing them for storage or transport
what are complete fertilizers.,"provide a balance of nitrogen, phosphorus, and potassium in a single product"
at what stage does the cutworms attack cassava?,during the early stages of growth
"I am in eastern, central, and western Uganda, which cassava do you recommend?",NASE 14
How can local maize breeds be improved  on productivity?,"Selective breeding: This involves selecting the best plants in terms of yield, disease resistance, and other desirable traits and using them as parents to produce offspring with improved traits."
name one way a farmer can guard against drought?,"Crop Selection: Farmers should select crops that are adapted to their local climate and can tolerate drought conditions. Crops such as maize, sorghum, and millet are more drought-tolerant than others and can still produce a reasonable yield under limited water conditions."
What are windmills used for?,to generate power and grind wheat since ancient times
Which crops responds better in acidic soils? ,Blueberries
What other crops can be intercropped with beans?,"Maize is a common intercrop with beans, and the two crops complement each other well. Maize provides a support structure for climbing beans, while beans fix nitrogen in the soil, which benefits maize growth."
how is farmyard manure derived?,"Farmyard manure is typically derived from animal waste, such as cow dung, and contains a mix of organic matter, nutrients, and microorganisms. It provides a slow-release source of nutrients and helps improve soil structure and moisture retention."
name some control measures for cutworms.," use of insecticides, such as pyrethroids or neem oil, applied directly to the cassava plant or to the soil."
What are Community seed banks,Community seed banks are local repositories of seeds and cuttings that are adapted to the local environment. These seed banks are often managed by farmers themselves and can be a good source of quality seeds and cuttings.
"When is the best time to harvest beans, and how is this determined?",when the pods turn yellow and dry up
How does FAO defines agricultural automation.,"FAO defines agricultural automation as the use of machinery and equipment in agricultural operations to improve their diagnosis, decision-making or performing, reducing the drudgery of agricultural work and/or improving the timeliness, and potentially the precision, of agricultural operations."
Suggest the disadvantages of sandy  soil,"Poor water-holding capacity: Sandy soils have a low water-holding capacity, which means that they require more frequent irrigation and may not be suitable for crops that require consistent soil moisture.
Low nutrient retention: Sandy soils have low nutrient retention capacity, which can lead to leaching of nutrients and require more frequent application of fertilizers and organic matter.
Low organic matter content: Sandy soils are often low in organic matter, which can lead to soil erosion and reduced soil fertility.
Susceptible to erosion: Sandy soils are prone to erosion by wind and water, which can lead to soil degradation and loss of topsoil."
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
why is cassava referred to as a short-day plant?,it requires a certain amount of darkness to initiate flowering
in which areas are irrigation done.,areas with low rainfall or unreliable water sources.
List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance"
does NAROCASS 1 grow in northern Uganda?,"This variety is recommended for the northern regions of Uganda, such as Gulu and Kitgum"
name any one example of forest pest., bark beetles
which genetical method are researchers are exploring to control whitefly., RNA interference (RNAi)
Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
What spacing is recommended for cassava planting?,"The recommended spacing for cassava planting can vary depending on several factors, including the variety of cassava, soil fertility, and intended use of the crop. However, a common spacing for cassava is between 1 meter to 1.5 meters between rows and 0.8 meters to 1 meter between plants within a row."
why is soil health vital?,"Soil health is critical to crop growth and productivity, as it provides the necessary nutrients and support for plants to thrive."
what is the duration of NARO 1 maize variety for maturity.,75 to 90 days after planting
how can farmers ensure proper drainage.,Ensuring that fields are properly drained can help to reduce the risk of infection.
"what is RFID in full
",Radio frequency identification
how can farmers use test kit to test soil PH.,"To use the kit, farmers can collect a soil sample from their field or garden, mix it with distilled water, and then add a few drops of the pH indicator solution. The color of the solution will then be compared to the chart, which indicates the pH level of the soil. A pH level of 7 is considered neutral, while levels below 7 indicate acidic soil and levels above 7 indicate alkaline soil.
"
which two countries contribute to 80 percentage of the sea food, Asia and Latin America
"In growing Irish potatoes,row planting and use of holes, which one conserves fertilizers?",Row planting
which maize varieties are commonly available in East Africa.,"longe 1, longe 2H, longe 4, longe 5H, longe 2H."
what does NPK stands for.,"(nitrogen, phosphorus, and potassium"
What is the ideal planting density for maize?,"The ideal planting density for maize can vary depending on the specific climate and soil conditions. In general, a planting density of around 70,000 to 80,000 plants per hectare is recommended for optimal yield. However, the ideal density may vary depending on factors such as the variety of maize being planted and the availability of water and nutrients"
which cassava variety was developed by the International Institute of Tropical Agriculture (IITA) and is popular in many African countries.,TME 419
how long does the cassava plant takes to mature.," between 9-24 months after planting, depending on the variety and the intended use of the crop"
how can artificial fertilizers conserve soil,"Synthetic fertilizers provide essential nutrients to plants in a readily available form. When used correctly and in appropriate amounts, they can enhance plant growth and productivity. This can indirectly contribute to soil conservation by promoting healthy plant growth, which can lead to better root development and soil structure."
name the major categories of Natural fibers.,"cotton, wool, hemp, silk and flax"
Why is it that loam soil is dark in colour?,"The dark color of loam soil is due to the presence of organic matter, which is composed of decaying plant and animal material."
which components of preservatives can cause cancer.,nitrates and nitrites
what other reasons makes cassava a staple food crop.,"Cassava is a hardy crop that can tolerate drought and poor soil conditions. This makes it an important crop for smallholder farmers who may have limited access to water and resources.
"
can educating farmers help improve productivity?,Educating farmers on the best practices for growing maize can help to improve their productivity and increase the yield of local maize breeds.
what are some of the tips on how to best use PICS bags for storing maize grains.,"Clean and dry the grains: Before storing maize grains in PICS bags, make sure that they are thoroughly cleaned and dried to a moisture content of around 12-13%. This will help prevent mold and insect growth.

Fill the bags completely: Fill the PICS bags completely with the maize grains, leaving no empty space. This will help prevent the buildup of oxygen and moisture, which can lead to spoilage and insect growth.

Seal the bags tightly: After filling the bags with maize grains, seal them tightly using the PICS bag sealer or a heat sealer. Make sure that there are no holes or leaks in the bags, as this can allow air and moisture to enter.

Store the bags in a cool and dry place: Store the PICS bags in a cool and dry place, away from direct sunlight and sources of moisture. A well-ventilated room or a grain storage facility is ideal for storing PICS bags.

Check the bags regularly: Check the PICS bags regularly for any signs of damage, such as holes or leaks, and for any signs of insect or mold growth. If any damage or signs of infestation are found, take immediate action to prevent further damage."
what are Soil microarthropods.,"These are small, soil-dwelling organisms such as mites and springtails that play important roles in soil nutrient cycling and decomposition."
what is mechanical planting?,"involves the use of machines to plant cassava stem cuttings, which saves time and labor compared to manual planting."
What are some of biological properties of soil that soil scientists study?, microbial communities that live in the soil and the interactions between these organisms and the plants that grow in the soil.
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
which environmental condition does the Cassava green mite have.,hot and dry conditions
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
what is Mulching.,"Applying a layer of organic material such as leaves, straw or grass clippings on top of the soil can help retain moisture, prevent erosion, and add organic matter to the soil as it breaks down."
which maize variety has a maturity of 80 days.,PHB 3253
name one difference between  fresh and dry maize in  terms of the nutrients value.,"Fresh maize is higher in vitamins and minerals, such as vitamin C, folate, and potassium, compared to dry maize. However, dry maize is a good source of dietary fiber, protein, and complex carbohydrates."
how does contour ploughing helps in controlling soil erosion in mountainous areas.,Contour plowing helps to create small ridges and furrows that slow down the flow of water and prevent it from carrying away soil particles.
which type of family do green manure crops belongs to.,leguminous
state the difference between fresh and dry maize in terms of glycemic index.,"Fresh maize has a higher glycemic index than dry maize, which means it can cause a more rapid increase in blood sugar levels. Dry maize, on the other hand, has a lower glycemic index and is a better choice for people with diabetes or those watching their blood sugar levels."
What is total seed population of wheat in an acre?," Wheat seeding rates can vary depending on factors like variety, soil fertility, and intended yield. A common range for wheat is around 1.5 to 2.5 million seeds per acre, aiming for a plant population of 1 to 1.5 million plants per acre."
