ANSWER,QUESTION.question,QUESTION.paragraph
Scottish Executive,Which organization provides the 'Organic Soil Fertility' guide?,"Scottish Executive, Organic Soil Fertility for Farmers, 2004."
Phosphorus (P) and Potassium (K) use in Organic Farming,"What book by Renner D, Jones J deals with phosphorus and potassium in organic farming?","Renner D, Jones J, Phosphorus (P) and Potassium (K) use in Organic Farming, SAC organic farming technical summary. Available free from SAC"
Good Practice for the Prevention of Environmental Pollution from Agricultural Activity,Which DEFRA document focuses on diffuse pollution evaluation?,"Schmidt O, Clements RO, Donaldson G, 'Why cereal-legume intercrops support larger earthworm populations?' Applied Soil Ecology 22(2), p181-190."
ISBN not provided,What is ISBN for 'Managing Manures on Organic Farms' by DEFRA?,"Shepherd M and Gibbs P (ADAS) with Phiplis L (FERA), Managing Manures on Organic Farms, DEFRA, 2001. Available free from ADAS and ECR."
Soil Association,Which organization published the standards for organic farming and production in 2002?,"Soil Association, Soil Association Standards for Organic Farming and Production, 2002."
Fertilisers for use in Organic Production,What is the main theme of the booklet 'Fertilisers for use in Organic Production'?,"Soil Association, Fertilisers for use in Organic Production, fact sheet 2003."
UN Food and Agriculture Organisation (FAO),Which organization produced the 'Soil Biodiversity for Farmers Programme'?,"UN Food and Agriculture Organisation (FAO), Soil Biodiversity for Farmers Programme, 2002."
#71,In which Organic Farming magazine was 'Not just a quick fix' published?,"Wilkinson I, 'Not just a quick fix' Organic Farming #71, p21-22, 2002."
"South Luffenham, Rutland",Where is Abacus Organic Associates located?,"Rowan House, Pinfold Close, South Luffenham, Rutland LE15 8NE."
ADAS,Which organization operates from Wolverhampton WV5 8QT?,"ADAS: Woodthorne, Wergs Road, Wolverhampton WV6 8QT."
T 024 7663 8238,What is the contact number for the Earthcare organization in Earlsdon?,"Earthcare Ltd 48 Queens Road, Coventry CV1 3EH."
Berkshire RG20 0HR,Where is the Elm Farm Research Centre (EFRC) located?,"Hamstead Marshall, Newbury, Berkshire RG20 0HR."
"Kingfisher House, Goldhay Way, Orton Goldhay, Peterborough, PE2 5ZR",What is the full address for the Environment Agency in Peterborough?,"Environment Agency: Anglian Regional Headquarters, Kingfisher House, Goldhay Way, Orton Goldhay, Peterborough, PE2 5ZR."
The primary goal is to maintain essential soil functions.,What is the primary goal of a global soil policy?,"The development of a global soil policy urgently needs to take into account the many essential functions of soil, together with supporting practices to ensure these functions can be achieved."
Optimal health and protection of soil biodiversity.,What can optimal soil management achieve through recycling of organic matter?,A soil managed to achieve optimal health through recycling of organic matter and protection of soil biodiversity is important.
Clean water.,Name one resource that improving best practice in soil management aims to maintain.,"By encouraging best practice in soil management, it is hoped to achieve: Maintenance of the basic resources for food production, clean water and a stable climate."
The UN Food and Agriculture Organisation (FAO).,Which global organization is pursuing an active soil management programme?,"At a global level, the UN Food and Agriculture Organisation (FAO) is pursuing an active programme on soil management and cultivation."
"To manage the diversity of soils, concentrating on the most valued ones.",What specific aim does the Draft Soil Strategy for England have regarding diversity?,"The Draft Soil Strategy for England was published in 2001. It sets out the following aims: To manage diversity of soils, concentrating particularly on our most valued ones, so that the right balance of types."
2001.,What year was the Draft Soil Strategy for England published?,"In the UK, a consultation paper The Draft Soil Strategy for England was published in 2001."
Soil Action Plan.,What is the document the UK government plans to release in 2003?,"The government in England is producing a ‘Soil Action Plan’, scheduled to be released in 2003."
Maintenance of terrestrial biodiversity.,Mention one of the functions improved soil management aims to enhance.,"By encouraging best practice in soil management, it is hoped to achieve: Maintenance of terrestrial and aquatic biodiversity."
Reduction in pesticide and nutrient pollution.,What is a key benefit of reducing water clean-up costs through soil management?,Reducing water clean up costs through reduction in pesticide and nutrient pollution.
Soil Action Plan.,What national initiative is scheduled for release by the English government?,"The government in England is producing a ‘Soil Action Plan’, scheduled to be released in 2003."
"Ecosystems, landscapes, agriculture, and cultural functions.",What does managing diversity of soils aim to support?,"To manage diversity of soils, concentrating particularly on our most valued ones, so that the right balance of types is available to support our ecosystems, landscapes, agriculture and cultural functions."
Food production.,Which key resource is soil management aimed at maintaining?,"By encouraging best practice in soil management, it is hoped to achieve: Maintenance of the basic resources for food production, clean water and a stable climate."
